teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Brooklyn Nets;bkn;2021 - 2022 Regular Season;All Splits;Kevin Durant;55;55;37.2;29.9;0.5;6.9;7.4;6.4;0.9;0.9;3.5;2.1;1.8
Brooklyn Nets;bkn;2021 - 2022 Regular Season;All Splits;Kyrie Irving;29;29;37.7;27.4;0.6;3.8;4.4;5.8;1.4;0.6;2.5;2.8;2.3
Brooklyn Nets;bkn;2021 - 2022 Regular Season;All Splits;James Harden;44;44;37.0;22.5;1.0;7.0;8.0;10.2;1.3;0.7;4.8;2.4;2.1
Brooklyn Nets;bkn;2021 - 2022 Regular Season;All Splits;Seth Curry;19;19;29.9;14.9;0.2;2.4;2.6;2.6;0.9;0.2;1.3;2.5;2.0
Brooklyn Nets;bkn;2021 - 2022 Regular Season;All Splits;LaMarcus Aldridge;47;12;22.3;12.9;1.6;3.9;5.5;0.9;0.3;1.0;0.9;1.7;1.0
Brooklyn Nets;bkn;2021 - 2022 Regular Season;All Splits;Andre Drummond;24;24;22.3;11.8;3.9;6.4;10.3;1.4;0.9;1.0;1.5;3.0;0.9
Brooklyn Nets;bkn;2021 - 2022 Regular Season;All Splits;Patty Mills;81;48;29.0;11.4;0.2;1.7;1.9;2.3;0.6;0.2;0.9;1.4;2.5
Brooklyn Nets;bkn;2021 - 2022 Regular Season;All Splits;Joe Harris;14;14;30.2;11.3;0.4;3.6;4.0;1.0;0.5;0.1;1.1;2.2;0.9
Brooklyn Nets;bkn;2021 - 2022 Regular Season;All Splits;Bruce Brown;72;45;24.6;9.0;1.4;3.4;4.8;2.1;1.1;0.7;0.8;2.4;2.6
Brooklyn Nets;bkn;2021 - 2022 Regular Season;All Splits;Nic Claxton;47;19;20.7;8.7;1.9;3.7;5.6;0.9;0.5;1.1;0.8;2.3;1.1
