teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Jayson Tatum;76;76;35.9;26.9;1.1;6.9;8.0;4.4;1.0;0.6;2.9;2.3;1.5
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Jaylen Brown;66;66;33.6;23.6;0.8;5.3;6.1;3.5;1.1;0.3;2.7;2.5;1.3
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Dennis Schroder;49;25;29.2;14.4;0.6;2.8;3.3;4.2;0.8;0.1;2.1;2.4;2.0
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Marcus Smart;71;71;32.3;12.1;0.6;3.2;3.8;5.9;1.7;0.3;2.2;2.3;2.6
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Derrick White;26;4;27.4;11.0;0.5;2.8;3.3;3.5;0.6;0.6;1.2;2.2;3.0
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Al Horford;69;69;29.1;10.2;1.6;6.1;7.7;3.4;0.7;1.3;0.9;1.9;3.6
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Robert Williams III;61;61;29.6;10.0;3.9;5.7;9.6;2.0;0.9;2.2;1.0;2.2;1.9
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Josh Richardson;44;0;24.7;9.7;0.6;2.3;2.8;1.5;0.8;0.5;0.9;1.9;1.7
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Daniel Theis;21;6;18.7;7.9;1.3;3.4;4.7;1.0;0.4;0.7;0.7;2.3;1.4
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Grant Williams;77;21;24.4;7.8;0.8;2.7;3.6;1.0;0.5;0.7;0.8;2.4;1.3
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Payton Pritchard;71;2;14.1;6.2;0.5;1.4;1.9;2.0;0.3;0.1;0.6;0.9;3.4
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Romeo Langford;44;5;16.5;4.7;0.7;1.7;2.4;0.4;0.5;0.4;0.4;1.0;1.2
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Jabari Parker;12;0;9.3;4.4;0.4;1.9;2.3;0.5;0.3;0.1;0.7;1.1;0.8
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Aaron Nesmith;52;3;11.0;3.8;0.3;1.4;1.7;0.4;0.4;0.1;0.6;1.3;0.7
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Enes Freedom;35;1;11.7;3.7;1.7;2.8;4.6;0.2;0.1;0.4;0.6;1.2;0.4
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Matt Ryan;1;0;5.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Sam Hauser;26;0;6.1;2.5;0.2;0.9;1.1;0.4;0.0;0.1;0.1;0.3;5.0
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Luke Kornet;12;0;7.1;2.2;0.8;1.3;2.1;0.7;0.3;0.2;0.0;0.6;INF
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Joe Johnson;1;0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Justin Jackson;1;0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Malik Fitts;8;0;3.5;1.9;0.3;0.6;0.9;0.6;0.0;0.0;0.0;0.1;INF
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Brodric Thomas;12;0;5.0;1.8;0.2;0.7;0.8;0.9;0.1;0.1;0.5;0.6;1.8
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Nik Stauskas;6;0;2.5;1.2;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.0;1.0
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Juancho Hernangomez;18;0;5.3;1.1;0.5;0.9;1.4;0.2;0.2;0.1;0.3;0.4;0.5
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Bruno Fernando;20;0;2.9;1.0;0.4;0.4;0.8;0.2;0.0;0.2;0.3;0.3;0.8
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;CJ Miles;1;0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Kelan Martin;3;0;2.0;0.0;0.3;0.3;0.7;0.0;0.0;0.0;0.0;0.0;0.0
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Juwan Morgan;1;0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Total;82;"";"";111.8;10.5;35.5;46.1;24.8;7.2;5.8;13.0;18.5;1.9
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Jayson Tatum;38;38;36.3;26.4;1.3;6.4;7.7;4.3;0.9;0.6;2.7;2.3;1.6
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Jaylen Brown;36;36;33.5;22.9;0.8;5.6;6.4;3.6;1.1;0.2;2.7;2.3;1.4
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Dennis Schroder;24;10;28.3;14.0;0.5;2.8;3.3;4.1;1.0;0.1;2.2;2.3;1.9
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Marcus Smart;35;35;32.8;12.4;0.6;3.1;3.7;6.1;1.7;0.3;2.3;2.3;2.7
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Derrick White;13;1;27.7;11.8;0.5;3.1;3.6;3.2;0.7;0.5;1.3;2.2;2.5
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Josh Richardson;23;0;26.5;11.2;0.6;2.2;2.8;1.5;1.0;0.5;1.0;2.1;1.4
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Robert Williams III;30;30;31.7;10.9;4.3;6.0;10.3;2.2;1.1;2.3;1.3;2.1;1.7
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Al Horford;36;36;29.6;10.5;1.8;6.3;8.1;3.6;0.6;1.5;0.9;2.1;3.9
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Grant Williams;37;10;23.8;7.4;0.9;2.5;3.4;1.0;0.4;0.6;0.7;2.3;1.3
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Daniel Theis;9;2;17.1;6.6;1.0;2.7;3.7;0.6;0.7;0.4;0.8;1.8;0.7
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Romeo Langford;21;3;16.1;5.1;0.6;1.4;2.0;0.4;0.4;0.4;0.3;0.9;1.3
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Payton Pritchard;34;1;13.2;4.8;0.3;1.3;1.6;1.5;0.4;0.1;0.5;0.9;2.8
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Enes Freedom;19;1;13.1;4.4;1.8;2.8;4.6;0.2;0.2;0.5;0.7;1.5;0.2
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Jabari Parker;3;0;10.7;3.7;1.0;2.3;3.3;0.3;0.3;0.0;0.3;2.0;1.0
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Aaron Nesmith;23;2;11.0;3.3;0.3;1.4;1.7;0.4;0.3;0.0;0.5;1.1;0.8
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Luke Kornet;3;0;5.3;2.7;0.3;1.0;1.3;0.3;0.0;0.3;0.0;0.0;INF
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Malik Fitts;2;0;3.5;2.5;0.5;0.0;0.5;1.5;0.0;0.0;0.0;0.5;INF
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Joe Johnson;1;0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Boston Celtics;bos;2021 - 2022 Regular Season;Home;Nik Stauskas;2;0;2.5;2.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;INF
