teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Miles Bridges;80;80;35.5;20.2;1.1;5.9;7.0;3.8;0.9;0.8;1.9;2.4;2.0
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;LaMelo Ball;75;75;32.3;20.1;1.4;5.2;6.7;7.6;1.6;0.4;3.3;3.2;2.3
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Terry Rozier;73;73;33.7;19.3;0.8;3.5;4.3;4.5;1.3;0.3;1.3;1.6;3.4
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Gordon Hayward;49;48;31.9;15.9;0.8;3.8;4.6;3.6;1.0;0.4;1.7;1.7;2.2
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Kelly Oubre Jr.;76;13;26.3;15.0;1.0;2.9;4.0;1.1;1.0;0.4;0.9;2.5;1.3
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Montrezl Harrell;25;0;20.9;11.4;2.1;2.8;4.9;2.0;0.4;0.5;0.9;2.0;2.2
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;P.J. Washington;65;28;27.2;10.3;1.3;3.9;5.2;2.3;0.9;0.9;1.3;2.3;1.8
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Isaiah Thomas;17;0;12.9;8.3;0.2;1.1;1.2;1.4;0.4;0.2;0.6;1.3;2.4
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Cody Martin;71;11;26.3;7.7;1.2;2.9;4.0;2.5;1.2;0.5;0.9;1.6;2.9
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Mason Plumlee;73;73;24.6;6.5;2.4;5.3;7.7;3.1;0.8;0.7;1.4;3.1;2.3
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Jalen McDaniels;55;2;16.3;6.2;0.7;2.4;3.1;1.1;0.5;0.4;0.7;1.7;1.6
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;James Bouknight;31;0;9.8;4.6;0.7;1.0;1.7;0.8;0.2;0.0;0.5;0.9;1.7
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Ish Smith;37;1;13.8;4.5;0.3;1.2;1.5;2.6;0.5;0.3;1.0;0.9;2.7
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Nick Richards;50;5;7.3;3.0;0.7;1.0;1.7;0.3;0.2;0.4;0.5;1.0;0.5
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;JT Thor;33;0;7.9;2.0;0.3;1.0;1.3;0.6;0.2;0.3;0.3;0.8;1.9
