teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;DeMar DeRozan;76;76;36.1;27.9;0.7;4.4;5.2;4.9;0.9;0.3;2.4;2.3;2.1
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Zach LaVine;67;67;34.7;24.4;0.3;4.3;4.6;4.5;0.6;0.3;2.6;1.8;1.8
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Nikola Vucevic;73;73;33.1;17.6;1.9;9.1;11.0;3.2;1.0;1.0;1.9;2.5;1.7
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Lonzo Ball;35;35;34.6;13.0;1.0;4.4;5.4;5.1;1.8;0.9;2.3;2.4;2.2
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Coby White;61;17;27.5;12.7;0.3;2.7;3.0;2.9;0.5;0.2;1.1;2.2;2.5
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Patrick Williams;17;9;24.8;9.0;1.0;3.1;4.1;0.9;0.5;0.5;0.9;1.6;0.9
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Ayo Dosunmu;77;40;27.4;8.8;0.4;2.4;2.8;3.3;0.8;0.4;1.4;2.4;2.4
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Alex Caruso;41;18;28.0;7.4;0.8;2.8;3.6;4.0;1.7;0.4;1.4;2.6;2.9
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Javonte Green;65;45;23.4;7.2;1.4;2.8;4.2;0.9;1.0;0.5;0.5;2.0;2.0
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Tristan Thompson;23;3;16.3;5.7;1.8;3.0;4.7;0.6;0.5;0.3;0.5;1.7;1.2
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Derrick Jones Jr.;51;8;17.6;5.6;1.2;2.1;3.3;0.6;0.5;0.6;0.6;2.1;1.0
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Troy Brown Jr.;66;7;16.0;4.3;0.6;2.5;3.1;1.0;0.5;0.1;0.4;0.9;2.5
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Matt Thomas;40;0;11.5;4.0;0.1;1.2;1.3;0.5;0.2;0.1;0.2;0.5;2.5
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Alfonzo McKinnie;17;3;12.1;3.5;0.8;1.2;1.9;0.3;0.1;0.2;0.4;1.5;0.7
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Malcolm Hill;16;0;10.4;3.4;0.6;1.3;1.8;0.4;0.2;0.1;0.2;1.1;2.3
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Tyler Cook;20;2;10.0;3.4;0.8;1.9;2.7;0.2;0.2;0.2;0.4;1.4;0.4
