teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Darius Garland;68;68;35.7;21.7;0.6;2.7;3.3;8.6;1.3;0.1;3.6;1.7;2.4
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Jarrett Allen;56;56;32.3;16.1;3.4;7.3;10.8;1.6;0.8;1.3;1.7;1.7;1.0
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Collin Sexton;11;11;28.7;16.0;1.2;2.1;3.3;2.1;0.9;0.0;2.8;2.3;0.7
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Evan Mobley;69;69;33.8;15.0;2.1;6.2;8.3;2.5;0.8;1.7;1.9;2.1;1.3
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Lauri Markkanen;61;61;30.8;14.8;1.0;4.7;5.7;1.3;0.7;0.5;0.9;2.1;1.5
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Kevin Love;74;4;22.5;13.6;1.2;6.1;7.2;2.2;0.4;0.2;1.3;1.4;1.6
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Caris LeVert;19;10;29.8;13.6;0.7;2.7;3.4;3.9;0.8;0.3;1.7;2.1;2.3
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Ricky Rubio;34;8;28.5;13.1;0.4;3.7;4.1;6.6;1.4;0.2;2.6;2.2;2.5
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Cedi Osman;66;3;22.2;10.7;0.4;1.8;2.2;2.0;0.8;0.2;1.0;1.9;2.0
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Isaac Okoro;67;61;29.6;8.8;1.1;1.9;3.0;1.8;0.8;0.3;0.9;2.4;2.1
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Malik Newman;1;0;8.0;8.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Moses Brown;14;5;12.6;6.4;1.6;3.6;5.3;0.0;0.3;0.5;0.4;1.8;0.0
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Rajon Rondo;21;1;19.4;6.2;0.2;2.6;2.8;4.9;0.9;0.0;1.6;1.5;3.0
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Lamar Stevens;63;13;16.1;6.1;0.7;1.9;2.6;0.7;0.5;0.3;0.7;1.7;1.1
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Dean Wade;51;28;19.2;5.3;0.6;2.3;2.9;1.0;0.6;0.1;0.3;1.7;3.3
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Brandon Goodwin;36;5;13.9;4.8;0.4;1.5;1.9;2.5;0.7;0.0;1.0;1.1;2.5
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Justin Anderson;3;0;15.7;4.3;0.0;2.0;2.0;2.0;0.3;0.0;0.7;1.3;3.0
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Trevon Scott;2;0;5.5;3.0;0.5;0.5;1.0;0.0;0.5;0.5;0.0;1.0;0.0
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Denzel Valentine;22;0;9.3;2.9;0.4;1.3;1.7;0.5;0.3;0.0;0.5;0.8;1.1
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Dylan Windler;50;0;9.2;2.2;0.4;1.4;1.8;0.7;0.3;0.1;0.3;0.9;2.1
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Luke Kornet;2;0;7.5;2.0;1.0;0.5;1.5;0.5;0.0;0.5;0.0;0.5;INF
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Kevin Pangos;24;3;6.9;1.6;0.1;0.4;0.5;1.3;0.1;0.0;0.3;0.5;4.3
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Tacko Fall;11;1;5.4;1.1;0.6;1.5;2.1;0.2;0.0;0.5;0.3;0.3;0.7
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;RJ Nembhard Jr.;14;0;4.5;1.1;0.2;0.3;0.5;0.9;0.1;0.0;0.2;0.1;4.0
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Tim Frazier;2;0;4.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;1.0;1.5;0.5
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Ed Davis;31;3;6.5;0.9;0.5;1.6;2.1;0.2;0.1;0.3;0.2;1.1;1.4
