teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Luka Doncic;65;65;35.4;28.4;0.9;8.3;9.1;8.7;1.2;0.6;4.5;2.2;1.9
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Kristaps Porzingis;34;34;29.5;19.2;1.9;5.8;7.7;2.0;0.7;1.7;1.6;2.6;1.3
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Jalen Brunson;79;61;31.9;16.3;0.5;3.4;3.9;4.8;0.8;0.0;1.6;1.9;3.0
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Spencer Dinwiddie;23;7;28.3;15.8;0.4;2.7;3.1;3.9;0.7;0.3;1.3;1.9;2.9
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Tim Hardaway Jr.;42;20;29.6;14.2;0.3;3.4;3.7;2.2;0.9;0.1;0.8;1.8;2.7
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Dorian Finney-Smith;80;80;33.1;11.0;1.5;3.2;4.7;1.9;1.1;0.5;1.0;2.3;1.9
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Dwight Powell;82;71;21.9;8.7;2.1;2.8;4.9;1.2;0.5;0.5;0.8;2.7;1.5
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Reggie Bullock;68;37;28.0;8.6;0.5;3.1;3.5;1.2;0.6;0.2;0.6;1.6;2.1
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Maxi Kleber;59;21;24.6;7.0;1.2;4.7;5.9;1.2;0.5;1.0;0.8;2.3;1.4
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Brandon Knight;5;0;13.0;6.4;0.0;1.6;1.6;1.6;0.2;0.0;0.8;1.0;2.0
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Isaiah Thomas;1;0;13.0;6.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;INF
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Davis Bertans;22;0;13.9;5.3;0.3;2.3;2.5;0.7;0.3;0.3;0.2;1.4;3.0
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Trey Burke;42;0;10.5;5.1;0.1;0.7;0.8;1.4;0.3;0.0;0.6;0.9;2.2
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Josh Green;67;3;15.5;4.8;0.8;1.6;2.4;1.2;0.7;0.2;0.7;1.7;1.8
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Marquese Chriss;34;0;10.2;4.5;1.0;2.1;3.0;0.5;0.4;0.4;0.5;1.9;1.0
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Boban Marjanovic;23;0;5.6;4.3;0.3;1.3;1.7;0.1;0.0;0.1;0.7;1.0;0.2
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Frank Ntilikina;58;5;11.8;4.1;0.2;1.2;1.4;1.2;0.5;0.1;0.5;1.1;2.2
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Sterling Brown;49;3;12.8;3.3;0.5;2.5;3.0;0.7;0.3;0.1;0.5;1.1;1.5
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Moses Brown;26;1;6.5;3.1;0.6;1.7;2.3;0.0;0.1;0.3;0.5;1.1;0.1
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Theo Pinson;19;0;7.8;2.5;0.1;1.0;1.1;0.9;0.3;0.1;0.3;0.6;3.4
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Willie Cauley-Stein;18;2;9.8;1.9;0.7;1.4;2.1;0.5;0.3;0.2;0.4;0.9;1.3
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Eugene Omoruyi;4;0;4.5;1.8;0.5;1.3;1.8;0.5;0.0;0.0;0.0;0.5;INF
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Moses Wright;3;0;4.3;1.7;0.3;0.7;1.0;0.3;0.0;0.3;0.0;0.0;INF
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Charlie Brown Jr.;3;0;5.0;0.7;0.0;0.3;0.3;0.3;0.7;0.3;0.0;0.7;INF
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Carlik Jones;3;0;6.3;0.7;0.3;0.7;1.0;1.7;0.3;0.0;1.0;0.0;1.7
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;George King;4;0;4.8;0.3;0.0;1.3;1.3;0.0;0.0;0.0;0.3;1.0;0.0
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;JaQuori McLaughlin;4;0;2.8;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.3;INF
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Total;82;"";"";108.0;9.3;33.8;43.0;23.4;6.7;4.0;11.7;19.7;2.0
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Luka Doncic;34;34;35.4;29.9;1.1;7.9;9.0;8.7;1.2;0.6;4.1;2.5;2.1
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Spencer Dinwiddie;10;3;28.1;18.2;0.2;2.9;3.1;4.0;0.3;0.2;1.5;2.1;2.7
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Kristaps Porzingis;15;15;28.1;16.3;1.8;6.2;8.0;1.8;0.7;1.9;1.5;2.5;1.2
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Jalen Brunson;39;30;31.9;16.3;0.4;3.4;3.8;4.5;0.7;0.1;1.6;1.9;2.7
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Tim Hardaway Jr.;22;9;29.7;13.6;0.3;3.5;3.9;1.9;0.9;0.2;1.0;1.5;2.0
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Dorian Finney-Smith;41;41;33.2;11.2;1.7;3.3;5.0;1.9;1.1;0.6;1.0;2.3;1.9
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Reggie Bullock;38;21;28.8;9.8;0.4;3.0;3.4;1.2;0.6;0.2;0.4;1.7;3.1
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Dwight Powell;41;33;22.0;8.6;2.2;2.7;4.9;1.2;0.5;0.4;0.7;2.7;1.8
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Maxi Kleber;29;13;24.9;7.1;1.5;4.8;6.3;1.3;0.4;1.0;0.7;2.3;2.0
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Davis Bertans;8;0;14.6;5.4;0.5;2.6;3.1;1.1;0.5;0.3;0.3;1.3;4.5
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Trey Burke;22;0;9.8;5.4;0.1;0.7;0.8;1.6;0.3;0.0;0.5;1.0;2.9
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Boban Marjanovic;14;0;6.0;4.4;0.4;1.8;2.1;0.2;0.0;0.1;0.7;0.9;0.3
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Josh Green;33;0;15.1;4.3;0.8;1.5;2.3;1.1;0.7;0.2;0.7;1.5;1.5
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Theo Pinson;9;0;9.8;4.1;0.1;1.0;1.1;1.0;0.6;0.1;0.4;0.9;2.3
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Frank Ntilikina;32;2;11.3;3.6;0.1;1.0;1.1;1.0;0.5;0.1;0.4;1.0;2.3
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Sterling Brown;23;2;12.9;3.1;0.6;2.7;3.2;0.7;0.3;0.1;0.3;1.0;2.4
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Marquese Chriss;17;0;10.0;2.8;1.1;1.8;2.9;0.4;0.4;0.3;0.5;2.1;0.8
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Brandon Knight;1;0;10.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Moses Wright;3;0;4.3;1.7;0.3;0.7;1.0;0.3;0.0;0.3;0.0;0.0;INF
