teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Nikola Jokic;74;74;33.5;27.1;2.8;11.0;13.8;7.9;1.5;0.9;3.8;2.6;2.1
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Aaron Gordon;75;75;31.7;15.0;1.7;4.2;5.9;2.5;0.6;0.6;1.8;2.0;1.4
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Will Barton;71;71;32.1;14.7;0.6;4.2;4.8;3.9;0.8;0.4;1.8;1.6;2.2
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Monte Morris;75;74;29.9;12.6;0.4;2.7;3.0;4.4;0.7;0.2;1.0;1.2;4.3
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Jeff Green;75;63;24.7;10.3;0.5;2.5;3.1;1.3;0.4;0.4;0.9;2.0;1.4
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Bones Hyland;69;4;19.0;10.1;0.2;2.5;2.7;2.8;0.6;0.3;1.2;2.2;2.2
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Michael Porter Jr.;9;9;29.4;9.9;1.0;5.6;6.6;1.9;1.1;0.2;1.3;1.8;1.4
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;DeMarcus Cousins;31;2;13.9;8.9;1.6;3.9;5.5;1.7;0.6;0.4;2.2;3.0;0.8
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Bryn Forbes;35;1;17.4;8.6;0.2;0.7;0.9;1.0;0.2;0.1;0.7;1.5;1.5
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Zeke Nnaji;41;1;17.0;6.6;1.4;2.2;3.6;0.4;0.4;0.3;0.6;1.9;0.7
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;JaMychal Green;67;8;16.2;6.4;1.2;3.0;4.2;0.9;0.6;0.4;0.9;2.4;1.0
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Austin Rivers;67;18;22.1;6.0;0.3;1.4;1.7;1.3;0.8;0.1;0.8;1.8;1.7
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;PJ Dozier;18;0;18.9;5.4;0.8;2.7;3.5;1.6;0.6;0.3;0.7;1.8;2.2
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Facundo Campazzo;65;4;18.2;5.1;0.4;1.4;1.8;3.4;1.0;0.4;1.0;1.9;3.3
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Davon Reed;48;5;13.9;4.4;0.3;2.0;2.3;1.1;0.5;0.2;0.3;1.3;3.3
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Vlatko Cancar;15;1;11.7;4.1;0.5;1.5;2.1;1.1;0.1;0.2;0.6;1.2;1.9
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Markus Howard;31;0;5.7;4.1;0.1;0.3;0.4;0.2;0.3;0.0;0.2;0.5;1.0
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Bol Bol;14;0;5.8;2.4;0.3;1.1;1.4;0.4;0.1;0.1;0.3;0.3;1.3
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Rayjon Tucker;3;0;9.7;2.0;0.3;1.0;1.3;1.3;0.3;0.0;0.0;1.0;INF
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;James Ennis III;3;0;4.7;1.3;0.3;0.3;0.7;1.0;0.0;0.0;0.3;0.3;3.0
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Petr Cornelie;13;0;2.9;1.1;0.5;0.5;1.1;0.2;0.1;0.1;0.3;0.5;0.8
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Carlik Jones;2;0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Total;82;"";"";112.7;9.2;34.9;44.1;27.8;7.2;3.7;13.8;20.0;2.0
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Nikola Jokic;36;36;34.3;28.1;2.8;10.7;13.5;8.1;1.6;0.9;3.6;2.8;2.3
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Aaron Gordon;37;37;32.1;15.2;1.7;4.2;5.9;2.7;0.5;0.6;1.7;2.0;1.6
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Will Barton;36;36;32.2;14.9;0.5;4.5;5.0;4.1;0.7;0.4;1.5;1.7;2.8
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Monte Morris;39;38;29.7;12.1;0.4;2.6;3.0;4.3;0.7;0.1;0.9;1.2;4.7
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Bones Hyland;37;2;19.6;11.0;0.2;2.9;3.1;3.0;0.6;0.3;1.3;2.2;2.4
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Jeff Green;38;33;24.9;10.9;0.6;2.6;3.1;1.3;0.4;0.3;0.9;1.9;1.5
Denver Nuggets;den;2021 - 2022 Regular Season;Home;DeMarcus Cousins;18;2;13.6;8.6;1.6;4.0;5.6;1.5;0.7;0.4;2.1;2.9;0.7
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Bryn Forbes;18;1;17.5;8.1;0.2;0.7;0.9;1.1;0.2;0.1;0.6;1.5;1.8
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Michael Porter Jr.;4;4;21.5;8.0;0.5;2.8;3.3;1.0;0.8;0.3;1.3;1.8;0.8
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Zeke Nnaji;20;0;16.7;7.6;1.7;2.4;4.1;0.3;0.3;0.3;0.4;2.1;0.8
Denver Nuggets;den;2021 - 2022 Regular Season;Home;PJ Dozier;10;0;20.4;6.6;1.0;3.1;4.1;2.0;0.7;0.2;1.0;2.2;2.0
Denver Nuggets;den;2021 - 2022 Regular Season;Home;JaMychal Green;32;3;16.3;6.6;1.3;2.9;4.3;0.8;0.6;0.4;0.9;2.3;0.9
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Vlatko Cancar;5;1;17.0;6.0;1.0;3.0;4.0;2.4;0.2;0.2;0.6;1.8;4.0
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Facundo Campazzo;31;1;15.7;5.1;0.2;1.2;1.5;2.8;0.9;0.2;0.9;1.9;3.2
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Davon Reed;22;3;15.9;4.8;0.1;1.9;2.0;1.1;0.4;0.3;0.4;1.5;2.7
