teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Jerami Grant;47;47;31.9;19.2;0.6;3.5;4.1;2.4;0.9;1.0;1.8;2.3;1.3
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Cade Cunningham;64;64;32.6;17.4;0.9;4.6;5.5;5.6;1.2;0.7;3.7;3.1;1.5
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Saddiq Bey;82;82;33.0;16.1;1.3;4.1;5.4;2.8;0.9;0.2;1.2;1.6;2.4
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Marvin Bagley III;18;8;27.2;14.6;2.1;4.7;6.8;1.1;0.7;0.4;1.0;2.4;1.1
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Hamidou Diallo;58;29;21.9;11.0;1.2;3.6;4.8;1.3;1.2;0.3;1.0;2.5;1.3
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Frank Jackson;53;7;22.0;10.6;0.4;1.3;1.6;1.0;0.5;0.2;0.7;1.7;1.4
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Trey Lyles;51;3;19.4;10.4;1.2;3.6;4.8;1.1;0.4;0.5;1.1;1.8;1.1
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Kelly Olynyk;40;1;19.1;9.1;1.4;3.1;4.4;2.8;0.8;0.5;1.5;2.5;1.9
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Braxton Key;9;0;21.2;8.6;1.3;4.0;5.3;1.1;1.0;1.2;1.0;2.8;1.1
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Isaiah Stewart;71;71;25.6;8.3;3.2;5.5;8.7;1.2;0.3;1.1;1.2;3.0;1.0
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Cory Joseph;65;39;24.6;8.0;0.4;2.2;2.7;3.6;0.6;0.3;1.3;2.3;2.8
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Josh Jackson;39;3;18.1;7.1;0.4;2.7;3.2;1.3;0.5;0.5;1.0;1.8;1.3
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Killian Hayes;66;40;25.0;6.9;0.5;2.6;3.2;4.2;1.2;0.5;1.7;2.8;2.5
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Isaiah Livers;19;5;20.2;6.4;0.8;2.2;3.0;1.1;0.7;0.4;0.8;1.9;1.4
