teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Stephen Curry;64;64;34.5;25.5;0.5;4.7;5.2;6.3;1.3;0.4;3.2;2.0;2.0
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Klay Thompson;32;32;29.4;20.4;0.5;3.4;3.9;2.8;0.5;0.5;1.3;1.7;2.0
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Jordan Poole;76;51;30.0;18.5;0.4;3.0;3.4;4.0;0.8;0.3;2.5;2.7;1.6
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Andrew Wiggins;73;73;31.9;17.2;1.2;3.3;4.5;2.2;1.0;0.7;1.5;2.2;1.5
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Jonathan Kuminga;70;12;16.9;9.3;0.8;2.6;3.3;0.9;0.4;0.3;1.1;2.1;0.9
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Otto Porter Jr.;63;15;22.1;8.2;1.4;4.4;5.7;1.5;1.1;0.5;0.6;1.3;2.5
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Draymond Green;46;44;28.9;7.5;1.0;6.3;7.3;7.0;1.3;1.1;3.0;3.0;2.3
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Damion Lee;63;5;20.0;7.4;0.4;2.8;3.2;1.0;0.6;0.1;0.6;1.5;1.7
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Gary Payton II;71;16;17.6;7.1;1.0;2.5;3.5;0.9;1.4;0.3;0.6;1.8;1.6
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Nemanja Bjelica;71;0;16.1;6.1;0.9;3.3;4.1;2.2;0.6;0.4;1.2;1.8;1.8
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Kevon Looney;82;80;21.1;6.0;2.5;4.7;7.3;2.0;0.6;0.6;0.8;2.6;2.5
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Moses Moody;52;11;11.7;4.4;0.3;1.2;1.5;0.4;0.1;0.2;0.3;0.8;1.8
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Juan Toscano-Anderson;73;6;13.6;4.1;0.4;2.0;2.4;1.7;0.7;0.2;0.9;1.6;1.9
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Andre Iguodala;31;0;19.5;4.0;0.7;2.5;3.2;3.7;0.9;0.7;0.9;1.1;4.1
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Quinndary Weatherspoon;11;0;6.6;2.7;0.2;1.1;1.3;0.5;0.1;0.1;0.3;1.4;1.7
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Chris Chiozza;34;1;10.9;2.0;0.3;0.8;1.1;1.9;0.4;0.0;0.9;0.9;2.0
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Jeff Dowtin Jr.;4;0;7.0;1.5;0.3;1.5;1.8;0.8;0.0;0.3;0.3;0.5;3.0
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Total;82;"";"";111.0;9.8;35.7;45.5;27.1;8.8;4.5;14.3;21.0;1.9
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Stephen Curry;37;37;34.5;25.4;0.6;4.1;4.7;6.6;1.3;0.3;3.1;2.1;2.1
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Klay Thompson;18;18;29.9;21.9;0.6;3.5;4.1;2.9;0.3;0.4;1.3;1.8;2.3
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Jordan Poole;38;25;29.6;18.4;0.4;2.8;3.3;3.9;0.9;0.3;2.2;2.8;1.8
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Andrew Wiggins;37;37;32.0;17.6;1.4;3.4;4.8;2.1;1.0;0.7;1.4;2.1;1.5
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Otto Porter Jr.;34;7;22.8;8.2;1.4;4.1;5.5;1.3;1.0;0.6;0.6;1.3;2.0
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Gary Payton II;35;5;17.8;7.8;1.0;2.4;3.4;1.0;1.4;0.3;0.6;1.8;1.7
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Draymond Green;26;24;28.1;7.4;0.9;7.1;8.0;7.3;1.4;1.3;2.9;2.8;2.5
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Jonathan Kuminga;33;6;14.7;7.2;0.7;2.7;3.4;0.8;0.4;0.2;0.9;1.9;0.8
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Damion Lee;28;1;17.8;7.0;0.4;2.4;2.7;0.9;0.6;0.1;0.6;1.4;1.3
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Nemanja Bjelica;38;0;15.9;6.1;1.1;3.3;4.4;2.2;0.7;0.4;1.2;1.9;1.8
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Kevon Looney;41;41;20.9;5.8;2.5;4.9;7.3;2.0;0.6;0.7;0.9;2.8;2.1
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Juan Toscano-Anderson;37;1;12.7;4.2;0.4;2.1;2.5;1.6;0.6;0.2;0.8;1.4;1.9
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Andre Iguodala;15;0;21.3;3.5;0.6;2.9;3.5;4.4;1.1;0.8;1.3;0.9;3.3
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Moses Moody;23;3;9.8;2.5;0.3;1.3;1.5;0.3;0.1;0.0;0.2;0.7;2.0
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Chris Chiozza;15;0;9.7;1.9;0.1;0.7;0.8;1.3;0.4;0.0;0.8;0.6;1.7
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Jeff Dowtin Jr.;3;0;3.3;1.3;0.0;0.7;0.7;0.0;0.0;0.0;0.0;0.3;0.0
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Quinndary Weatherspoon;5;0;4.4;1.0;0.2;1.2;1.4;0.4;0.0;0.0;0.0;0.8;INF
Golden State Warriors;gs;2021 - 2022 Regular Season;Home;Total;41;"";"";113.0;10.1;36.6;46.8;28.2;9.1;4.8;14.4;20.8;2.0
Golden State Warriors;gs;2021 - 2022 Regular Season;Away;Stephen Curry;27;27;34.6;25.6;0.4;5.5;6.0;6.0;1.4;0.4;3.3;2.0;1.8
Golden State Warriors;gs;2021 - 2022 Regular Season;Away;Jordan Poole;38;26;30.5;18.6;0.5;3.1;3.6;4.1;0.7;0.3;2.7;2.6;1.5
Golden State Warriors;gs;2021 - 2022 Regular Season;Away;Klay Thompson;14;14;28.8;18.4;0.4;3.4;3.7;2.6;0.7;0.7;1.4;1.5;1.8
Golden State Warriors;gs;2021 - 2022 Regular Season;Away;Andrew Wiggins;36;36;31.9;16.8;0.9;3.2;4.1;2.3;1.1;0.7;1.7;2.3;1.4
Golden State Warriors;gs;2021 - 2022 Regular Season;Away;Jonathan Kuminga;37;6;18.9;11.2;0.8;2.5;3.3;1.1;0.5;0.4;1.2;2.2;0.9
Golden State Warriors;gs;2021 - 2022 Regular Season;Away;Otto Porter Jr.;29;8;21.4;8.2;1.3;4.7;6.1;1.8;1.2;0.3;0.6;1.4;3.2
