teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Malcolm Brogdon;36;36;33.5;19.1;0.9;4.2;5.1;5.9;0.8;0.4;2.1;2.0;2.8
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Domantas Sabonis;47;46;34.7;18.9;3.3;8.8;12.1;5.0;1.0;0.5;3.0;3.1;1.7
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Caris LeVert;39;39;31.1;18.7;0.8;3.1;3.8;4.4;0.9;0.5;1.9;2.3;2.3
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Buddy Hield;26;26;35.6;18.2;0.9;4.2;5.1;4.8;0.9;0.4;2.4;2.7;2.0
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Tyrese Haliburton;26;26;36.1;17.5;0.8;3.5;4.3;9.6;1.8;0.6;3.2;1.9;3.0
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Jalen Smith;22;4;24.7;13.4;2.1;5.5;7.6;0.8;0.4;1.0;0.9;2.0;0.9
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Chris Duarte;55;39;28.0;13.1;0.7;3.4;4.1;2.1;1.0;0.2;1.6;1.7;1.3
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Myles Turner;42;42;29.4;12.9;1.5;5.5;7.1;1.0;0.7;2.8;1.3;2.8;0.8
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Justin Holiday;49;40;28.9;11.0;0.4;2.4;2.8;1.8;0.7;0.4;1.0;2.1;1.8
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Duane Washington Jr.;48;7;20.2;9.9;0.1;1.6;1.7;1.8;0.5;0.1;1.2;1.4;1.5
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Terry Taylor;33;7;21.6;9.6;2.9;2.3;5.2;1.2;0.4;0.2;0.7;1.8;1.8
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Lance Stephenson;40;1;18.6;9.3;0.3;2.5;2.8;3.9;0.6;0.1;1.7;2.2;2.3
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Oshae Brissett;67;25;23.3;9.1;1.6;3.7;5.3;1.1;0.7;0.4;0.8;1.7;1.3
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;T.J. McConnell;27;8;24.1;8.5;0.7;2.6;3.3;4.9;1.1;0.4;1.1;2.0;4.5
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Isaiah Jackson;36;15;15.0;8.3;1.7;2.5;4.1;0.3;0.7;1.4;1.1;2.6;0.3
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Tristan Thompson;4;0;16.5;7.3;1.8;2.8;4.5;0.5;0.0;0.5;1.0;1.8;0.5
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Jeremy Lamb;39;0;15.7;7.1;0.4;2.0;2.4;1.3;0.6;0.4;0.6;1.1;2.1
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Goga Bitadze;50;16;14.6;7.0;1.6;2.0;3.5;1.1;0.4;0.8;0.9;2.1;1.2
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Justin Anderson;13;6;20.7;6.8;0.3;2.8;3.1;2.1;0.5;0.5;0.5;1.4;4.5
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Torrey Craig;51;14;20.3;6.5;1.2;2.7;3.8;1.1;0.5;0.4;0.8;1.9;1.5
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Kelan Martin;27;1;16.4;6.3;0.6;1.4;2.0;0.8;0.5;0.3;0.5;1.3;1.5
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Keifer Sykes;32;11;17.7;5.6;0.3;1.2;1.4;1.9;0.4;0.1;1.0;1.6;1.9
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Gabe York;2;0;10.5;4.0;0.0;1.0;1.0;2.0;1.0;0.5;0.5;2.0;4.0
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Brad Wanamaker;22;1;13.3;3.5;0.3;1.3;1.6;2.2;0.2;0.3;1.0;1.9;2.1
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Ahmad Caver;1;0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Reggie Perry;1;0;10.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;DeJon Jarreau;1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Nate Hinton;2;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Total;82;"";"";111.5;11.3;32.6;43.9;25.4;7.1;5.6;13.6;20.4;1.9
Indiana Pacers;ind;2021 - 2022 Regular Season;Home;Domantas Sabonis;23;22;34.9;20.4;3.2;8.5;11.7;4.9;1.2;0.3;2.7;3.3;1.8
Indiana Pacers;ind;2021 - 2022 Regular Season;Home;Caris LeVert;24;24;31.2;19.7;0.6;2.9;3.5;5.0;1.0;0.6;2.2;2.3;2.3
