teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Paul George;31;31;34.7;24.3;0.4;6.5;6.9;5.7;2.2;0.4;4.1;2.4;1.4
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Norman Powell;5;2;25.0;21.4;0.6;2.2;2.8;2.8;0.4;0.8;1.4;2.8;2.0
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Reggie Jackson;75;75;31.2;16.8;0.5;3.1;3.6;4.8;0.7;0.2;2.3;2.1;2.1
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Marcus Morris Sr.;54;54;29.0;15.4;0.5;3.9;4.4;2.1;0.5;0.3;1.3;2.1;1.6
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Luke Kennard;70;13;27.4;11.9;0.3;3.0;3.3;2.1;0.6;0.1;0.9;1.4;2.4
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Terance Mann;81;33;28.6;10.8;1.3;4.0;5.2;2.6;0.7;0.3;1.0;2.2;2.5
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Robert Covington;23;2;22.1;10.4;0.8;4.3;5.1;1.0;1.3;1.2;0.7;2.5;1.4
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Ivica Zubac;76;76;24.4;10.3;2.9;5.6;8.5;1.6;0.5;1.0;1.5;2.7;1.1
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;James Ennis III;2;0;14.0;10.0;1.0;1.5;2.5;0.0;0.5;0.5;0.5;2.0;0.0
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Eric Bledsoe;54;29;25.2;9.9;0.5;2.9;3.4;4.2;1.3;0.4;2.1;1.6;1.9
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Amir Coffey;69;30;22.7;9.0;0.4;2.5;2.9;1.8;0.6;0.2;0.7;1.3;2.8
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Nicolas Batum;59;54;24.8;8.3;0.5;3.8;4.3;1.7;1.0;0.7;0.7;1.4;2.5
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Isaiah Hartenstein;68;0;17.9;8.3;1.7;3.1;4.9;2.4;0.7;1.1;1.2;2.5;1.9
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Brandon Boston Jr.;51;0;14.9;6.7;0.3;1.8;2.2;1.0;0.5;0.3;0.6;0.8;1.6
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Serge Ibaka;35;10;15.4;6.6;1.1;3.1;4.3;1.0;0.2;0.7;0.9;1.6;1.1
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Xavier Moon;10;0;13.7;5.8;0.2;1.2;1.4;2.4;0.7;0.3;0.6;0.9;4.0
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Justise Winslow;37;1;13.0;4.2;0.8;2.8;3.6;1.4;0.6;0.5;1.0;1.2;1.4
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Semi Ojeleye;10;0;9.8;4.1;0.2;1.4;1.6;0.4;0.2;0.1;0.4;0.4;1.0
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Keon Johnson;15;0;9.0;3.5;0.4;1.0;1.4;0.9;0.5;0.1;0.5;1.4;1.9
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Jay Scrubb;18;0;6.7;2.7;0.1;0.8;0.9;0.4;0.2;0.2;0.4;0.5;1.1
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Rodney Hood;13;0;9.8;2.6;0.2;0.6;0.8;0.6;0.2;0.2;0.3;0.3;2.0
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Wenyen Gabriel;6;0;7.7;2.3;0.8;1.5;2.3;0.3;0.2;0.3;0.5;1.8;0.7
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Moses Wright;1;0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;INF
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Total;82;"";"";108.4;9.1;34.9;44.0;24.0;7.4;5.0;13.0;18.6;1.8
LA Clippers;lac;2021 - 2022 Regular Season;Home;Paul George;20;20;34.4;24.7;0.4;6.4;6.8;5.4;2.2;0.5;4.2;2.4;1.3
LA Clippers;lac;2021 - 2022 Regular Season;Home;Norman Powell;3;0;23.0;24.0;0.0;2.0;2.0;2.0;0.0;0.7;1.0;3.3;2.0
LA Clippers;lac;2021 - 2022 Regular Season;Home;Reggie Jackson;38;38;31.3;17.4;0.6;3.0;3.6;4.2;0.8;0.2;2.2;2.2;1.9
LA Clippers;lac;2021 - 2022 Regular Season;Home;Marcus Morris Sr.;27;27;28.2;14.7;0.6;4.1;4.7;2.3;0.3;0.4;1.3;2.2;1.7
LA Clippers;lac;2021 - 2022 Regular Season;Home;Luke Kennard;34;6;27.3;11.4;0.3;2.5;2.7;1.9;0.7;0.1;1.0;1.6;1.9
LA Clippers;lac;2021 - 2022 Regular Season;Home;Terance Mann;40;12;27.9;10.6;1.5;3.8;5.3;2.8;0.7;0.3;1.2;2.2;2.5
LA Clippers;lac;2021 - 2022 Regular Season;Home;Ivica Zubac;39;39;23.3;10.3;3.1;5.4;8.5;1.3;0.3;1.0;1.2;2.6;1.0
LA Clippers;lac;2021 - 2022 Regular Season;Home;James Ennis III;1;0;12.0;10.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0
LA Clippers;lac;2021 - 2022 Regular Season;Home;Eric Bledsoe;28;19;26.6;9.8;0.6;3.0;3.6;4.3;1.3;0.4;2.4;1.6;1.8
LA Clippers;lac;2021 - 2022 Regular Season;Home;Isaiah Hartenstein;34;0;18.1;8.6;2.0;3.2;5.2;2.6;0.9;1.0;1.2;2.3;2.2
LA Clippers;lac;2021 - 2022 Regular Season;Home;Robert Covington;12;1;20.8;8.6;0.8;3.7;4.5;0.9;1.3;0.6;0.7;2.8;1.4
LA Clippers;lac;2021 - 2022 Regular Season;Home;Nicolas Batum;30;28;25.2;8.0;0.4;4.0;4.4;1.8;1.0;0.7;0.8;1.1;2.3
LA Clippers;lac;2021 - 2022 Regular Season;Home;Amir Coffey;32;12;20.1;7.8;0.3;2.6;2.8;1.8;0.4;0.2;0.6;0.9;3.1
LA Clippers;lac;2021 - 2022 Regular Season;Home;Brandon Boston Jr.;23;0;15.6;7.4;0.3;2.0;2.3;1.0;0.6;0.3;0.6;0.6;1.7
