teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;LeBron James;56;56;37.2;30.3;1.1;7.1;8.2;6.2;1.3;1.1;3.5;2.2;1.8
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Anthony Davis;40;40;35.1;23.2;2.7;7.2;9.9;3.1;1.2;2.3;2.1;2.4;1.5
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Russell Westbrook;78;78;34.3;18.5;1.4;6.0;7.4;7.1;1.0;0.3;3.8;3.0;1.9
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Malik Monk;76;37;28.1;13.8;0.5;2.9;3.4;2.9;0.8;0.4;1.6;1.8;1.8
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Carmelo Anthony;69;3;26.0;13.3;0.9;3.3;4.2;1.0;0.7;0.8;0.9;2.4;1.2
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Talen Horton-Tucker;60;19;25.2;10.0;0.6;2.6;3.2;2.7;1.0;0.5;1.4;2.5;1.9
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Isaiah Thomas;4;1;25.3;9.3;0.3;1.8;2.0;1.5;0.0;0.5;1.3;3.0;1.2
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Austin Reaves;61;19;23.2;7.3;0.7;2.4;3.2;1.8;0.5;0.3;0.7;1.4;2.8
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Sekou Doumbouya;2;0;8.0;7.0;1.0;2.0;3.0;0.0;1.5;1.0;1.0;0.5;0.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Mason Jones;4;0;12.8;6.8;0.3;2.3;2.5;1.0;0.5;0.0;0.3;2.0;4.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Wenyen Gabriel;19;5;16.4;6.7;1.8;2.5;4.3;0.6;0.2;0.5;0.7;3.0;0.9
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Wayne Ellington;43;9;18.8;6.7;0.2;1.6;1.8;0.7;0.5;0.1;0.4;1.0;1.6
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Stanley Johnson;48;27;22.8;6.7;0.7;2.5;3.2;1.7;0.9;0.3;0.7;2.3;2.3
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Avery Bradley;62;45;22.7;6.4;0.5;1.7;2.2;0.8;0.9;0.1;0.6;1.9;1.2
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Dwight Howard;60;27;16.2;6.2;2.0;4.0;5.9;0.6;0.6;0.6;0.8;1.9;0.7
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Mac McClung;1;0;22.0;6.0;0.0;3.0;3.0;1.0;1.0;1.0;2.0;5.0;0.5
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;D.J. Augustin;21;0;17.8;5.3;0.2;1.1;1.3;1.6;0.3;0.0;0.5;1.0;3.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;DeAndre Jordan;32;19;12.8;4.1;1.6;3.8;5.4;0.4;0.3;0.8;0.7;1.6;0.6
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Trevor Ariza;24;11;19.3;4.0;0.4;3.0;3.4;1.1;0.5;0.3;0.5;0.8;2.5
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Kent Bazemore;39;14;14.0;3.4;0.3;1.4;1.8;0.9;0.6;0.2;0.5;1.8;1.6
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Rajon Rondo;18;0;16.1;3.1;0.6;2.2;2.7;3.7;0.7;0.3;1.9;1.4;2.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Jemerrio Jones;2;0;7.5;2.0;1.0;0.5;1.5;0.0;0.5;0.0;0.0;1.0;0.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Darren Collison;3;0;12.3;1.3;0.0;1.3;1.3;0.7;0.3;0.0;0.3;1.7;2.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Chaundee Brown Jr.;2;0;10.5;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Jay Huff;4;0;5.0;0.0;0.3;0.8;1.0;0.3;0.3;0.3;0.3;0.3;1.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Total;82;"";"";112.1;9.5;34.5;44.0;24.0;7.6;5.2;13.9;20.2;1.7
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;LeBron James;31;31;37.3;31.2;1.1;6.8;8.0;6.2;1.5;0.9;3.6;2.2;1.7
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Anthony Davis;22;22;36.0;24.3;3.0;8.1;11.1;3.4;1.5;2.4;2.3;2.5;1.5
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Russell Westbrook;40;40;33.9;17.2;1.4;5.8;7.3;7.1;1.1;0.3;3.9;3.2;1.8
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Carmelo Anthony;35;2;27.2;14.6;1.0;3.5;4.5;1.0;0.8;0.8;0.6;2.3;1.7
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Malik Monk;39;15;27.3;12.3;0.5;2.4;2.9;2.7;0.8;0.4;1.6;1.7;1.7
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Talen Horton-Tucker;29;9;27.7;11.6;0.7;3.0;3.6;3.1;1.1;0.6;1.4;2.4;2.1
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Stanley Johnson;21;13;21.5;6.8;1.0;2.3;3.2;1.9;0.8;0.2;0.5;2.4;3.5
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Wayne Ellington;20;4;18.0;6.7;0.2;1.3;1.5;0.7;0.5;0.2;0.3;0.9;2.8
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Wenyen Gabriel;6;1;17.0;6.2;2.0;3.7;5.7;0.5;0.0;1.0;0.5;3.7;1.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Mason Jones;3;0;9.0;6.0;0.3;1.3;1.7;0.3;0.3;0.0;0.3;1.3;1.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Dwight Howard;30;12;16.1;6.0;2.0;4.3;6.3;0.6;0.8;0.9;0.9;1.9;0.7
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Avery Bradley;30;22;22.4;5.8;0.5;1.6;2.1;0.7;0.8;0.2;0.5;1.8;1.6
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Austin Reaves;30;8;21.4;5.3;0.4;1.8;2.2;1.2;0.5;0.3;0.6;1.7;1.9
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;DeAndre Jordan;18;10;11.7;4.1;1.6;3.2;4.8;0.6;0.4;0.8;0.7;1.6;0.8
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Sekou Doumbouya;1;0;8.0;4.0;1.0;1.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Trevor Ariza;13;6;19.0;3.9;0.2;3.2;3.3;0.8;0.5;0.2;0.2;0.9;3.3
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;D.J. Augustin;7;0;17.6;3.4;0.0;1.3;1.3;1.7;0.3;0.0;0.3;1.3;6.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Kent Bazemore;19;10;16.0;3.4;0.3;1.2;1.5;0.6;0.8;0.3;0.4;1.9;1.6
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Isaiah Thomas;2;0;23.5;2.5;0.0;2.0;2.0;2.0;0.0;0.5;1.0;3.5;2.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Rajon Rondo;9;0;17.7;2.0;0.6;2.2;2.8;4.4;0.8;0.4;2.0;1.3;2.2
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Jemerrio Jones;2;0;7.5;2.0;1.0;0.5;1.5;0.0;0.5;0.0;0.0;1.0;0.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Darren Collison;1;0;12.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;3.0;INF
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Jay Huff;2;0;3.5;0.0;0.0;1.0;1.0;0.0;0.0;0.5;0.5;0.0;0.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Home;Total;41;"";"";112.4;9.7;34.6;44.3;24.4;8.3;5.8;13.8;20.3;1.8
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Away;LeBron James;25;25;37.2;29.1;1.1;7.4;8.5;6.3;1.1;1.3;3.3;2.1;1.9
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Away;Anthony Davis;18;18;34.0;21.8;2.2;6.1;8.3;2.6;0.9;2.1;1.8;2.4;1.5
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Away;Russell Westbrook;38;38;34.7;19.8;1.4;6.2;7.6;7.0;0.8;0.2;3.7;2.9;1.9
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Away;Isaiah Thomas;2;1;27.0;16.0;0.5;1.5;2.0;1.0;0.0;0.5;1.5;2.5;0.7
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Away;Malik Monk;37;22;29.0;15.3;0.5;3.4;3.9;3.1;0.8;0.4;1.6;1.9;1.9
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Away;Carmelo Anthony;34;1;24.7;12.0;0.8;3.0;3.8;1.0;0.6;0.7;1.1;2.5;0.9
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Away;Sekou Doumbouya;1;0;8.0;10.0;1.0;3.0;4.0;0.0;2.0;1.0;1.0;1.0;0.0
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Away;Austin Reaves;31;11;25.0;9.2;1.1;3.0;4.1;2.4;0.5;0.3;0.7;1.2;3.4
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Away;Mason Jones;1;0;24.0;9.0;0.0;5.0;5.0;3.0;1.0;0.0;0.0;4.0;INF
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Away;Talen Horton-Tucker;31;10;22.9;8.5;0.6;2.3;2.8;2.3;0.9;0.4;1.3;2.5;1.8
Los Angeles Lakers;lal;2021 - 2022 Regular Season;Away;Wenyen Gabriel;13;4;16.1;6.9;1.7;2.0;3.7;0.7;0.3;0.2;0.8;2.7;0.9
