teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Ja Morant;57;57;33.1;27.4;1.4;4.4;5.7;6.7;1.2;0.4;3.4;1.5;2.0
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Dillon Brooks;32;31;27.7;18.4;0.9;2.3;3.2;2.8;1.1;0.3;1.6;3.3;1.8
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Desmond Bane;76;76;29.8;18.2;0.6;3.8;4.4;2.7;1.2;0.4;1.5;2.6;1.9
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Jaren Jackson Jr.;78;78;27.3;16.3;1.5;4.3;5.8;1.1;0.9;2.3;1.7;3.5;0.7
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;De'Anthony Melton;73;15;22.7;10.8;0.9;3.6;4.5;2.7;1.4;0.5;1.5;1.8;1.7
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Brandon Clarke;64;1;19.5;10.4;2.1;3.2;5.3;1.3;0.6;1.1;0.5;1.9;2.5
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Tyus Jones;73;23;21.2;8.7;0.2;2.2;2.4;4.4;0.9;0.0;0.6;0.4;7.0
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Ziaire Williams;62;31;21.7;8.1;0.4;1.7;2.1;1.0;0.6;0.2;0.7;1.8;1.6
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Kyle Anderson;69;11;21.5;7.6;1.0;4.3;5.3;2.7;1.1;0.7;1.0;1.6;2.6
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Steven Adams;76;75;26.3;6.9;4.6;5.4;10.0;3.4;0.9;0.8;1.5;2.0;2.2
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;John Konchar;72;7;17.9;4.8;1.2;3.4;4.6;1.5;0.6;0.3;0.4;1.3;3.8
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Xavier Tillman;53;2;13.2;4.8;1.2;1.8;3.0;1.2;0.9;0.3;0.6;1.2;1.8
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Sam Merrill;6;0;9.7;4.2;0.2;1.0;1.2;0.7;0.0;0.0;0.3;0.5;2.0
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Santi Aldama;32;0;11.3;4.1;1.0;1.7;2.7;0.7;0.2;0.3;0.5;1.1;1.3
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Jarrett Culver;37;0;9.1;3.5;0.4;0.9;1.3;0.9;0.5;0.1;0.5;1.1;1.7
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Killian Tillie;36;3;12.8;3.3;0.6;1.1;1.7;0.6;0.6;0.4;0.4;1.6;1.7
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Yves Pons;12;0;5.9;1.1;0.4;0.6;1.0;0.1;0.1;0.3;0.1;0.5;1.0
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Dakota Mathias;6;0;2.7;1.0;0.0;0.3;0.3;0.2;0.2;0.0;0.0;0.2;INF
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Shaq Buchanan;2;0;5.0;1.0;0.5;0.5;1.0;1.0;0.5;0.0;1.0;0.5;1.0
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Tyrell Terry;2;0;1.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;DaQuan Jeffries;3;0;3.0;0.7;0.0;0.7;0.7;0.3;0.0;0.0;0.0;0.3;INF
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Xavier Sneed;2;0;4.0;0.0;0.5;0.5;1.0;0.0;0.0;0.0;0.0;1.0;0.0
