teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Jimmy Butler;57;57;33.9;21.4;1.8;4.1;5.9;5.5;1.6;0.5;2.1;1.5;2.6
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Tyler Herro;66;10;32.6;20.7;0.5;4.5;5.0;4.0;0.7;0.1;2.6;1.4;1.5
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Bam Adebayo;56;56;32.6;19.1;2.4;7.6;10.1;3.4;1.4;0.8;2.6;3.1;1.3
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Kyle Lowry;63;63;33.9;13.4;0.5;4.0;4.5;7.5;1.1;0.3;2.7;2.8;2.8
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Victor Oladipo;8;1;21.6;12.4;0.4;2.5;2.9;3.5;0.6;0.1;2.0;1.6;1.8
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Duncan Robinson;79;68;25.9;10.9;0.3;2.3;2.6;1.6;0.5;0.2;0.8;2.5;2.2
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Max Strus;68;16;23.3;10.6;0.4;2.6;3.0;1.4;0.4;0.2;0.8;1.7;1.6
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Caleb Martin;60;12;22.9;9.2;1.2;2.7;3.8;1.1;1.0;0.5;0.9;1.7;1.2
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Gabe Vincent;68;27;23.4;8.7;0.3;1.5;1.9;3.1;0.9;0.2;1.4;2.3;2.1
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;P.J. Tucker;71;70;27.9;7.6;1.4;4.0;5.5;2.1;0.8;0.2;0.9;2.3;2.3
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Markieff Morris;17;1;17.5;7.6;1.0;1.6;2.6;1.4;0.4;0.1;1.2;1.9;1.2
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Mychal Mulder;2;1;22.0;7.0;0.0;1.5;1.5;1.0;0.0;0.5;0.0;0.5;INF
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Dewayne Dedmon;67;15;15.9;6.3;1.6;4.2;5.8;0.7;0.4;0.6;1.0;2.6;0.7
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Nik Stauskas;2;0;12.0;5.5;0.5;1.0;1.5;0.5;0.0;0.0;0.0;0.5;INF
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Omer Yurtseven;56;12;12.6;5.3;1.5;3.7;5.3;0.9;0.3;0.4;0.7;1.5;1.2
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Javonte Smart;4;0;10.0;5.0;0.3;1.0;1.3;0.5;0.5;0.3;0.5;0.3;1.0
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Kyle Guy;19;0;9.8;3.9;0.2;0.7;0.9;0.9;0.4;0.1;0.7;0.6;1.3
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;KZ Okpala;21;0;11.6;3.7;0.5;1.4;2.0;0.7;0.2;0.3;0.2;1.2;2.8
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Chris Silva;9;0;9.8;2.9;1.4;2.4;3.9;0.8;0.0;0.1;0.9;2.2;0.9
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Udonis Haslem;13;0;6.4;2.5;0.3;1.6;1.9;0.3;0.1;0.1;0.4;1.2;0.8
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Haywood Highsmith;19;1;8.6;2.3;0.5;0.8;1.4;0.3;0.1;0.2;0.2;0.7;2.0
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Marcus Garrett;12;0;10.7;1.1;0.8;1.2;1.9;0.6;0.4;0.3;0.2;1.3;3.5
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Total;82;"";"";110.0;9.8;33.9;43.7;25.5;7.4;3.2;13.8;20.5;1.9
Miami Heat;mia;2021 - 2022 Regular Season;Home;Jimmy Butler;32;32;33.4;21.8;1.9;4.1;6.0;5.9;1.7;0.5;2.3;1.5;2.5
Miami Heat;mia;2021 - 2022 Regular Season;Home;Tyler Herro;34;2;31.6;20.9;0.2;3.9;4.1;4.0;0.6;0.1;2.6;1.2;1.5
Miami Heat;mia;2021 - 2022 Regular Season;Home;Bam Adebayo;30;30;31.7;18.8;2.6;7.7;10.3;3.3;1.4;0.8;2.9;3.0;1.2
Miami Heat;mia;2021 - 2022 Regular Season;Home;Kyle Lowry;29;29;33.2;11.9;0.5;3.8;4.3;7.4;1.0;0.2;2.1;2.7;3.5
Miami Heat;mia;2021 - 2022 Regular Season;Home;Duncan Robinson;41;36;24.3;10.6;0.2;1.8;2.0;1.5;0.6;0.1;0.6;2.3;2.7
Miami Heat;mia;2021 - 2022 Regular Season;Home;Max Strus;37;8;23.2;9.9;0.3;2.5;2.8;1.6;0.3;0.2;0.9;2.0;1.8
Miami Heat;mia;2021 - 2022 Regular Season;Home;Caleb Martin;30;4;23.0;9.3;1.1;2.8;3.9;1.1;0.8;0.4;0.8;1.8;1.4
Miami Heat;mia;2021 - 2022 Regular Season;Home;Gabe Vincent;35;17;24.3;8.9;0.4;1.6;2.0;2.9;1.0;0.2;1.4;2.1;2.1
Miami Heat;mia;2021 - 2022 Regular Season;Home;Markieff Morris;10;0;17.6;8.2;1.1;1.9;3.0;1.0;0.2;0.1;1.3;1.8;0.8
Miami Heat;mia;2021 - 2022 Regular Season;Home;P.J. Tucker;36;36;27.3;7.5;1.2;3.9;5.1;2.1;0.9;0.1;0.9;2.3;2.3
Miami Heat;mia;2021 - 2022 Regular Season;Home;Victor Oladipo;6;0;18.3;6.3;0.2;1.5;1.7;2.8;0.2;0.2;1.2;1.5;2.4
Miami Heat;mia;2021 - 2022 Regular Season;Home;Dewayne Dedmon;36;7;15.2;5.5;1.6;4.3;5.9;0.6;0.4;0.7;1.0;2.4;0.7
Miami Heat;mia;2021 - 2022 Regular Season;Home;Omer Yurtseven;28;4;9.9;4.9;1.5;3.0;4.5;0.6;0.3;0.3;0.6;1.4;0.9
Miami Heat;mia;2021 - 2022 Regular Season;Home;KZ Okpala;12;0;12.6;4.5;0.3;1.6;1.9;0.7;0.1;0.4;0.2;1.3;4.0
Miami Heat;mia;2021 - 2022 Regular Season;Home;Udonis Haslem;6;0;6.8;4.0;0.5;2.0;2.5;0.3;0.2;0.2;0.5;1.3;0.7
Miami Heat;mia;2021 - 2022 Regular Season;Home;Mychal Mulder;1;0;2.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;Home;Kyle Guy;7;0;5.0;1.3;0.3;0.6;0.9;0.1;0.0;0.0;0.4;0.3;0.3
Miami Heat;mia;2021 - 2022 Regular Season;Home;Haywood Highsmith;11;0;4.5;1.0;0.3;0.6;0.9;0.3;0.0;0.0;0.1;0.7;3.0
Miami Heat;mia;2021 - 2022 Regular Season;Home;Marcus Garrett;9;0;9.8;0.9;0.7;1.0;1.7;0.8;0.4;0.2;0.1;1.1;7.0
Miami Heat;mia;2021 - 2022 Regular Season;Home;Chris Silva;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;Home;Javonte Smart;3;0;2.0;0.0;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.0;INF
Miami Heat;mia;2021 - 2022 Regular Season;Home;Total;41;"";"";110.8;9.9;33.5;43.4;25.7;7.3;3.1;13.5;20.4;1.9
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Jimmy Butler;2;2;37.5;22.0;2.0;1.5;3.5;2.0;1.0;0.0;2.0;2.5;1.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Max Strus;2;2;36.5;20.5;0.0;5.0;5.0;1.5;1.5;1.0;2.0;2.0;0.8
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Kyle Lowry;2;2;32.0;14.5;0.0;3.5;3.5;6.5;1.5;0.0;3.5;3.0;1.9
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Bam Adebayo;3;3;31.7;14.0;2.0;6.0;8.0;5.7;2.3;0.3;2.7;3.0;2.1
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Tyler Herro;3;0;30.3;10.3;0.0;6.3;6.3;3.0;0.3;0.0;1.3;2.0;2.3
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Markieff Morris;1;0;19.0;9.0;2.0;2.0;4.0;0.0;0.0;0.0;2.0;2.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Duncan Robinson;3;2;26.0;9.0;0.3;2.7;3.0;0.0;0.3;0.3;0.7;2.7;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Caleb Martin;2;1;17.5;7.5;1.5;1.5;3.0;1.0;0.0;0.0;0.5;0.5;2.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Dewayne Dedmon;3;0;13.3;4.3;0.3;3.0;3.3;0.0;0.7;0.7;1.0;3.7;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Kyle Guy;1;0;18.0;4.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Gabe Vincent;3;1;15.3;3.3;0.7;1.7;2.3;4.0;0.7;0.0;1.3;2.0;3.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;P.J. Tucker;2;2;29.5;2.5;2.5;3.0;5.5;3.0;1.0;0.5;1.5;1.0;2.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Udonis Haslem;1;0;5.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Omer Yurtseven;1;0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Boston Celtics;Chris Silva;1;0;19.0;2.0;3.0;6.0;9.0;3.0;0.0;1.0;4.0;4.0;0.8
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Bam Adebayo;4;4;31.0;21.8;1.3;8.8;10.0;3.0;1.0;0.5;3.8;3.5;0.8
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Tyler Herro;4;0;29.5;17.3;0.5;5.0;5.5;3.5;1.0;0.0;2.8;0.3;1.3
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Jimmy Butler;3;3;32.0;12.3;3.0;5.7;8.7;4.7;1.7;0.7;2.3;2.7;2.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Max Strus;4;1;21.3;11.5;0.5;2.3;2.8;1.0;0.5;0.3;0.3;1.8;4.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Kyle Lowry;3;3;32.0;11.3;0.0;3.3;3.3;5.3;0.7;0.0;3.0;3.0;1.8
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;P.J. Tucker;3;3;28.0;11.3;2.7;3.0;5.7;1.0;0.3;0.0;0.3;2.7;3.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Caleb Martin;3;0;21.0;11.3;0.7;1.7;2.3;0.7;0.7;0.7;0.7;2.0;1.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Victor Oladipo;1;0;25.0;9.0;0.0;3.0;3.0;6.0;0.0;0.0;5.0;1.0;1.2
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Dewayne Dedmon;4;0;14.8;9.0;2.3;3.8;6.0;0.3;0.5;0.8;1.0;3.0;0.3
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Duncan Robinson;4;4;25.3;5.8;0.0;2.8;2.8;2.8;0.5;0.3;1.0;2.5;2.8
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Gabe Vincent;3;1;19.3;5.3;0.0;1.0;1.0;1.3;0.7;0.3;1.0;1.3;1.3
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Markieff Morris;1;0;14.0;2.0;0.0;3.0;3.0;0.0;0.0;0.0;1.0;3.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Omer Yurtseven;3;1;5.0;0.7;0.0;1.7;1.7;0.3;0.0;0.3;0.0;0.7;INF
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;KZ Okpala;1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Haywood Highsmith;2;0;10.5;0.0;0.5;2.5;3.0;0.0;0.5;0.5;0.0;0.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Brooklyn Nets;Total;4;"";"";107.3;9.5;37.5;47.0;22.0;6.8;3.5;15.8;21.3;1.4
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Jimmy Butler;3;3;33.3;25.0;2.0;3.0;5.0;4.7;1.7;0.3;3.0;2.7;1.6
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Tyler Herro;2;0;31.5;23.0;0.0;6.5;6.5;3.0;1.5;0.0;2.5;2.5;1.2
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Kyle Lowry;2;2;36.0;18.0;0.0;6.5;6.5;3.5;1.5;0.0;1.5;3.0;2.3
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Bam Adebayo;3;3;32.7;13.0;2.7;8.3;11.0;5.3;1.3;2.0;1.7;2.7;3.2
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;P.J. Tucker;3;3;27.3;10.7;0.0;2.7;2.7;1.3;0.7;0.7;1.0;2.3;1.3
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Duncan Robinson;3;3;21.0;10.3;0.0;1.7;1.7;1.0;0.3;0.3;0.3;4.0;3.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Markieff Morris;1;0;16.0;10.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Gabe Vincent;2;1;28.5;7.0;0.0;1.5;1.5;4.5;2.0;0.0;2.0;3.5;2.3
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Max Strus;3;0;19.3;4.7;0.0;1.3;1.3;2.0;0.7;0.0;1.0;2.7;2.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Dewayne Dedmon;2;0;15.5;4.5;1.0;4.5;5.5;0.5;0.5;0.0;1.0;2.0;0.5
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Omer Yurtseven;2;0;7.5;4.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.5;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Caleb Martin;3;0;21.0;4.3;1.0;2.0;3.0;1.3;0.7;0.3;1.3;2.3;1.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Kyle Guy;1;0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. New York Knicks;Total;3;"";"";109.3;6.3;32.7;39.0;23.3;9.0;3.7;13.3;25.3;1.8
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Gabe Vincent;2;2;32.0;21.0;0.5;1.0;1.5;2.5;0.0;0.5;3.0;2.5;0.8
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Jimmy Butler;3;3;34.3;18.7;1.7;3.0;4.7;6.7;1.7;0.7;2.0;1.7;3.3
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Tyler Herro;3;0;32.0;15.7;0.0;4.3;4.3;3.3;0.7;0.0;1.7;0.7;2.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Caleb Martin;3;0;20.0;14.7;1.3;2.0;3.3;0.3;2.3;0.3;0.3;0.7;1.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Kyle Lowry;3;3;36.3;14.0;0.0;4.7;4.7;6.0;0.7;0.3;3.3;3.0;1.8
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Bam Adebayo;2;2;34.0;14.0;2.0;7.5;9.5;2.0;1.0;1.5;2.5;3.0;0.8
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Omer Yurtseven;3;1;12.3;9.0;2.0;3.0;5.0;1.7;0.3;0.3;0.7;1.7;2.5
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Duncan Robinson;4;3;25.3;8.8;0.8;2.5;3.3;1.8;0.3;0.0;0.5;2.0;3.5
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Max Strus;4;1;24.0;7.5;0.3;3.3;3.5;1.8;0.3;0.3;0.8;1.3;2.3
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;P.J. Tucker;4;4;30.3;6.5;0.8;3.3;4.0;1.5;0.5;0.5;2.0;1.5;0.8
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Dewayne Dedmon;3;1;22.0;5.7;1.0;6.3;7.3;2.0;1.3;0.3;0.7;3.0;3.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Markieff Morris;1;0;12.0;4.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;KZ Okpala;1;0;15.0;4.0;0.0;2.0;2.0;2.0;0.0;1.0;0.0;3.0;INF
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Haywood Highsmith;1;0;1.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Kyle Guy;1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Marcus Garrett;1;0;8.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Javonte Smart;1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Total;4;"";"";101.0;7.8;32.0;39.8;23.0;6.8;3.5;12.8;17.8;1.8
Miami Heat;mia;2021 - 2022 Regular Season;vs. Toronto Raptors;Jimmy Butler;3;3;43.0;24.0;3.0;7.3;10.3;10.7;2.0;0.7;3.7;1.3;2.9
Miami Heat;mia;2021 - 2022 Regular Season;vs. Toronto Raptors;Victor Oladipo;1;0;27.0;21.0;1.0;2.0;3.0;4.0;2.0;0.0;5.0;2.0;0.8
Miami Heat;mia;2021 - 2022 Regular Season;vs. Toronto Raptors;Bam Adebayo;4;4;37.3;19.0;4.0;7.3;11.3;1.5;1.5;1.0;3.0;3.3;0.5
Miami Heat;mia;2021 - 2022 Regular Season;vs. Toronto Raptors;Tyler Herro;4;0;36.0;18.0;0.8;4.8;5.5;5.0;0.5;0.0;4.3;2.5;1.2
Miami Heat;mia;2021 - 2022 Regular Season;vs. Toronto Raptors;Kyle Lowry;1;1;35.0;16.0;1.0;5.0;6.0;10.0;1.0;0.0;2.0;5.0;5.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Toronto Raptors;Max Strus;4;1;29.5;12.3;0.8;3.3;4.0;1.3;0.5;0.8;0.3;2.0;5.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Toronto Raptors;Gabe Vincent;3;3;32.3;11.7;0.3;1.3;1.7;2.0;1.3;0.7;2.0;3.7;1.0
Miami Heat;mia;2021 - 2022 Regular Season;vs. Toronto Raptors;Markieff Morris;1;1;26.0;10.0;1.0;2.0;3.0;4.0;3.0;0.0;0.0;1.0;INF
