teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Giannis Antetokounmpo;67;67;32.9;29.9;2.0;9.6;11.6;5.8;1.1;1.4;3.3;3.2;1.8
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Khris Middleton;66;66;32.4;20.1;0.6;4.8;5.4;5.4;1.2;0.3;2.9;2.4;1.9
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Jrue Holiday;67;64;32.9;18.3;1.0;3.5;4.5;6.8;1.6;0.4;2.7;2.0;2.5
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Bobby Portis;72;59;28.2;14.6;2.5;6.6;9.1;1.2;0.7;0.7;1.3;2.4;1.0
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Brook Lopez;13;11;22.9;12.4;1.5;2.6;4.1;0.5;0.6;1.2;0.9;2.6;0.5
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Grayson Allen;66;61;27.3;11.1;0.5;2.9;3.4;1.5;0.7;0.3;0.7;1.5;2.3
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Pat Connaughton;65;19;26.0;9.9;0.7;3.5;4.2;1.3;0.9;0.2;0.5;1.3;2.3
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;DeMarcus Cousins;17;5;16.9;9.1;1.4;4.4;5.8;1.1;0.9;0.5;0.9;2.7;1.1
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Jordan Nwora;62;13;19.1;7.9;0.6;3.0;3.6;1.0;0.4;0.3;0.9;1.3;1.0
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Rayjon Tucker;2;0;21.0;7.5;1.0;1.0;2.0;3.0;1.5;0.0;0.5;1.0;6.0
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Donte DiVincenzo;17;0;20.1;7.2;1.1;2.5;3.5;1.7;0.6;0.2;1.6;1.5;1.0
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Serge Ibaka;19;2;17.8;7.0;1.2;4.1;5.3;0.7;0.2;0.4;0.5;2.4;1.3
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;George Hill;54;17;23.2;6.2;0.7;2.2;2.9;2.2;0.8;0.1;0.8;1.3;2.9
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Jevon Carter;20;2;17.7;5.6;0.3;1.9;2.2;2.5;0.5;0.2;0.4;1.1;6.3
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Greg Monroe;5;0;14.0;5.4;2.2;2.0;4.2;0.4;0.6;0.4;0.6;1.4;0.7
