teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Karl-Anthony Towns;74;74;33.4;24.6;2.6;7.2;9.8;3.6;1.0;1.1;3.1;3.6;1.2
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Anthony Edwards;72;72;34.3;21.3;0.9;3.9;4.8;3.8;1.5;0.6;2.6;2.3;1.4
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;D'Angelo Russell;65;65;32.0;18.1;0.4;2.9;3.3;7.1;1.0;0.3;2.5;2.0;2.8
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Malik Beasley;79;18;25.0;12.1;0.3;2.5;2.9;1.5;0.5;0.2;0.5;1.1;2.7
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Jaden McDaniels;70;31;25.8;9.2;1.1;3.1;4.2;1.1;0.7;0.8;1.1;3.2;1.1
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Patrick Beverley;58;54;25.4;9.2;1.1;3.1;4.1;4.6;1.2;0.9;1.3;3.0;3.7
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Jaylen Nowell;62;1;15.7;8.5;0.4;1.6;2.0;2.1;0.4;0.2;0.6;1.2;3.6
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Naz Reid;77;6;15.8;8.3;1.3;2.6;3.9;0.9;0.5;0.9;1.1;2.2;0.9
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Taurean Prince;69;8;17.1;7.3;0.4;2.1;2.5;1.0;0.7;0.3;0.8;1.7;1.3
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Greg Monroe;4;0;20.3;7.3;1.5;4.5;6.0;4.0;1.0;1.5;1.8;2.3;2.3
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Jarred Vanderbilt;74;67;25.4;6.9;2.9;5.5;8.4;1.3;1.3;0.6;1.0;2.4;1.3
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Jordan McLaughlin;62;3;14.5;3.8;0.4;1.2;1.5;2.9;0.9;0.2;0.6;0.9;4.7
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Nathan Knight;37;2;7.2;3.7;0.9;1.4;2.3;0.6;0.2;0.2;0.5;1.1;1.2
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Josh Okogie;49;6;10.5;2.7;0.6;0.8;1.4;0.5;0.5;0.2;0.5;1.1;1.1
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Jake Layman;34;1;6.8;2.4;0.2;0.9;1.1;0.3;0.2;0.1;0.3;0.4;0.9
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Leandro Bolmaro;35;2;6.9;1.4;0.5;0.8;1.2;0.6;0.2;0.0;0.4;0.7;1.6
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;McKinley Wright IV;5;0;3.8;1.0;0.0;0.0;0.0;0.6;0.0;0.0;0.2;0.2;3.0
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Chris Silva;1;0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Total;82;"";"";115.9;11.2;32.9;44.2;25.7;8.8;5.6;13.7;21.8;1.9
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Karl-Anthony Towns;38;38;32.9;24.8;2.7;7.6;10.2;3.4;0.8;1.2;2.9;3.7;1.2
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Anthony Edwards;34;34;33.2;18.7;1.0;3.6;4.6;3.8;1.4;0.7;2.4;2.2;1.6
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;D'Angelo Russell;29;29;30.6;16.3;0.5;2.9;3.4;7.1;0.9;0.3;2.4;1.8;2.9
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Malik Beasley;40;11;25.3;12.9;0.4;2.9;3.3;1.6;0.6;0.2;0.5;1.1;3.0
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Patrick Beverley;31;28;25.2;9.3;1.2;3.3;4.4;4.3;0.8;0.9;1.4;3.1;3.1
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Jaylen Nowell;31;0;16.3;9.2;0.3;1.5;1.9;2.2;0.2;0.1;0.7;1.1;3.3
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Greg Monroe;3;0;22.0;9.0;1.3;4.7;6.0;5.0;1.3;2.0;2.0;2.7;2.5
