teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;CJ McCollum;26;26;33.8;24.3;0.7;3.7;4.5;5.8;1.3;0.0;2.2;1.7;2.7
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Brandon Ingram;55;55;34.0;22.7;0.6;5.2;5.8;5.6;0.6;0.5;2.7;2.2;2.0
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Jonas Valanciunas;74;74;30.3;17.8;3.1;8.3;11.4;2.6;0.6;0.8;2.4;3.3;1.1
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Josh Hart;41;40;33.5;13.4;1.3;6.5;7.8;4.1;1.1;0.3;2.0;2.9;2.1
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Nickeil Alexander-Walker;50;19;26.3;12.8;0.7;2.6;3.3;2.8;0.8;0.4;1.7;1.8;1.6
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Devonte' Graham;76;63;28.4;11.9;0.5;1.8;2.3;4.2;0.9;0.2;1.4;1.3;3.0
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Herbert Jones;78;69;29.9;9.5;1.3;2.5;3.8;2.1;1.7;0.8;1.3;3.1;1.7
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Jaxson Hayes;70;28;20.0;9.3;1.6;2.9;4.5;0.6;0.5;0.8;0.8;2.2;0.8
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Willy Hernangomez;50;8;16.8;9.1;2.9;3.9;6.8;1.3;0.4;0.4;1.0;1.9;1.2
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Jared Harper;5;0;8.6;7.4;0.4;0.0;0.4;2.8;0.8;0.2;0.4;1.0;7.0
