teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Julius Randle;72;72;35.3;20.1;1.7;8.2;9.9;5.1;0.7;0.5;3.4;2.8;1.5
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;RJ Barrett;70;70;34.5;20.0;0.9;4.9;5.8;3.0;0.6;0.2;2.2;2.0;1.4
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Evan Fournier;80;80;29.5;14.1;0.4;2.2;2.6;2.1;1.0;0.3;1.3;2.3;1.6
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Derrick Rose;26;4;24.5;12.0;0.8;2.2;3.0;4.0;0.8;0.5;1.5;0.6;2.6
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Alec Burks;81;44;28.6;11.7;0.6;4.3;4.9;3.0;1.0;0.3;1.1;2.7;2.6
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Kemba Walker;37;37;25.6;11.6;0.4;2.6;3.0;3.5;0.7;0.2;1.3;1.0;2.7
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Immanuel Quickley;78;3;23.1;11.3;0.4;2.8;3.2;3.5;0.7;0.0;1.3;2.1;2.8
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Obi Toppin;72;10;17.1;9.0;1.0;2.8;3.7;1.1;0.3;0.5;0.8;1.4;1.4
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Mitchell Robinson;72;62;25.7;8.5;4.1;4.5;8.6;0.5;0.8;1.8;0.8;2.7;0.6
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Cam Reddish;15;0;14.4;6.1;0.3;1.1;1.4;0.7;0.8;0.3;0.9;1.0;0.8
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Quentin Grimes;46;6;17.1;6.0;0.5;1.5;2.0;1.0;0.7;0.2;0.6;1.6;1.6
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Taj Gibson;52;4;18.2;4.4;1.7;2.7;4.4;0.6;0.4;0.8;0.5;2.6;1.2
