teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Shai Gilgeous-Alexander;56;56;34.7;24.5;0.7;4.3;5.0;5.9;1.3;0.8;2.8;2.5;2.1
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Georgios Kalaitzakis;4;4;41.5;17.5;0.5;2.8;3.3;3.0;2.5;0.3;4.0;2.8;0.8
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Luguentz Dort;51;51;32.6;17.2;0.7;3.4;4.2;1.7;0.9;0.4;1.7;2.9;1.0
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Jaylen Hoard;7;5;34.3;14.7;4.3;7.7;12.0;2.4;0.9;0.7;1.1;2.0;2.1
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Josh Giddey;54;54;31.5;12.5;1.8;6.0;7.8;6.4;0.9;0.4;3.2;1.6;2.0
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Zavier Simpson;4;4;43.5;11.0;0.5;4.8;5.3;7.5;1.3;1.0;2.5;3.8;3.0
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Darius Bazley;69;53;27.9;10.8;1.0;5.3;6.3;1.4;0.8;1.0;1.3;1.0;1.1
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Melvin Frazier Jr.;3;0;40.0;10.7;1.7;2.7;4.3;0.3;0.3;0.0;1.0;2.7;0.3
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Tre Mann;60;26;22.8;10.4;0.4;2.4;2.9;1.5;0.8;0.2;1.2;1.7;1.3
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Isaiah Roby;45;28;21.1;10.1;1.7;3.2;4.8;1.6;0.8;0.8;1.0;2.4;1.7
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Aaron Wiggins;50;35;24.2;8.3;1.0;2.5;3.6;1.4;0.6;0.2;1.1;1.9;1.3
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Mike Muscala;43;0;13.8;8.0;0.5;2.5;3.0;0.5;0.4;0.6;0.3;1.3;1.6
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Lindy Waters III;25;1;18.6;8.0;0.2;2.7;2.9;1.0;0.8;0.3;0.4;1.2;2.2
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Aleksej Pokusevski;61;12;20.2;7.6;1.2;4.0;5.2;2.1;0.6;0.6;1.5;1.4;1.4
