teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Cole Anthony;65;65;31.7;16.3;0.5;4.9;5.4;5.7;0.7;0.3;2.6;2.6;2.2
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Franz Wagner;79;79;30.7;15.2;1.1;3.4;4.5;2.9;0.9;0.4;1.5;2.1;1.9
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Wendell Carter Jr.;62;61;29.9;15.0;2.2;8.2;10.5;2.8;0.6;0.7;1.9;2.7;1.5
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Jalen Suggs;48;45;27.2;11.8;0.5;3.0;3.6;4.4;1.2;0.4;3.0;3.0;1.5
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Gary Harris;61;30;28.4;11.1;0.6;1.4;2.0;1.8;1.0;0.1;1.0;1.8;1.8
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Markelle Fultz;18;3;20.0;10.8;0.2;2.5;2.7;5.5;1.1;0.3;2.2;1.2;2.5
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Mo Bamba;71;69;25.7;10.6;2.1;6.0;8.1;1.2;0.5;1.7;1.1;2.6;1.1
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Devin Cannady;5;0;29.0;10.0;0.2;1.0;1.2;2.0;1.0;0.6;1.0;1.8;2.0
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Terrence Ross;63;0;23.0;10.0;0.3;2.2;2.6;1.8;0.4;0.2;1.2;1.1;1.5
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Moritz Wagner;63;3;15.2;9.0;0.7;3.0;3.7;1.4;0.3;0.2;0.9;2.0;1.6
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Chuma Okeke;70;20;25.0;8.6;0.7;4.3;5.0;1.7;1.4;0.6;0.8;1.4;2.1
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;R.J. Hampton;64;14;21.9;7.6;0.4;2.7;3.0;2.5;0.7;0.2;1.4;1.6;1.8
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Robin Lopez;36;9;17.0;7.1;1.9;1.6;3.5;1.5;0.1;0.5;1.2;1.9;1.2
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;BJ Johnson;4;0;16.3;6.5;1.5;2.3;3.8;0.0;0.0;0.3;0.0;1.0;0.0
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Hassani Gravett;8;3;21.4;6.3;0.1;2.5;2.6;2.5;0.6;0.1;1.1;1.6;2.2
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Ignas Brazdeikis;42;1;12.8;5.0;0.5;1.2;1.7;0.9;0.2;0.1;0.4;1.1;2.2
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Admiral Schofield;38;1;12.3;3.8;0.4;1.9;2.3;0.7;0.1;0.1;0.6;1.5;1.2
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Tim Frazier;10;3;20.0;3.7;0.5;1.4;1.9;3.3;0.3;0.1;1.3;2.4;2.5
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Mychal Mulder;15;2;13.0;3.7;0.1;1.3;1.4;0.2;0.3;0.1;0.5;0.8;0.4
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Jeff Dowtin Jr.;4;0;19.3;3.3;1.8;1.0;2.8;1.8;1.3;0.0;1.0;0.8;1.8
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Aleem Ford;5;0;14.8;2.8;0.4;2.6;3.0;0.4;0.2;0.0;0.8;1.4;0.5
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Freddie Gillespie;9;2;13.2;2.3;1.4;2.6;4.0;0.6;0.3;1.0;0.6;2.0;1.0
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Total;82;"";"";104.2;9.1;35.2;44.3;23.7;6.8;4.5;13.8;19.7;1.7
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Wendell Carter Jr.;33;32;29.8;16.2;2.3;8.1;10.4;2.4;0.7;0.7;1.7;2.8;1.4
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Franz Wagner;39;39;30.5;14.9;0.9;3.3;4.2;2.4;0.9;0.4;1.4;2.0;1.7
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Cole Anthony;34;34;30.9;14.8;0.4;4.5;4.9;5.4;0.8;0.4;2.5;2.6;2.2
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Mo Bamba;36;35;26.7;11.7;2.3;6.9;9.1;1.1;0.6;1.6;1.2;2.7;0.9
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Jalen Suggs;24;23;28.0;11.3;0.6;2.9;3.5;4.5;1.2;0.5;3.2;3.1;1.4
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Markelle Fultz;14;2;19.8;10.5;0.3;2.4;2.7;5.6;1.1;0.2;2.4;1.5;2.3
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Moritz Wagner;33;2;16.0;10.0;0.8;3.1;3.9;1.5;0.3;0.2;0.7;1.6;2.3
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Gary Harris;29;11;26.8;9.6;0.4;1.1;1.5;1.6;0.9;0.2;0.9;2.0;1.9
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Devin Cannady;4;0;29.3;9.5;0.3;1.3;1.5;2.3;1.3;0.5;1.0;1.5;2.3
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Terrence Ross;29;0;21.3;9.3;0.4;2.2;2.6;1.8;0.3;0.2;1.2;0.9;1.5
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Chuma Okeke;36;10;25.0;8.3;0.6;3.9;4.6;1.9;1.4;0.7;0.9;1.3;2.0
Orlando Magic;orl;2021 - 2022 Regular Season;Home;R.J. Hampton;31;10;23.4;8.1;0.4;2.3;2.6;2.7;0.7;0.2;1.4;1.6;2.0
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Robin Lopez;13;3;16.1;6.3;1.5;1.3;2.8;1.3;0.1;0.2;1.2;1.8;1.1
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Ignas Brazdeikis;22;1;13.6;6.1;0.5;1.2;1.6;1.0;0.1;0.0;0.4;1.1;2.4
Orlando Magic;orl;2021 - 2022 Regular Season;Home;Hassani Gravett;3;1;20.0;5.3;0.0;1.7;1.7;2.3;0.3;0.0;1.3;2.0;1.8
