teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Joel Embiid;68;68;33.8;30.6;2.1;9.6;11.7;4.2;1.1;1.5;3.1;2.7;1.3
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;James Harden;21;21;37.7;21.0;0.6;6.5;7.1;10.5;1.2;0.2;3.4;2.3;3.1
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Tyrese Maxey;75;74;35.3;17.5;0.3;2.9;3.2;4.3;0.7;0.4;1.2;2.1;3.6
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Tobias Harris;73;73;34.8;17.2;1.1;5.7;6.8;3.5;0.6;0.6;1.6;2.2;2.2
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Seth Curry;45;45;34.8;15.0;0.4;3.0;3.4;4.0;0.8;0.2;1.9;2.2;2.2
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Georges Niang;76;7;22.8;9.2;0.3;2.3;2.7;1.3;0.4;0.2;0.8;2.5;1.7
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Shake Milton;55;6;21.4;8.2;0.5;2.0;2.6;2.5;0.5;0.3;0.8;1.8;3.2
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Furkan Korkmaz;67;19;21.1;7.6;0.3;2.3;2.6;1.9;0.5;0.1;0.7;0.9;2.6
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Andre Drummond;49;12;18.4;6.1;2.8;6.1;8.8;2.0;1.1;0.9;1.6;2.5;1.2
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Danny Green;62;28;21.8;5.9;0.5;2.0;2.5;1.0;1.0;0.6;0.7;1.7;1.4
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Matisse Thybulle;66;50;25.5;5.7;0.6;1.7;2.3;1.1;1.7;1.1;0.6;2.4;1.9
