teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Devin Booker;68;68;34.5;26.8;0.7;4.4;5.0;4.8;1.1;0.4;2.4;2.6;2.0
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Deandre Ayton;58;58;29.5;17.2;2.6;7.7;10.2;1.4;0.7;0.7;1.6;2.4;0.9
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Chris Paul;65;65;32.9;14.7;0.3;4.0;4.4;10.8;1.9;0.3;2.4;2.1;4.6
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Mikal Bridges;82;82;34.8;14.2;0.9;3.3;4.2;2.3;1.2;0.4;0.8;1.8;2.7
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Cameron Johnson;66;16;26.2;12.5;0.6;3.5;4.1;1.5;0.9;0.2;0.7;1.7;2.1
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Cameron Payne;58;12;22.0;10.8;0.4;2.6;3.0;4.9;0.7;0.3;1.8;2.1;2.7
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Frank Kaminsky;9;0;20.1;10.6;1.2;3.3;4.6;1.4;0.9;0.8;0.6;1.6;2.6
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Jae Crowder;67;67;28.1;9.4;0.4;4.8;5.3;1.9;1.4;0.4;0.8;2.6;2.3
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;JaVale McGee;74;17;15.8;9.2;2.2;4.5;6.7;0.6;0.3;1.1;1.3;2.4;0.4
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Landry Shamet;69;14;20.8;8.3;0.2;1.6;1.8;1.6;0.4;0.1;0.6;1.3;2.6
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Torrey Craig;27;2;20.8;6.9;1.0;3.3;4.3;1.2;0.8;0.6;1.0;2.1;1.2
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Aaron Holiday;22;1;16.3;6.8;0.7;1.8;2.5;3.4;0.8;0.0;1.3;1.5;2.7
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Jalen Smith;29;4;13.2;6.0;1.9;2.9;4.8;0.2;0.2;0.6;0.8;1.8;0.3
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Bismack Biyombo;36;3;14.1;5.8;1.8;2.9;4.6;0.6;0.3;0.7;0.7;1.9;0.9
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Gabriel Lundberg;4;0;11.0;3.3;0.5;1.3;1.8;2.8;0.8;0.0;0.8;1.8;3.7
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Elfrid Payton;50;1;11.0;3.0;0.4;1.3;1.8;2.0;0.5;0.1;0.9;0.8;2.1
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Paris Bass;2;0;3.5;3.0;1.0;1.0;2.0;0.0;0.5;0.0;1.0;1.0;0.0
