teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Damian Lillard;29;29;36.4;24.0;0.4;3.7;4.1;7.3;0.6;0.4;2.9;1.3;2.6
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;CJ McCollum;36;36;35.2;20.5;0.9;3.3;4.3;4.5;1.0;0.6;1.9;2.1;2.3
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Josh Hart;13;13;32.1;19.9;0.7;4.7;5.4;4.3;1.2;0.2;2.5;2.5;1.7
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Norman Powell;40;39;33.3;18.7;0.4;2.9;3.3;2.1;1.0;0.4;1.6;2.3;1.3
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Anfernee Simons;57;30;29.5;17.3;0.5;2.2;2.6;3.9;0.5;0.1;2.0;1.9;1.9
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Jusuf Nurkic;56;56;28.2;15.0;3.0;8.1;11.1;2.8;1.1;0.6;2.6;3.4;1.1
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Drew Eubanks;22;22;29.5;14.5;3.0;5.5;8.5;1.6;0.8;0.5;1.6;2.8;1.0
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Brandon Williams;24;16;26.7;12.9;0.8;2.3;3.1;3.9;1.0;0.4;2.4;2.2;1.6
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Justise Winslow;11;10;26.8;10.7;1.8;4.5;6.3;2.9;1.3;0.6;1.1;1.9;2.7
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Ben McLemore;64;6;20.1;10.2;0.2;1.4;1.6;0.9;0.6;0.2;0.9;1.6;1.1
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Reggie Perry;9;1;19.7;10.0;1.7;3.4;5.1;1.3;1.0;0.7;1.2;3.3;1.1
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Nassir Little;42;23;25.9;9.8;1.4;4.2;5.6;1.3;0.6;0.9;1.0;2.0;1.4
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Keon Johnson;22;12;25.5;9.7;0.8;1.9;2.7;2.9;1.0;0.5;1.8;2.2;1.6
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Robert Covington;48;40;29.8;7.6;0.9;4.9;5.7;1.4;1.5;1.3;1.2;2.8;1.2
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Trendon Watford;48;10;18.1;7.6;1.2;3.0;4.1;1.7;0.5;0.6;0.9;2.4;1.8
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Kris Dunn;14;3;24.0;7.6;0.6;2.9;3.5;5.6;1.6;0.2;2.3;2.7;2.5
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Larry Nance Jr.;37;11;23.2;6.9;1.6;4.1;5.6;2.0;1.0;0.4;0.7;1.8;2.7
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;CJ Elleby;58;28;20.2;5.8;1.1;2.8;3.9;1.5;0.6;0.3;1.0;2.0;1.6
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Dennis Smith Jr.;37;4;17.3;5.6;0.5;1.8;2.4;3.6;1.2;0.3;1.4;1.4;2.6
