teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Dejounte Murray;68;68;34.8;21.1;1.2;7.1;8.3;9.2;2.0;0.3;2.6;2.0;3.5
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Keldon Johnson;75;74;31.9;17.0;1.1;5.0;6.1;2.1;0.8;0.2;1.2;2.0;1.7
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Derrick White;49;48;30.3;14.4;0.5;3.0;3.5;5.6;1.0;0.9;1.8;2.4;3.1
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Jakob Poeltl;68;67;29.0;13.5;3.9;5.5;9.3;2.8;0.7;1.7;1.6;3.1;1.7
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Devin Vassell;71;32;27.3;12.3;0.6;3.7;4.3;1.9;1.1;0.6;0.8;2.0;2.3
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Lonnie Walker IV;70;6;23.0;12.1;0.3;2.3;2.6;2.2;0.6;0.3;1.0;1.4;2.1
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Josh Richardson;21;7;24.4;11.4;0.8;2.1;2.9;2.3;1.0;0.3;1.3;1.6;1.8
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Doug McDermott;51;51;24.0;11.3;0.4;1.9;2.3;1.3;0.3;0.1;0.8;1.5;1.5
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Bryn Forbes;40;1;16.9;9.1;0.1;1.5;1.6;1.0;0.4;0.1;0.8;1.1;1.2
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Zach Collins;28;4;17.9;7.8;1.6;3.8;5.5;2.2;0.5;0.8;1.6;2.4;1.4
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Thaddeus Young;26;1;14.2;6.1;1.5;2.0;3.6;2.3;0.9;0.3;1.2;1.5;2.0
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Tre Jones;69;11;16.6;6.0;0.4;1.8;2.2;3.4;0.6;0.1;0.7;1.1;5.1
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Joshua Primo;50;16;19.3;5.8;0.6;1.6;2.3;1.6;0.4;0.5;1.1;1.6;1.4
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Keita Bates-Diop;59;14;16.2;5.7;1.1;2.9;3.9;0.7;0.5;0.2;0.8;1.0;0.9
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Jock Landale;54;1;10.9;4.9;1.2;1.4;2.6;0.8;0.2;0.3;0.6;1.0;1.5
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Drew Eubanks;49;9;12.1;4.7;1.3;2.7;4.0;1.0;0.3;0.6;0.9;1.2;1.1
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Devontae Cacok;15;0;8.1;3.1;0.5;2.3;2.8;0.4;0.5;0.5;0.2;1.1;2.0
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Tomas Satoransky;1;0;9.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Romeo Langford;4;0;10.8;2.8;0.0;1.0;1.0;0.5;0.3;0.0;0.0;0.3;INF
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Joe Wieskamp;29;0;7.1;2.1;0.1;0.3;0.5;0.3;0.1;0.1;0.1;0.5;4.5
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Tyler Johnson;3;0;17.7;2.0;0.7;1.3;2.0;1.7;0.7;0.7;0.3;1.0;5.0
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Juancho Hernangomez;5;0;10.2;1.4;0.8;2.2;3.0;0.6;0.2;0.2;0.4;0.0;1.5
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Jaylen Morris;3;0;5.3;0.7;0.0;0.7;0.7;0.7;0.0;0.0;0.3;0.7;2.0
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Anthony Lamb;2;0;4.0;0.0;0.0;0.5;0.5;1.0;0.0;0.0;0.0;0.0;INF
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Total;82;"";"";113.2;11.0;34.3;45.3;27.9;7.6;4.9;12.3;18.1;2.3
San Antonio Spurs;sa;2021 - 2022 Regular Season;Home;Dejounte Murray;34;34;35.0;21.5;1.1;7.8;8.9;8.8;2.0;0.3;2.8;2.1;3.1
San Antonio Spurs;sa;2021 - 2022 Regular Season;Home;Keldon Johnson;38;37;30.6;16.8;0.9;4.7;5.6;2.1;0.5;0.2;1.1;2.0;1.9
San Antonio Spurs;sa;2021 - 2022 Regular Season;Home;Derrick White;27;26;30.7;15.1;0.5;3.5;4.0;6.0;1.0;0.9;2.0;2.4;2.9
