teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Pascal Siakam;68;68;37.9;22.8;1.9;6.6;8.5;5.3;1.3;0.6;2.7;3.3;2.0
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Fred VanVleet;65;65;37.9;20.3;0.7;3.8;4.4;6.7;1.7;0.5;2.6;2.5;2.6
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Gary Trent Jr.;70;69;35.0;18.3;0.4;2.4;2.7;2.0;1.7;0.3;1.0;2.1;1.9
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;O.G. Anunoby;48;48;36.0;17.1;1.5;4.0;5.5;2.6;1.5;0.5;1.7;2.7;1.6
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Scottie Barnes;74;74;35.4;15.3;2.6;4.9;7.5;3.5;1.1;0.7;1.8;2.6;1.9
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Chris Boucher;80;9;21.1;9.4;2.2;3.9;6.2;0.3;0.6;0.9;0.5;2.2;0.6
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Precious Achiuwa;73;28;23.6;9.1;2.0;4.5;6.5;1.1;0.5;0.6;1.2;2.1;1.0
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Goran Dragic;5;2;18.0;8.0;0.4;2.4;2.8;1.8;1.0;0.2;0.2;1.6;9.0
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;D.J. Wilson;4;1;13.5;7.5;0.3;3.8;4.0;1.3;1.3;0.3;0.5;1.5;2.5
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Thaddeus Young;26;0;18.3;6.3;1.5;2.9;4.4;1.7;1.2;0.4;0.8;1.7;2.0
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Juwan Morgan;1;0;27.0;5.0;2.0;2.0;4.0;1.0;0.0;0.0;0.0;3.0;INF
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Svi Mykhailiuk;56;5;12.8;4.6;0.4;1.3;1.6;0.8;0.5;0.1;0.6;1.0;1.4
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Khem Birch;55;28;18.0;4.5;2.2;2.1;4.3;1.0;0.5;0.5;0.5;1.9;1.9
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Malachi Flynn;44;5;12.2;4.3;0.2;1.2;1.4;1.6;0.5;0.1;0.3;1.0;5.4
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Yuta Watanabe;38;4;11.7;4.3;0.5;1.9;2.4;0.6;0.3;0.4;0.5;1.0;1.1
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Tremont Waters;2;0;21.0;4.0;0.0;2.0;2.0;3.5;2.0;0.0;2.0;1.0;1.8
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Dalano Banton;64;1;10.9;3.2;0.6;1.3;1.9;1.5;0.4;0.2;0.8;1.1;1.9
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Daniel Oturu;3;0;9.0;3.0;0.3;1.3;1.7;0.0;0.0;0.7;0.0;0.3;0.0
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Armoni Brooks;13;3;11.8;2.6;0.6;1.1;1.7;1.0;0.5;0.2;0.3;1.1;3.3
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Justin Champagnie;36;0;7.8;2.3;1.0;1.0;2.0;0.3;0.2;0.1;0.2;0.9;1.4
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Isaac Bonga;15;0;4.6;0.8;0.3;0.2;0.5;0.3;0.5;0.1;0.1;0.7;2.0
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Sam Dekker;1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;David Johnson;2;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Toronto Raptors;tor;2021 - 2022 Regular Season;All Splits;Total;82;"";"";109.4;13.4;32.0;45.3;22.1;9.0;4.6;11.6;19.6;1.9
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Pascal Siakam;34;34;37.7;24.5;2.3;7.1;9.4;5.8;1.2;0.6;2.8;3.6;2.1
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Fred VanVleet;33;33;37.4;20.9;0.7;3.8;4.5;6.9;1.8;0.4;2.5;2.5;2.8
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;O.G. Anunoby;25;25;35.2;17.0;1.4;3.7;5.1;2.6;1.6;0.5;1.5;2.9;1.8
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Gary Trent Jr.;35;34;34.9;16.8;0.3;2.2;2.4;2.1;1.7;0.4;0.9;1.9;2.3
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Scottie Barnes;37;37;35.4;15.3;2.6;5.0;7.6;3.3;1.1;0.9;1.9;2.6;1.8
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Precious Achiuwa;36;12;23.4;9.0;1.9;4.1;6.1;0.9;0.4;0.6;1.2;2.1;0.8
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Chris Boucher;40;6;20.3;9.0;2.3;4.0;6.2;0.3;0.7;1.0;0.5;2.1;0.6
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Goran Dragic;4;2;19.5;8.8;0.5;2.8;3.3;2.0;1.0;0.3;0.3;1.5;8.0
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Thaddeus Young;11;0;19.5;7.8;1.8;2.9;4.7;1.8;1.0;0.5;0.5;1.8;3.3
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Malachi Flynn;21;4;14.3;5.5;0.1;1.2;1.4;1.8;0.4;0.2;0.4;1.3;4.8
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Yuta Watanabe;19;2;15.1;4.6;0.4;2.4;2.8;0.6;0.4;0.2;0.6;1.5;1.0
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;D.J. Wilson;2;0;7.0;4.5;0.0;3.0;3.0;0.0;0.0;0.0;0.0;1.5;0.0
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Svi Mykhailiuk;28;2;13.4;4.4;0.4;1.6;1.9;0.8;0.4;0.1;0.6;1.1;1.4
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Khem Birch;27;13;17.6;4.4;2.0;1.9;3.9;1.0;0.4;0.4;0.6;1.8;1.8
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Dalano Banton;33;0;9.3;3.4;0.7;1.2;2.0;1.5;0.5;0.2;0.7;1.1;2.1
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Justin Champagnie;17;0;8.1;3.1;1.1;0.8;1.9;0.2;0.4;0.2;0.3;0.8;0.8
Toronto Raptors;tor;2021 - 2022 Regular Season;Home;Armoni Brooks;5;1;13.2;2.8;1.0;1.4;2.4;2.0;0.8;0.4;0.4;1.2;5.0
