teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Donovan Mitchell;67;67;33.8;25.9;0.8;3.4;4.2;5.3;1.5;0.2;3.0;2.4;1.8
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Bojan Bogdanovic;69;69;30.9;18.1;0.8;3.4;4.3;1.7;0.5;0.0;1.7;1.7;1.0
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Jordan Clarkson;79;1;27.1;16.0;0.8;2.6;3.5;2.5;0.8;0.2;1.6;1.9;1.5
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Rudy Gobert;66;66;32.1;15.6;3.7;11.0;14.7;1.1;0.7;2.1;1.8;2.7;0.6
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Mike Conley;72;72;28.6;13.7;0.7;2.4;3.0;5.3;1.3;0.3;1.7;2.0;3.1
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Hassan Whiteside;65;8;17.9;8.2;2.6;5.0;7.6;0.4;0.3;1.6;0.8;2.8;0.5
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Rudy Gay;55;1;18.9;8.1;1.0;3.4;4.4;1.0;0.5;0.3;0.9;1.7;1.2
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Royce O'Neale;77;77;31.2;7.4;0.8;3.9;4.8;2.5;1.1;0.4;1.0;2.4;2.4
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Joe Ingles;45;15;24.9;7.2;0.3;2.6;2.9;3.5;0.5;0.1;1.0;1.8;3.4
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Danuel House Jr.;25;6;19.6;6.8;0.6;2.2;2.7;1.0;0.6;0.5;0.6;1.4;1.7
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Juancho Hernangomez;17;9;17.5;6.2;0.9;2.6;3.5;0.8;0.5;0.4;0.5;1.1;1.8
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Eric Paschall;58;3;12.7;5.8;0.5;1.3;1.8;0.6;0.2;0.1;0.5;0.9;1.3
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Udoka Azubuike;17;6;11.5;4.7;1.1;3.1;4.2;0.0;0.1;0.6;0.7;1.5;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Greg Monroe;3;0;8.7;4.0;2.0;1.0;3.0;1.0;0.0;0.3;0.0;2.0;INF
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Jared Butler;42;1;8.6;3.8;0.1;1.0;1.1;1.5;0.4;0.2;0.8;1.1;1.9
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Nickeil Alexander-Walker;15;2;9.9;3.5;0.1;1.5;1.5;1.1;0.3;0.3;0.5;1.0;2.1
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Trent Forrest;60;6;12.8;3.3;0.4;1.3;1.7;1.8;0.5;0.1;0.8;0.7;2.2
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Elijah Hughes;14;1;8.0;3.1;0.1;1.1;1.2;0.4;0.3;0.1;0.5;0.5;0.9
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Denzel Valentine;2;0;9.0;2.5;0.0;2.0;2.0;0.0;0.5;0.0;1.0;1.5;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Norvel Pelle;3;0;6.3;2.0;1.0;1.0;2.0;0.0;0.0;0.3;0.7;0.3;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Malik Fitts;7;0;5.0;0.9;0.0;1.4;1.4;0.0;0.0;0.0;0.3;0.4;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Xavier Sneed;7;0;4.4;0.7;0.1;0.4;0.6;0.1;0.0;0.0;0.0;0.0;INF
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Miye Oni;16;0;2.8;0.3;0.1;0.4;0.4;0.3;0.0;0.0;0.1;0.4;5.0
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Zylan Cheatham;1;0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Total;82;"";"";113.6;10.8;35.6;46.3;22.4;7.2;4.9;13.2;18.9;1.7
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Donovan Mitchell;35;35;33.1;25.1;1.0;3.6;4.6;5.4;1.5;0.2;2.7;2.4;2.0
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Bojan Bogdanovic;38;38;30.4;18.7;0.9;3.4;4.3;1.7;0.5;0.0;1.7;1.9;1.0
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Jordan Clarkson;39;0;26.6;16.7;0.7;2.6;3.3;2.3;0.8;0.2;1.4;1.7;1.6
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Rudy Gobert;33;33;31.8;16.7;3.3;11.3;14.6;1.2;0.6;2.1;2.0;2.8;0.6
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Mike Conley;37;37;28.3;14.1;0.6;2.5;3.1;5.5;1.1;0.4;1.6;2.2;3.5
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Hassan Whiteside;34;2;17.4;8.2;2.5;5.0;7.5;0.4;0.3;1.7;0.9;3.0;0.5
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Rudy Gay;25;0;19.2;7.3;0.8;3.3;4.1;1.2;0.4;0.4;0.9;1.6;1.4
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Joe Ingles;24;7;25.4;7.3;0.3;2.9;3.2;3.5;0.7;0.2;1.0;2.1;3.5
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Royce O'Neale;38;38;30.8;7.1;0.8;4.1;4.9;2.8;0.8;0.4;1.0;2.3;2.7
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Danuel House Jr.;11;3;18.4;6.5;0.5;1.4;1.9;0.5;0.6;0.4;0.5;1.2;1.0
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Udoka Azubuike;12;5;12.6;5.7;1.2;3.9;5.1;0.0;0.0;0.8;0.9;1.8;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Eric Paschall;28;0;12.6;5.3;0.6;1.6;2.2;0.9;0.1;0.1;0.5;0.7;1.7
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Denzel Valentine;1;0;17.0;5.0;0.0;3.0;3.0;0.0;1.0;0.0;2.0;3.0;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Nickeil Alexander-Walker;8;1;11.5;4.8;0.0;1.9;1.9;1.5;0.6;0.1;0.5;1.1;3.0
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Juancho Hernangomez;8;3;13.9;4.1;0.5;2.4;2.9;0.8;0.4;0.6;0.5;0.9;1.5
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Greg Monroe;2;0;8.5;4.0;2.5;1.0;3.5;1.0;0.0;0.0;0.0;1.5;INF
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Trent Forrest;28;3;12.4;3.7;0.4;1.1;1.5;1.8;0.5;0.1;0.9;0.7;1.9
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Jared Butler;24;0;8.0;3.3;0.1;0.7;0.8;1.7;0.4;0.1;0.3;0.9;5.1
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Elijah Hughes;7;0;4.6;1.3;0.0;0.3;0.3;0.1;0.1;0.1;0.4;0.3;0.3
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Xavier Sneed;4;0;4.8;0.8;0.0;0.3;0.3;0.0;0.0;0.0;0.0;0.0;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Miye Oni;9;0;3.0;0.2;0.1;0.3;0.4;0.2;0.0;0.0;0.1;0.6;2.0
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Zylan Cheatham;1;0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Malik Fitts;2;0;2.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.5;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;Home;Total;41;"";"";116.8;10.5;36.6;47.1;23.5;6.8;5.3;13.0;19.5;1.8
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Donovan Mitchell;32;32;34.7;26.7;0.6;3.1;3.8;5.3;1.4;0.1;3.3;2.5;1.6
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Bojan Bogdanovic;31;31;31.5;17.3;0.8;3.5;4.3;1.8;0.5;0.0;1.7;1.5;1.0
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Jordan Clarkson;40;1;27.6;15.4;1.0;2.7;3.6;2.6;0.9;0.2;1.8;2.1;1.4
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Rudy Gobert;33;33;32.5;14.4;4.0;10.7;14.7;1.0;0.8;2.0;1.6;2.5;0.6
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Mike Conley;35;35;28.9;13.3;0.7;2.2;2.9;5.2;1.5;0.2;1.8;1.7;2.8
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Rudy Gay;30;1;18.6;8.8;1.2;3.5;4.6;0.9;0.5;0.3;0.8;1.9;1.0
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Hassan Whiteside;31;6;18.4;8.3;2.6;5.1;7.7;0.4;0.4;1.5;0.7;2.5;0.5
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Juancho Hernangomez;9;6;20.8;8.0;1.2;2.9;4.1;0.9;0.7;0.2;0.4;1.2;2.0
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Royce O'Neale;39;39;31.7;7.7;0.9;3.8;4.7;2.2;1.4;0.4;1.0;2.5;2.2
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Joe Ingles;21;8;24.4;7.2;0.2;2.3;2.6;3.5;0.3;0.0;1.0;1.5;3.3
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Danuel House Jr.;14;3;20.6;7.1;0.6;2.8;3.4;1.4;0.6;0.6;0.7;1.6;2.0
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Eric Paschall;30;3;12.8;6.2;0.5;1.0;1.5;0.4;0.2;0.1;0.4;1.1;0.9
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Elijah Hughes;7;1;11.4;4.9;0.3;1.9;2.1;0.7;0.4;0.0;0.6;0.7;1.3
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Jared Butler;18;1;9.2;4.5;0.1;1.3;1.4;1.2;0.4;0.3;1.4;1.4;0.9
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Greg Monroe;1;0;10.0;4.0;1.0;1.0;2.0;1.0;0.0;1.0;0.0;3.0;INF
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Trent Forrest;32;3;13.1;2.8;0.4;1.4;1.8;1.8;0.5;0.1;0.7;0.8;2.6
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Udoka Azubuike;5;1;8.8;2.4;0.8;1.2;2.0;0.0;0.2;0.4;0.2;0.8;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Nickeil Alexander-Walker;7;1;8.1;2.1;0.1;1.0;1.1;0.7;0.0;0.4;0.6;0.9;1.3
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Norvel Pelle;3;0;6.3;2.0;1.0;1.0;2.0;0.0;0.0;0.3;0.7;0.3;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Malik Fitts;5;0;6.2;1.2;0.0;1.8;1.8;0.0;0.0;0.0;0.4;0.4;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Xavier Sneed;3;0;4.0;0.7;0.3;0.7;1.0;0.3;0.0;0.0;0.0;0.0;INF
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Miye Oni;7;0;2.4;0.4;0.0;0.4;0.4;0.4;0.0;0.0;0.0;0.3;INF
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Denzel Valentine;1;0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
Utah Jazz;utah;2021 - 2022 Regular Season;Away;Total;41;"";"";110.4;11.0;34.5;45.6;21.3;7.6;4.5;13.4;18.2;1.6
Utah Jazz;utah;2021 - 2022 Regular Season;vs. Boston Celtics;Donovan Mitchell;2;2;33.5;35.5;0.5;3.0;3.5;3.5;1.0;0.0;2.0;2.0;1.8
Utah Jazz;utah;2021 - 2022 Regular Season;vs. Boston Celtics;Mike Conley;2;2;30.0;19.0;2.0;2.0;4.0;5.0;0.5;0.5;2.5;2.5;2.0
Utah Jazz;utah;2021 - 2022 Regular Season;vs. Boston Celtics;Bojan Bogdanovic;1;1;31.0;16.0;0.0;3.0;3.0;2.0;1.0;0.0;0.0;2.0;INF
