teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Bradley Beal;40;40;36.0;23.2;1.0;3.8;4.7;6.6;0.9;0.4;3.4;2.4;2.0
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Kristaps Porzingis;17;17;28.2;22.1;2.2;6.6;8.8;2.9;0.7;1.5;1.6;2.9;1.8
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Kyle Kuzma;66;66;33.4;17.1;1.1;7.4;8.5;3.5;0.6;0.9;2.6;1.9;1.4
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Montrezl Harrell;46;3;24.3;14.1;2.1;4.6;6.7;2.1;0.4;0.7;1.1;1.9;1.9
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Kentavious Caldwell-Pope;77;77;30.2;13.2;0.5;2.9;3.4;1.9;1.1;0.3;1.3;1.8;1.5
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Spencer Dinwiddie;44;44;30.2;12.6;0.8;3.9;4.7;5.8;0.6;0.2;1.7;2.4;3.5
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Rui Hachimura;42;13;22.5;11.3;0.6;3.2;3.8;1.1;0.5;0.2;0.8;1.3;1.5
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Daniel Gafford;72;53;20.1;9.4;2.2;3.5;5.7;0.9;0.4;1.4;0.9;2.4;1.0
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Ish Smith;28;0;22.0;8.6;0.5;2.5;3.0;5.2;1.0;0.5;1.5;1.6;3.5
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Deni Avdija;82;8;24.2;8.4;0.6;4.5;5.2;2.0;0.7;0.5;1.1;2.3;1.9
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Corey Kispert;77;36;23.4;8.2;0.7;2.0;2.7;1.1;0.5;0.3;0.6;1.2;1.7
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Raul Neto;70;19;19.6;7.5;0.2;1.7;1.9;3.1;0.8;0.0;1.1;1.5;2.7
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Thomas Bryant;27;9;16.3;7.4;1.0;3.0;4.0;0.9;0.2;0.8;0.7;1.6;1.2
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Brad Wanamaker;1;1;27.0;7.0;0.0;4.0;4.0;7.0;2.0;0.0;0.0;3.0;INF
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Aaron Holiday;41;14;16.2;6.1;0.2;1.4;1.6;1.9;0.6;0.2;1.0;1.5;2.0
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Davis Bertans;34;0;14.7;5.7;0.2;1.6;1.8;0.5;0.3;0.2;0.4;1.6;1.1
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Tomas Satoransky;22;10;18.9;4.9;0.4;2.4;2.8;4.9;0.7;0.2;1.0;1.7;4.7
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Anthony Gill;44;0;10.5;4.1;0.8;1.2;1.9;0.6;0.1;0.3;0.4;1.3;1.5
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Greg Monroe;2;0;9.0;4.0;3.5;1.5;5.0;0.5;0.5;0.5;1.0;1.0;0.5
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Vernon Carey Jr.;3;0;9.0;4.0;1.7;0.7;2.3;0.0;0.3;0.3;0.7;1.0;0.0
