teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Jayson Tatum;9.3;20.6;45.3;3.0;8.6;35.3;5.3;6.2;85.3;6.3;12.0;52.4;1.308;0.53
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Jaylen Brown;8.7;18.4;47.3;2.5;7.0;35.8;3.7;4.8;75.8;6.2;11.4;54.4;1.281;0.54
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Dennis Schroder;5.2;11.9;44.0;1.4;3.9;34.9;2.5;3.0;84.8;3.9;8.0;48.5;1.205;0.50
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Marcus Smart;4.2;10.1;41.8;1.7;5.1;33.1;2.0;2.5;79.3;2.5;5.0;50.6;1.199;0.50
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Derrick White;3.6;8.8;40.9;1.3;4.3;30.6;2.5;2.9;85.3;2.3;4.6;50.4;1.243;0.48
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Al Horford;3.9;8.2;46.7;1.3;3.8;33.6;1.2;1.4;84.2;2.6;4.4;58.2;1.232;0.55
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Robert Williams III;4.4;6.0;73.6;0.0;0.0;0.0;1.1;1.5;72.2;4.4;6.0;73.8;1.649;0.74
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Josh Richardson;3.5;7.8;44.3;1.4;3.5;39.7;1.4;1.6;85.9;2.0;4.3;48.1;1.245;0.53
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Daniel Theis;3.2;5.3;59.8;0.5;1.3;35.7;1.0;1.5;68.8;2.7;4.0;67.9;1.482;0.64
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Grant Williams;2.7;5.6;47.5;1.4;3.4;41.1;1.1;1.2;90.5;1.3;2.3;56.9;1.394;0.60
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Payton Pritchard;2.3;5.3;42.9;1.4;3.5;41.2;0.3;0.3;100.0;0.8;1.8;46.1;1.185;0.56
Boston Celtics;bos;2021 - 2022 Regular Season;All Splits;Romeo Langford;1.8;4.2;42.9;0.7;1.9;34.9;0.5;0.8;58.8;1.1;2.3;49.5;1.125;0.51
