teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Miles Bridges;7.5;15.2;49.1;1.9;5.8;33.1;3.3;4.2;80.2;5.5;9.4;59.0;1.329;0.55
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;LaMelo Ball;7.2;16.7;42.9;2.9;7.5;38.9;2.8;3.2;87.2;4.2;9.2;46.2;1.203;0.52
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Terry Rozier;7.1;16.0;44.4;3.0;8.1;37.4;2.1;2.4;85.2;4.1;7.9;51.6;1.207;0.54
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Gordon Hayward;5.8;12.6;45.9;1.8;4.5;39.1;2.6;3.0;84.6;4.0;8.1;49.6;1.261;0.53
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Kelly Oubre Jr.;5.4;12.3;44.0;2.5;7.3;34.5;1.7;2.5;66.7;2.9;5.0;57.8;1.220;0.54
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Montrezl Harrell;4.4;6.9;64.5;0.0;0.1;0.0;2.5;3.6;69.2;4.4;6.8;65.3;1.657;0.65
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;P.J. Washington;3.8;8.2;47.0;1.7;4.6;36.5;0.9;1.2;71.6;2.2;3.6;60.6;1.256;0.57
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Isaiah Thomas;3.1;7.1;43.3;1.4;3.4;39.7;0.8;0.9;93.3;1.7;3.6;46.8;1.175;0.53
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Cody Martin;2.9;6.0;48.2;0.9;2.2;38.4;1.1;1.5;70.1;2.0;3.7;54.2;1.286;0.55
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Mason Plumlee;2.8;4.4;64.1;0.0;0.0;0.0;0.9;2.3;39.2;2.8;4.4;64.5;1.491;0.64
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Jalen McDaniels;2.2;4.6;48.4;0.7;2.0;38.0;1.0;1.3;73.6;1.5;2.7;56.2;1.339;0.56
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;James Bouknight;1.6;4.5;34.8;0.5;1.6;34.7;0.9;1.0;87.1;1.0;3.0;34.8;1.007;0.41
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Ish Smith;2.0;5.0;39.5;0.3;0.7;40.0;0.3;0.5;63.2;1.7;4.3;39.4;0.908;0.42
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Nick Richards;1.2;1.8;66.7;0.0;0.0;0.0;0.6;0.9;69.8;1.2;1.8;66.7;1.667;0.67
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;JT Thor;0.7;1.7;43.6;0.2;0.8;25.9;0.4;0.6;60.0;0.5;0.8;60.7;1.218;0.50
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Vernon Carey Jr.;0.8;1.5;50.0;0.0;0.0;0.0;0.5;0.8;66.7;0.8;1.5;50.0;1.333;0.50
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Kai Jones;0.4;0.7;64.3;0.0;0.1;50.0;0.1;0.4;37.5;0.4;0.6;66.7;1.571;0.68
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Scottie Lewis;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;50.0;0.0;0.0;0.0;0.000;0.00
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Arnoldas Kulboka;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000;0.00
Charlotte Hornets;cha;2021 - 2022 Regular Season;All Splits;Total;42.8;91.4;46.8;13.9;38.2;36.5;15.8;21.4;74.0;28.8;53.3;54.2;1.261;0.54
Charlotte Hornets;cha;2021 - 2022 Regular Season;Home;LaMelo Ball;7.3;17.3;41.9;3.2;8.0;39.3;2.6;2.9;87.4;4.1;9.3;44.1;1.167;0.51
Charlotte Hornets;cha;2021 - 2022 Regular Season;Home;Terry Rozier;7.3;16.1;45.1;3.3;8.7;38.5;1.8;2.1;84.2;3.9;7.5;52.8;1.219;0.55
Charlotte Hornets;cha;2021 - 2022 Regular Season;Home;Miles Bridges;6.8;14.4;47.2;1.6;5.6;27.9;3.6;4.4;82.9;5.3;8.9;59.3;1.304;0.53
Charlotte Hornets;cha;2021 - 2022 Regular Season;Home;Kelly Oubre Jr.;5.4;12.6;42.9;2.6;7.8;34.1;1.6;2.4;65.6;2.8;4.8;57.0;1.195;0.53
Charlotte Hornets;cha;2021 - 2022 Regular Season;Home;Gordon Hayward;5.4;12.2;43.9;1.4;4.4;31.3;2.0;2.5;79.6;4.0;7.9;50.9;1.149;0.49
Charlotte Hornets;cha;2021 - 2022 Regular Season;Home;Montrezl Harrell;4.9;6.9;70.2;0.0;0.1;0.0;2.7;4.1;67.2;4.9;6.9;70.9;1.798;0.70
Charlotte Hornets;cha;2021 - 2022 Regular Season;Home;P.J. Washington;4.2;8.9;46.6;1.8;5.0;36.1;1.0;1.5;66.7;2.3;3.9;60.2;1.252;0.57
Charlotte Hornets;cha;2021 - 2022 Regular Season;Home;Isaiah Thomas;3.3;7.1;46.9;0.9;3.0;29.6;1.3;1.4;92.3;2.4;4.1;59.5;1.250;0.53
Charlotte Hornets;cha;2021 - 2022 Regular Season;Home;Cody Martin;2.6;5.8;45.1;0.6;1.9;29.6;0.8;1.3;66.0;2.0;3.8;52.8;1.146;0.50
Charlotte Hornets;cha;2021 - 2022 Regular Season;Home;Mason Plumlee;2.8;4.4;63.4;0.0;0.0;0.0;0.7;2.2;33.8;2.8;4.4;63.4;1.435;0.63
Charlotte Hornets;cha;2021 - 2022 Regular Season;Home;Jalen McDaniels;2.3;4.6;50.5;0.8;1.9;41.9;0.8;1.2;64.3;1.5;2.7;56.5;1.352;0.59
Charlotte Hornets;cha;2021 - 2022 Regular Season;Home;James Bouknight;1.8;4.4;40.0;0.6;1.6;40.7;0.8;0.9;87.5;1.1;2.8;39.6;1.133;0.47
