teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;DeMar DeRozan;10.2;20.2;50.4;0.7;1.9;35.2;6.8;7.8;87.7;9.5;18.3;52.0;1.380;0.52
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Zach LaVine;8.4;17.7;47.6;2.8;7.1;38.9;4.8;5.6;85.3;5.7;10.6;53.4;1.379;0.55
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Nikola Vucevic;7.5;15.8;47.3;1.4;4.5;31.4;1.3;1.7;76.0;6.1;11.3;53.7;1.116;0.52
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Lonzo Ball;4.6;10.9;42.3;3.1;7.4;42.3;0.6;0.8;75.0;1.5;3.5;42.3;1.188;0.57
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Coby White;4.6;10.6;43.3;2.2;5.8;38.5;1.3;1.5;85.7;2.3;4.8;49.1;1.199;0.54
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Patrick Williams;3.2;6.0;52.9;0.9;1.7;51.7;1.8;2.4;73.2;2.3;4.3;53.4;1.500;0.60
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Ayo Dosunmu;3.6;6.9;52.0;0.9;2.4;37.6;0.7;1.0;67.9;2.7;4.5;59.6;1.269;0.59
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Alex Caruso;2.5;6.2;39.8;1.0;3.1;33.3;1.4;1.8;79.5;1.5;3.2;46.2;1.188;0.48
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Javonte Green;2.7;5.0;54.2;0.6;1.6;35.6;1.2;1.5;83.3;2.2;3.4;62.5;1.440;0.60
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Tristan Thompson;2.3;4.0;56.5;0.0;0.1;0.0;1.1;2.1;54.2;2.3;3.9;57.8;1.413;0.57
Chicago Bulls;chi;2021 - 2022 Regular Season;All Splits;Derrick Jones Jr.;2.1;3.8;53.8;0.4;1.2;32.8;1.1;1.4;80.0;1.7;2.6;63.4;1.467;0.59
