teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Darius Garland;8.0;17.3;46.2;2.6;6.7;38.3;3.2;3.5;89.2;5.4;10.6;51.2;1.256;0.54
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Jarrett Allen;6.6;9.7;67.7;0.0;0.2;10.0;2.9;4.2;70.8;6.6;9.6;68.8;1.659;0.68
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Collin Sexton;6.2;13.7;45.0;1.0;4.1;24.4;2.6;3.5;74.4;5.2;9.6;53.8;1.166;0.49
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Evan Mobley;6.1;12.0;50.8;0.3;1.3;25.0;2.4;3.7;66.3;5.8;10.7;54.1;1.246;0.52
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Lauri Markkanen;5.1;11.5;44.5;2.2;6.2;35.8;2.3;2.6;86.8;2.9;5.3;54.8;1.280;0.54
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Kevin Love;4.4;10.3;43.0;2.5;6.4;39.2;2.2;2.7;83.8;1.9;3.8;49.3;1.323;0.55
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Caris LeVert;5.3;12.2;43.5;1.1;3.5;31.3;1.8;2.5;74.5;4.2;8.7;48.5;1.112;0.48
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Ricky Rubio;4.4;12.1;36.3;1.7;5.1;33.9;2.6;3.0;85.4;2.6;7.0;38.0;1.083;0.43
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Cedi Osman;3.7;8.7;43.2;1.9;5.4;35.7;1.3;2.0;66.4;1.8;3.2;55.9;1.240;0.54
Cleveland Cavaliers;cle;2021 - 2022 Regular Season;All Splits;Isaac Okoro;3.1;6.4;48.0;0.8;2.3;35.0;1.8;2.3;76.8;2.3;4.1;55.5;1.364;0.54
