teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Luka Doncic;9.9;21.6;45.7;3.1;8.8;35.3;5.6;7.5;74.4;6.8;12.8;52.8;1.316;0.53
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Kristaps Porzingis;6.7;14.9;45.1;1.4;5.1;28.3;4.3;5.0;86.5;5.3;9.9;53.7;1.287;0.50
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Jalen Brunson;6.4;12.8;50.2;1.2;3.2;37.3;2.3;2.7;84.0;5.2;9.6;54.5;1.275;0.55
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Spencer Dinwiddie;5.3;10.6;49.8;1.8;4.5;40.4;3.4;4.7;72.5;3.4;6.0;56.8;1.494;0.58
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Tim Hardaway Jr.;5.0;12.6;39.4;2.4;7.2;33.6;1.9;2.5;75.7;2.5;5.4;47.3;1.128;0.49
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Dorian Finney-Smith;4.1;8.7;47.1;2.2;5.4;39.5;0.7;1.0;67.5;1.9;3.2;59.9;1.272;0.60
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Dwight Powell;3.3;4.9;67.1;0.2;0.5;35.1;2.0;2.6;78.3;3.1;4.4;70.3;1.788;0.69
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Reggie Bullock;3.0;7.4;40.1;2.1;5.8;36.0;0.6;0.7;83.3;0.9;1.6;55.0;1.164;0.54
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Maxi Kleber;2.4;6.0;39.8;1.4;4.3;32.5;0.8;1.1;70.8;1.0;1.7;58.6;1.161;0.52
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Brandon Knight;2.0;5.0;40.0;0.8;3.4;23.5;1.6;1.6;100.0;1.2;1.6;75.0;1.280;0.48
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Isaiah Thomas;3.0;8.0;37.5;0.0;3.0;0.0;0.0;0.0;0.0;3.0;5.0;60.0;0.750;0.38
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Davis Bertans;1.8;4.7;37.5;1.4;3.9;36.0;0.4;0.5;80.0;0.4;0.8;44.4;1.125;0.52
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Trey Burke;2.0;5.1;39.1;0.6;2.0;31.7;0.5;0.5;87.0;1.4;3.2;43.6;0.995;0.45
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Josh Green;1.9;3.8;50.8;0.4;1.2;35.9;0.5;0.7;68.9;1.5;2.7;57.3;1.246;0.56
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Marquese Chriss;1.8;3.9;46.3;0.2;0.7;32.0;0.6;1.0;66.7;1.6;3.2;49.5;1.149;0.49
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Boban Marjanovic;1.8;3.0;60.0;0.0;0.2;25.0;0.6;1.0;59.1;1.8;2.9;62.1;1.400;0.61
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Frank Ntilikina;1.5;3.8;39.9;0.7;1.9;34.2;0.4;0.4;96.0;0.9;1.9;45.5;1.076;0.48
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Sterling Brown;1.2;3.2;38.1;0.6;1.9;30.4;0.3;0.3;93.3;0.6;1.3;49.2;1.032;0.47
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Moses Brown;1.0;1.9;54.0;0.0;0.0;0.0;1.0;1.7;62.8;1.0;1.9;54.0;1.620;0.54
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Theo Pinson;0.7;2.1;35.9;0.5;1.6;33.3;0.5;0.5;100.0;0.2;0.5;44.4;1.231;0.49
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Willie Cauley-Stein;0.9;1.9;45.7;0.1;0.1;50.0;0.1;0.1;50.0;0.8;1.8;45.5;0.971;0.47
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Eugene Omoruyi;0.5;1.3;40.0;0.3;0.5;50.0;0.5;1.0;50.0;0.3;0.8;33.3;1.400;0.50
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Moses Wright;0.3;1.3;25.0;0.0;0.3;0.0;1.0;1.0;100.0;0.3;1.0;33.3;1.250;0.25
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Charlie Brown Jr.;0.3;1.7;20.0;0.0;1.0;0.0;0.0;0.0;0.0;0.3;0.7;50.0;0.400;0.20
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Carlik Jones;0.0;2.3;0.0;0.0;0.3;0.0;0.7;0.7;100.0;0.0;2.0;0.0;0.286;0.00
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;George King;0.0;1.3;0.0;0.0;1.0;0.0;0.3;0.5;50.0;0.0;0.3;0.0;0.200;0.00
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;JaQuori McLaughlin;0.0;0.5;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.000;0.00
Dallas Mavericks;dal;2021 - 2022 Regular Season;All Splits;Total;39.3;85.1;46.1;13.1;37.4;35.0;16.4;21.2;77.1;26.2;47.8;54.8;1.269;0.54
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Luka Doncic;10.4;22.3;46.6;3.1;8.7;35.6;6.0;8.2;73.5;7.3;13.6;53.6;1.340;0.53
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Spencer Dinwiddie;5.8;11.1;52.3;2.4;5.3;45.3;4.2;5.5;76.4;3.4;5.8;58.6;1.640;0.63
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Kristaps Porzingis;5.5;13.1;42.3;1.4;4.7;29.6;3.9;4.7;81.7;4.1;8.3;49.6;1.250;0.48
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Jalen Brunson;6.3;12.6;49.9;1.1;3.3;34.1;2.6;3.0;85.5;5.2;9.3;55.5;1.290;0.54
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Tim Hardaway Jr.;4.8;12.2;39.2;2.4;6.8;34.7;1.7;2.5;68.5;2.4;5.4;44.9;1.116;0.49
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Dorian Finney-Smith;4.1;8.9;46.7;2.4;5.8;40.6;0.5;0.9;59.5;1.8;3.0;58.4;1.261;0.60
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Reggie Bullock;3.4;8.1;41.6;2.4;6.4;37.0;0.7;0.8;83.3;1.0;1.7;58.5;1.205;0.56
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Dwight Powell;3.2;4.9;66.5;0.1;0.5;26.3;2.0;2.6;78.3;3.1;4.4;70.7;1.770;0.68
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Maxi Kleber;2.5;6.3;39.6;1.5;4.6;32.8;0.7;1.0;63.3;1.0;1.7;58.3;1.137;0.52
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Davis Bertans;1.8;4.4;40.0;1.3;3.1;40.0;0.6;0.8;83.3;0.5;1.3;40.0;1.229;0.54
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Trey Burke;2.1;5.0;41.4;0.7;2.1;34.8;0.5;0.5;83.3;1.4;3.0;46.2;1.063;0.49
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Boban Marjanovic;1.9;3.3;58.7;0.1;0.3;25.0;0.4;0.6;66.7;1.9;3.0;61.9;1.326;0.60
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Josh Green;1.8;3.5;50.4;0.4;1.1;34.3;0.3;0.6;57.9;1.4;2.5;57.3;1.205;0.56
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Theo Pinson;1.2;3.0;40.7;1.0;2.3;42.9;0.7;0.7;100.0;0.2;0.7;33.3;1.370;0.57
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Frank Ntilikina;1.4;3.5;39.3;0.6;1.9;30.6;0.3;0.3;88.9;0.8;1.6;50.0;1.027;0.48
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Sterling Brown;1.2;3.4;34.6;0.5;2.0;23.9;0.3;0.3;100.0;0.7;1.4;50.0;0.910;0.42
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Marquese Chriss;1.2;3.5;33.9;0.1;0.6;9.1;0.4;0.5;66.7;1.1;2.8;39.6;0.797;0.35
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Brandon Knight;1.0;4.0;25.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;100.0;0.500;0.25
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Moses Wright;0.3;1.3;25.0;0.0;0.3;0.0;1.0;1.0;100.0;0.3;1.0;33.3;1.250;0.25
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Moses Brown;0.6;1.0;58.3;0.0;0.0;0.0;0.5;0.7;75.0;0.6;1.0;58.3;1.667;0.58
Dallas Mavericks;dal;2021 - 2022 Regular Season;Home;Willie Cauley-Stein;0.8;2.0;37.5;0.0;0.1;0.0;0.0;0.0;0.0;0.8;1.9;40.0;0.750;0.38
