teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Nikola Jokic;10.3;17.7;58.3;1.3;3.9;33.7;5.1;6.3;81.0;9.0;13.8;65.2;1.529;0.62
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Aaron Gordon;5.8;11.1;52.0;1.2;3.5;33.5;2.3;3.1;74.3;4.6;7.7;60.5;1.350;0.57
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Will Barton;5.5;12.6;43.8;2.2;6.1;36.5;1.4;1.8;80.3;3.3;6.6;50.4;1.164;0.53
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Monte Morris;5.0;10.3;48.4;1.7;4.2;39.5;1.0;1.1;86.9;3.3;6.1;54.5;1.223;0.56
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Jeff Green;3.7;7.1;52.4;0.7;2.2;31.5;2.2;2.6;83.3;3.0;4.8;62.0;1.459;0.57
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Bones Hyland;3.3;8.3;40.3;1.9;5.2;36.6;1.6;1.8;85.6;1.4;3.1;46.5;1.222;0.52
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Michael Porter Jr.;4.1;11.4;35.9;1.1;5.3;20.8;0.6;1.0;55.6;3.0;6.1;49.1;0.864;0.41
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;DeMarcus Cousins;3.0;6.6;45.6;0.8;2.4;32.4;2.1;2.8;73.6;2.3;4.3;53.0;1.340;0.51
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Bryn Forbes;2.9;6.9;42.4;1.7;4.1;41.0;1.0;1.1;92.1;1.3;2.8;44.4;1.235;0.55
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Zeke Nnaji;2.3;4.5;51.6;0.9;2.0;46.3;1.0;1.6;63.1;1.4;2.6;55.7;1.452;0.62
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;JaMychal Green;2.4;4.9;48.6;0.5;1.9;26.6;1.2;1.4;87.1;1.9;3.0;62.1;1.321;0.54
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Austin Rivers;2.2;5.2;41.7;1.2;3.4;34.2;0.5;0.7;72.7;1.0;1.8;56.3;1.151;0.53
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;PJ Dozier;2.0;5.5;36.4;0.8;2.7;31.3;0.6;0.7;76.9;1.2;2.8;41.2;0.980;0.44
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Facundo Campazzo;1.6;4.6;36.1;0.9;3.0;30.1;0.9;1.2;76.9;0.8;1.6;47.6;1.122;0.46
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Davon Reed;1.7;3.4;50.3;0.8;1.8;43.0;0.2;0.3;66.7;0.9;1.6;58.7;1.298;0.62
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Vlatko Cancar;1.5;2.7;56.1;0.5;0.8;58.3;0.6;0.9;64.3;1.1;1.9;55.2;1.512;0.65
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Markus Howard;1.3;3.3;38.6;0.9;2.3;40.0;0.6;0.7;87.0;0.4;1.0;35.5;1.248;0.52
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Bol Bol;1.1;1.9;55.6;0.1;0.3;25.0;0.1;0.4;40.0;1.0;1.6;60.9;1.222;0.57
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Rayjon Tucker;0.3;0.7;50.0;0.3;0.7;50.0;1.0;1.3;75.0;0.0;0.0;0.0;3.000;0.75
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;James Ennis III;0.7;2.0;33.3;0.0;0.7;0.0;0.0;0.3;0.0;0.7;1.3;50.0;0.667;0.33
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Petr Cornelie;0.4;1.2;33.3;0.1;0.6;12.5;0.2;0.3;75.0;0.3;0.5;57.1;0.933;0.37
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Carlik Jones;0.5;1.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;50.0;1.000;0.50
Denver Nuggets;den;2021 - 2022 Regular Season;All Splits;Total;41.7;86.3;48.3;12.7;35.9;35.3;16.7;21.0;79.5;29.0;50.4;57.5;1.306;0.56
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Nikola Jokic;10.7;17.9;59.7;1.2;3.7;33.3;5.5;6.9;80.2;9.4;14.2;66.5;1.571;0.63
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Aaron Gordon;5.6;10.9;51.1;1.3;3.4;38.6;2.8;3.4;80.3;4.2;7.5;56.9;1.397;0.57
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Will Barton;5.6;12.3;45.6;2.2;6.1;36.1;1.5;1.8;81.8;3.4;6.2;54.9;1.212;0.55
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Monte Morris;4.8;10.4;46.2;1.7;4.3;39.5;0.8;0.9;85.7;3.1;6.2;50.8;1.160;0.54
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Bones Hyland;3.4;8.4;40.8;2.2;5.5;40.0;2.0;2.3;88.1;1.2;2.8;42.3;1.320;0.54
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Jeff Green;4.0;7.3;55.0;0.7;2.1;31.3;2.2;2.7;80.6;3.4;5.2;64.6;1.489;0.60
Denver Nuggets;den;2021 - 2022 Regular Season;Home;DeMarcus Cousins;2.8;6.5;42.7;0.7;2.4;27.3;2.3;3.2;73.7;2.1;4.1;52.1;1.316;0.48
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Bryn Forbes;2.5;6.7;37.5;1.6;4.1;37.8;1.5;1.6;93.1;0.9;2.6;37.0;1.208;0.49
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Michael Porter Jr.;3.3;10.0;32.5;1.3;5.5;22.7;0.3;0.3;100.0;2.0;4.5;44.4;0.800;0.39
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Zeke Nnaji;2.7;5.0;54.0;1.0;2.1;45.2;1.3;1.9;65.8;1.8;2.9;60.3;1.520;0.64
Denver Nuggets;den;2021 - 2022 Regular Season;Home;PJ Dozier;2.5;6.3;39.7;1.0;3.1;32.3;0.6;0.7;85.7;1.5;3.2;46.9;1.048;0.48
Denver Nuggets;den;2021 - 2022 Regular Season;Home;JaMychal Green;2.5;5.0;50.0;0.4;1.7;25.5;1.2;1.4;82.2;2.1;3.3;62.9;1.319;0.54
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Vlatko Cancar;2.2;3.6;61.1;0.8;1.0;80.0;0.8;1.2;66.7;1.4;2.6;53.8;1.667;0.72
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Facundo Campazzo;1.7;4.7;36.6;0.9;3.2;28.3;0.8;1.0;77.4;0.8;1.5;54.3;1.090;0.46
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Davon Reed;1.9;3.9;47.7;0.9;2.3;39.2;0.2;0.4;50.0;1.0;1.6;60.0;1.233;0.59
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Austin Rivers;1.7;4.8;36.2;0.8;2.9;27.0;0.3;0.5;64.7;0.9;1.9;50.8;0.957;0.44
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Markus Howard;1.2;3.0;40.7;0.8;2.1;40.5;0.6;0.7;91.7;0.4;0.9;41.2;1.296;0.55
Denver Nuggets;den;2021 - 2022 Regular Season;Home;James Ennis III;1.0;3.0;33.3;0.0;1.0;0.0;0.0;0.5;0.0;1.0;2.0;50.0;0.667;0.33
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Petr Cornelie;1.0;1.8;57.1;0.0;0.8;0.0;0.0;0.0;0.0;1.0;1.0;100.0;1.143;0.57
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Bol Bol;0.6;1.3;50.0;0.0;0.1;0.0;0.0;0.3;0.0;0.6;1.1;55.6;1.000;0.50
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Rayjon Tucker;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000;0.00
Denver Nuggets;den;2021 - 2022 Regular Season;Home;Total;42.0;87.1;48.2;12.9;36.5;35.2;17.9;22.3;80.0;29.2;50.6;57.6;1.317;0.56
Denver Nuggets;den;2021 - 2022 Regular Season;Away;Nikola Jokic;10.0;17.6;56.9;1.4;4.1;34.0;4.8;5.8;81.9;8.6;13.5;63.9;1.488;0.61
