teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Jerami Grant;6.3;14.9;42.6;1.9;5.4;35.8;4.6;5.5;83.8;4.4;9.5;46.5;1.293;0.49
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Cade Cunningham;6.7;16.1;41.6;1.8;5.7;31.4;2.2;2.6;84.5;4.9;10.4;47.2;1.081;0.47
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Saddiq Bey;5.5;13.9;39.6;2.6;7.4;34.6;2.6;3.1;82.7;2.9;6.4;45.4;1.163;0.49
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Marvin Bagley III;6.2;11.1;55.5;0.4;1.9;22.9;1.8;3.0;59.3;5.7;9.2;62.4;1.310;0.58
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Hamidou Diallo;4.5;9.1;49.6;0.4;1.6;24.7;1.6;2.4;65.0;4.1;7.5;55.0;1.209;0.52
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Frank Jackson;3.7;9.1;40.2;1.6;5.3;30.8;1.6;2.0;82.7;2.0;3.8;52.9;1.159;0.49
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Trey Lyles;3.4;7.5;45.6;0.9;2.9;30.1;2.7;3.5;78.4;2.6;4.7;55.0;1.385;0.51
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Kelly Olynyk;3.2;7.2;44.8;1.0;3.0;33.6;1.7;2.2;77.5;2.2;4.2;52.7;1.276;0.52
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Braxton Key;3.6;7.8;45.7;0.7;2.2;30.0;0.8;1.4;53.8;2.9;5.6;52.0;1.100;0.50
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Isaiah Stewart;3.5;6.9;51.0;0.2;0.6;32.6;1.0;1.5;71.8;3.3;6.3;52.9;1.202;0.53
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Cory Joseph;2.7;6.2;44.5;1.0;2.4;41.4;1.5;1.7;88.5;1.7;3.7;46.5;1.303;0.53
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Josh Jackson;2.6;6.4;41.0;0.8;2.9;26.5;1.0;1.4;71.4;1.9;3.5;52.9;1.100;0.47
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Killian Hayes;2.7;7.0;38.3;0.7;2.5;26.3;0.9;1.1;77.0;2.0;4.4;45.2;0.987;0.43
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Isaiah Livers;2.2;4.7;45.6;1.4;3.4;42.2;0.6;0.7;85.7;0.7;1.4;53.8;1.344;0.61
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Derrick Walton Jr.;2.0;8.7;23.1;1.0;4.3;23.1;1.3;1.3;100.0;1.0;4.3;23.1;0.731;0.29
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Luka Garza;2.1;4.6;44.9;0.5;1.5;32.7;1.2;1.9;62.3;1.6;3.1;51.0;1.265;0.50
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Cassius Stanley;2.1;5.1;41.3;0.4;1.9;23.5;1.1;1.1;100.0;1.7;3.2;51.7;1.130;0.46
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Carsen Edwards;2.3;7.5;30.0;1.0;4.0;25.0;0.3;0.3;100.0;1.3;3.5;35.7;0.767;0.37
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Saben Lee;1.9;4.8;39.0;0.4;1.6;23.3;1.5;1.9;78.9;1.5;3.2;47.0;1.175;0.43
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Justin Robinson;1.8;5.6;32.1;1.6;4.2;38.1;0.4;1.2;33.3;0.2;1.4;14.3;1.000;0.46
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Rodney McGruder;1.9;4.4;43.6;1.1;2.9;39.7;0.4;0.5;73.1;0.8;1.5;50.6;1.213;0.56
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Micah Potter;1.7;3.7;45.5;0.0;0.7;0.0;0.7;0.7;100.0;1.7;3.0;55.6;1.091;0.45
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Jamorko Pickett;1.4;3.8;36.0;1.0;3.0;33.3;0.1;0.2;50.0;0.4;0.8;45.5;1.000;0.49
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Cheick Diallo;1.0;2.7;37.5;0.0;0.0;0.0;1.7;2.0;83.3;1.0;2.7;37.5;1.375;0.38
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Deividas Sirvydis;0.3;3.3;10.0;0.3;2.3;14.3;0.0;0.0;0.0;0.0;1.0;0.0;0.300;0.15
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Jaysean Paige;0.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.000;0.00
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Trayvon Palmer;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.000;0.00
Detroit Pistons;det;2021 - 2022 Regular Season;All Splits;Total;38.2;88.6;43.1;11.3;34.6;32.6;17.2;22.0;78.2;26.9;54.0;49.8;1.183;0.49
Detroit Pistons;det;2021 - 2022 Regular Season;Home;Cade Cunningham;7.2;16.9;42.4;1.6;5.6;29.1;2.8;3.2;87.4;5.5;11.3;49.0;1.108;0.47
Detroit Pistons;det;2021 - 2022 Regular Season;Home;Jerami Grant;5.8;14.0;41.3;1.8;5.4;32.8;4.6;5.6;81.4;4.0;8.7;46.5;1.276;0.48
Detroit Pistons;det;2021 - 2022 Regular Season;Home;Marvin Bagley III;6.9;12.2;56.7;0.5;2.2;20.8;2.1;2.8;74.2;6.5;10.0;64.5;1.343;0.59
Detroit Pistons;det;2021 - 2022 Regular Season;Home;Saddiq Bey;5.4;14.0;38.5;2.5;7.4;33.4;2.5;3.0;84.6;2.9;6.6;44.1;1.127;0.47
Detroit Pistons;det;2021 - 2022 Regular Season;Home;Hamidou Diallo;5.4;9.8;54.5;0.4;1.5;27.9;1.8;2.6;66.2;4.9;8.3;59.5;1.313;0.57
Detroit Pistons;det;2021 - 2022 Regular Season;Home;Frank Jackson;3.6;8.9;41.1;1.9;5.5;33.8;1.5;1.7;85.4;1.8;3.4;53.2;1.198;0.52
