teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Stephen Curry;8.4;19.1;43.7;4.5;11.7;38.0;4.3;4.7;92.3;3.9;7.4;52.7;1.332;0.55
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Klay Thompson;7.7;17.9;42.9;3.6;9.3;38.5;1.4;1.6;90.2;4.1;8.7;47.7;1.138;0.53
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Jordan Poole;6.2;13.9;44.8;2.8;7.6;36.4;3.2;3.5;92.5;3.5;6.3;55.0;1.328;0.55
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Andrew Wiggins;6.5;14.0;46.6;2.2;5.5;39.3;2.0;3.2;63.4;4.4;8.5;51.3;1.233;0.54
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Jonathan Kuminga;3.4;6.6;51.3;0.7;2.1;33.6;1.9;2.7;68.4;2.7;4.4;59.8;1.417;0.57
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Otto Porter Jr.;3.1;6.6;46.4;1.3;3.4;37.0;0.8;1.0;80.3;1.8;3.2;56.5;1.238;0.56
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Draymond Green;2.9;5.6;52.5;0.3;1.2;29.6;1.3;2.0;65.9;2.6;4.4;58.6;1.346;0.56
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Damion Lee;2.7;6.1;44.1;1.0;3.0;33.7;1.0;1.2;88.0;1.7;3.1;54.1;1.219;0.52
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Gary Payton II;3.0;4.8;61.6;0.6;1.7;35.8;0.5;0.8;60.3;2.4;3.2;75.4;1.459;0.68
Golden State Warriors;gs;2021 - 2022 Regular Season;All Splits;Nemanja Bjelica;2.3;4.8;46.8;0.8;2.1;36.2;0.8;1.1;72.8;1.5;2.7;54.9;1.266;0.55
