teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Christian Wood;6.5;12.9;50.1;1.9;4.9;39.0;3.0;4.9;62.3;4.5;8.0;57.0;1.387;0.58
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Jalen Green;6.1;14.2;42.6;2.3;6.8;34.3;2.8;3.5;79.7;3.7;7.4;50.2;1.213;0.51
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Kevin Porter Jr.;5.5;13.2;41.5;2.5;6.8;37.5;2.0;3.2;64.2;3.0;6.5;45.6;1.175;0.51
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Eric Gordon;4.7;9.9;47.5;2.2;5.3;41.2;1.8;2.4;77.8;2.5;4.6;54.8;1.356;0.59
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Jae'Sean Tate;4.7;9.3;49.8;0.8;2.6;31.2;1.7;2.4;70.7;3.8;6.8;56.9;1.261;0.54
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Dennis Schroder;3.7;9.3;39.3;1.3;3.9;32.8;2.3;2.6;87.2;2.4;5.5;43.9;1.164;0.46
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Garrison Mathews;2.8;7.1;39.9;2.1;5.9;36.0;2.2;2.8;79.4;0.7;1.2;60.0;1.410;0.55
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Alperen Sengun;3.5;7.3;47.4;0.4;1.6;24.8;2.3;3.2;71.1;3.1;5.7;53.9;1.318;0.50
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Kenyon Martin Jr.;3.5;6.6;53.3;0.8;2.1;35.7;1.0;1.6;63.4;2.8;4.5;61.7;1.331;0.59
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Daniel Theis;3.2;6.9;46.9;0.9;3.0;29.1;1.0;1.5;67.5;2.3;3.8;61.0;1.218;0.53
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Josh Christopher;3.0;6.8;44.8;0.8;2.6;29.6;1.1;1.5;73.5;2.3;4.2;54.0;1.174;0.50
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Bruno Fernando;2.9;4.1;70.7;0.0;0.1;0.0;1.1;1.9;57.9;2.9;4.0;72.5;1.683;0.71
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Armoni Brooks;2.1;6.1;34.7;1.6;5.2;30.0;0.4;0.5;84.2;0.6;0.9;60.5;1.012;0.47
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;D.J. Augustin;1.6;4.0;40.4;1.1;2.8;40.6;1.0;1.1;86.8;0.5;1.2;40.0;1.338;0.55
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;David Nwaba;1.8;3.8;48.3;0.3;1.1;30.6;1.0;1.5;71.6;1.5;2.8;55.1;1.324;0.53
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Danuel House Jr.;1.6;4.6;33.8;0.6;2.1;29.4;1.1;1.2;89.5;0.9;2.5;37.5;1.041;0.41
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Trevelin Queen;1.5;3.3;45.5;0.9;2.4;37.5;0.4;0.4;100.0;0.6;0.9;66.7;1.303;0.59
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Daishen Nix;1.1;2.8;40.3;0.3;1.1;26.9;0.7;1.3;53.3;0.8;1.7;48.8;1.149;0.46
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Usman Garuba;0.8;1.8;43.2;0.2;0.8;25.0;0.2;0.3;71.4;0.6;1.0;58.3;1.091;0.49
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Total;39.4;86.4;45.6;13.5;38.7;34.9;17.5;24.5;71.3;25.9;47.7;54.3;1.270;0.53
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Christian Wood;7.4;13.9;52.9;2.5;5.5;45.1;2.8;4.5;63.9;4.9;8.4;58.1;1.442;0.62
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Jalen Green;6.7;15.2;44.3;2.5;7.1;35.4;3.5;4.2;82.5;4.2;8.1;52.0;1.279;0.53
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Kevin Porter Jr.;5.9;13.7;42.8;2.6;7.0;37.6;2.1;3.4;61.5;3.3;6.8;48.3;1.201;0.52
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Bruno Fernando;5.8;7.5;76.7;0.0;0.0;0.0;1.3;3.0;41.7;5.8;7.5;76.7;1.700;0.77
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Garrison Mathews;3.6;8.1;44.4;2.8;6.7;41.4;2.4;3.1;76.8;0.8;1.4;59.1;1.525;0.62
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Eric Gordon;4.2;9.6;43.9;1.8;5.1;34.3;2.0;2.3;85.9;2.5;4.5;54.8;1.264;0.53
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Jae'Sean Tate;4.2;8.7;47.9;0.9;2.7;34.0;1.5;2.1;69.1;3.3;6.0;54.1;1.232;0.53
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Dennis Schroder;3.5;9.4;37.3;1.5;4.0;37.5;1.8;2.3;77.8;2.0;5.4;37.2;1.093;0.45
