teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Malcolm Brogdon;6.8;15.1;44.8;1.6;5.2;31.2;4.0;4.6;85.6;5.1;9.9;51.8;1.265;0.50
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Domantas Sabonis;7.0;12.1;58.0;0.7;2.3;32.4;4.1;5.5;74.0;6.3;9.9;63.9;1.555;0.61
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Caris LeVert;7.1;15.9;44.7;1.6;4.8;32.3;2.8;3.7;76.0;5.6;11.1;50.1;1.170;0.50
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Buddy Hield;7.0;15.6;44.7;3.1;8.5;36.2;1.2;1.3;88.6;3.9;7.1;54.9;1.168;0.55
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Tyrese Haliburton;6.2;12.4;50.2;2.2;5.3;41.6;2.8;3.3;84.9;4.0;7.2;56.5;1.406;0.59
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Jalen Smith;5.1;9.7;53.1;1.4;3.8;37.3;1.7;2.3;76.0;3.7;5.9;63.1;1.385;0.60
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Chris Duarte;4.9;11.3;43.2;1.7;4.6;36.9;1.6;2.0;80.4;3.2;6.7;47.5;1.159;0.51
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Myles Turner;4.8;9.4;50.9;1.5;4.4;33.3;1.9;2.5;75.2;3.3;5.0;66.2;1.374;0.59
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Justin Holiday;3.9;9.3;41.5;2.6;6.9;37.8;0.7;0.8;82.9;1.3;2.5;51.6;1.181;0.55
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Duane Washington Jr.;3.6;8.9;40.5;1.7;4.5;37.7;1.0;1.3;75.4;1.9;4.4;43.4;1.108;0.50
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Terry Taylor;4.1;6.7;61.4;0.4;1.2;31.6;1.1;1.5;70.6;3.7;5.5;67.6;1.445;0.64
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Lance Stephenson;3.6;7.8;45.8;0.7;2.2;31.0;1.6;2.0;79.5;2.9;5.6;51.6;1.203;0.50
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Oshae Brissett;3.1;7.6;41.1;1.2;3.5;35.0;1.7;2.4;69.5;1.9;4.0;46.5;1.211;0.49
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;T.J. McConnell;3.7;7.7;48.1;0.4;1.2;30.3;0.7;0.9;82.6;3.3;6.5;51.4;1.101;0.50
Indiana Pacers;ind;2021 - 2022 Regular Season;All Splits;Isaiah Jackson;3.2;5.7;56.3;0.1;0.4;31.3;1.7;2.4;68.2;3.1;5.3;58.4;1.442;0.58
