teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Paul George;8.6;20.5;42.1;2.9;8.3;35.4;4.1;4.8;85.8;5.7;12.2;46.7;1.186;0.49
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Norman Powell;6.4;12.6;50.8;2.6;4.8;54.2;6.0;7.0;85.7;3.8;7.8;48.7;1.698;0.61
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Reggie Jackson;6.4;16.3;39.2;2.2;6.8;32.6;1.8;2.2;84.7;4.2;9.5;43.9;1.034;0.46
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Marcus Morris Sr.;5.6;12.8;43.4;1.9;5.1;36.7;2.4;2.7;87.2;3.7;7.7;47.8;1.201;0.51
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Luke Kennard;4.1;9.1;44.9;2.7;6.0;44.9;1.0;1.1;89.6;1.4;3.1;44.9;1.304;0.60
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Terance Mann;4.1;8.5;48.4;0.9;2.6;36.5;1.6;2.0;78.0;3.2;6.0;53.5;1.264;0.54
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Robert Covington;3.5;7.0;50.0;2.1;4.7;45.0;1.2;1.4;84.8;1.4;2.3;60.4;1.475;0.65
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Ivica Zubac;4.1;6.5;62.6;0.0;0.0;0.0;2.2;3.0;72.7;4.1;6.5;62.6;1.586;0.63
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;James Ennis III;3.5;5.5;63.6;1.0;2.0;50.0;2.0;2.0;100.0;2.5;3.5;71.4;1.818;0.73
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Eric Bledsoe;3.6;8.7;42.1;0.9;3.0;31.3;1.6;2.2;76.1;2.7;5.6;47.9;1.141;0.48
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Amir Coffey;3.1;6.8;45.3;1.4;3.7;37.8;1.5;1.7;86.3;1.7;3.1;54.2;1.328;0.56
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Nicolas Batum;3.0;6.6;46.3;1.8;4.6;40.0;0.4;0.6;65.8;1.2;2.0;60.7;1.269;0.60
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Isaiah Hartenstein;3.4;5.4;62.6;0.2;0.4;46.7;1.3;1.9;68.9;3.2;4.9;64.0;1.538;0.64
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Brandon Boston Jr.;2.5;6.4;38.5;0.7;2.2;30.6;1.2;1.4;81.9;1.8;4.2;42.5;1.055;0.44
LA Clippers;lac;2021 - 2022 Regular Season;All Splits;Serge Ibaka;2.7;5.5;49.0;0.7;1.8;38.7;0.6;0.8;69.0;2.0;3.7;53.8;1.208;0.55
