teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;LeBron James;11.4;21.8;52.4;2.9;8.0;35.9;4.5;6.0;75.6;8.6;13.8;62.0;1.388;0.59
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Anthony Davis;9.3;17.4;53.2;0.3;1.8;18.6;4.4;6.1;71.3;8.9;15.6;57.1;1.334;0.54
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Russell Westbrook;7.0;15.8;44.4;1.0;3.4;29.8;3.4;5.1;66.7;6.0;12.4;48.5;1.169;0.48
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Malik Monk;5.1;10.9;47.3;2.3;5.8;39.1;1.2;1.5;79.5;2.9;5.1;56.8;1.269;0.58
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Carmelo Anthony;4.6;10.5;44.1;2.2;5.8;37.5;1.9;2.3;83.0;2.5;4.7;52.1;1.271;0.54
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Talen Horton-Tucker;3.7;9.0;41.6;0.8;3.0;26.9;1.7;2.1;80.0;2.9;5.9;49.2;1.110;0.46
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Isaiah Thomas;3.0;9.8;30.8;1.3;5.5;22.7;2.0;2.8;72.7;1.8;4.3;41.2;0.949;0.37
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Austin Reaves;2.4;5.2;45.9;0.9;2.7;31.7;1.6;1.9;83.9;1.5;2.5;61.6;1.396;0.54
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Sekou Doumbouya;2.5;4.0;62.5;0.5;1.0;50.0;1.5;2.0;75.0;2.0;3.0;66.7;1.750;0.69
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Mason Jones;1.8;3.8;46.7;0.3;1.0;25.0;3.0;3.8;80.0;1.5;2.8;54.5;1.800;0.50
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Wenyen Gabriel;2.6;5.1;50.5;0.3;1.2;26.1;1.2;2.0;60.5;2.3;3.9;58.1;1.309;0.54
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Wayne Ellington;2.3;5.5;41.3;1.9;4.9;38.9;0.2;0.3;81.8;0.4;0.6;61.5;1.211;0.59
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Stanley Johnson;2.4;5.2;46.6;0.7;2.2;31.4;1.1;1.5;71.6;1.8;3.0;57.5;1.275;0.53
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Avery Bradley;2.4;5.6;42.3;1.3;3.4;39.0;0.3;0.3;88.9;1.1;2.3;47.1;1.126;0.54
Los Angeles Lakers;lal;2021 - 2022 Regular Season;All Splits;Dwight Howard;2.2;3.7;61.2;0.1;0.3;53.3;1.6;2.4;65.8;2.1;3.4;61.8;1.699;0.63
