teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Ja Morant;10.2;20.6;49.3;1.5;4.5;34.4;5.5;7.3;76.1;8.6;16.2;53.4;1.329;0.53
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Dillon Brooks;7.1;16.4;43.2;1.4;4.7;30.9;2.8;3.3;84.9;5.7;11.8;48.0;1.122;0.48
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Desmond Bane;6.7;14.5;46.1;3.0;6.9;43.6;1.8;2.0;90.3;3.7;7.6;48.4;1.257;0.56
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Jaren Jackson Jr.;5.5;13.3;41.5;1.6;5.1;31.9;3.6;4.4;82.3;3.9;8.1;47.6;1.228;0.48
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;De'Anthony Melton;3.8;9.5;40.4;1.9;5.1;37.4;1.2;1.6;75.0;1.9;4.4;44.0;1.138;0.50
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Brandon Clarke;4.5;7.0;64.4;0.1;0.3;22.7;1.3;2.0;65.4;4.4;6.6;66.6;1.490;0.65
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Tyus Jones;3.4;7.6;45.1;1.1;2.8;39.0;0.7;0.9;81.8;2.3;4.8;48.7;1.145;0.52
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Ziaire Williams;3.1;6.8;45.0;1.2;3.9;31.4;0.7;0.9;78.2;1.9;2.9;63.2;1.182;0.54
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Kyle Anderson;3.0;6.8;44.6;0.5;1.6;33.0;1.0;1.5;63.8;2.5;5.2;48.1;1.111;0.48
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Steven Adams;2.8;5.1;54.7;0.0;0.0;0.0;1.4;2.6;54.3;2.8;5.0;54.8;1.375;0.55
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;John Konchar;1.9;3.6;51.5;0.7;1.8;41.3;0.4;0.7;55.1;1.2;1.9;61.0;1.332;0.61
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Xavier Tillman;1.8;4.1;45.4;0.2;0.9;20.4;0.9;1.3;64.8;1.7;3.2;52.7;1.167;0.48
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Sam Merrill;1.3;4.0;33.3;1.2;3.8;30.4;0.3;0.7;50.0;0.2;0.2;100.0;1.042;0.48
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Santi Aldama;1.7;4.1;40.2;0.2;1.5;12.5;0.6;1.0;62.5;1.5;2.6;56.0;1.000;0.42
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Jarrett Culver;1.4;3.6;37.8;0.3;1.3;25.5;0.4;0.9;47.1;1.1;2.4;44.3;0.963;0.42
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Killian Tillie;1.2;3.5;33.9;0.8;2.4;31.4;0.1;0.2;62.5;0.4;1.1;39.0;0.929;0.44
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Yves Pons;0.4;1.3;31.3;0.3;0.8;33.3;0.0;0.2;0.0;0.2;0.6;28.6;0.813;0.41
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Dakota Mathias;0.3;1.0;33.3;0.3;1.0;33.3;0.0;0.0;0.0;0.0;0.0;0.0;1.000;0.50
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Shaq Buchanan;0.5;2.0;25.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;1.0;50.0;0.500;0.25
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Tyrell Terry;0.5;0.5;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;100.0;2.000;1.00
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;DaQuan Jeffries;0.3;0.7;50.0;0.0;0.3;0.0;0.0;0.0;0.0;0.3;0.3;100.0;1.000;0.50
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Xavier Sneed;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000;0.00
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Jon Teske;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.3;0.0;0.000;0.00
Memphis Grizzlies;mem;2021 - 2022 Regular Season;All Splits;Total;43.5;94.4;46.1;11.5;32.7;35.3;17.0;23.1;73.4;32.0;61.7;51.9;1.225;0.52
