teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Jimmy Butler;7.0;14.5;48.0;0.5;2.0;23.3;6.9;8.0;87.0;6.5;12.5;52.0;1.470;0.50
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Tyler Herro;7.6;17.0;44.7;2.7;6.7;39.9;2.9;3.3;86.8;4.9;10.3;47.7;1.218;0.52
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Bam Adebayo;7.3;13.0;55.7;0.0;0.1;0.0;4.6;6.1;75.3;7.3;12.9;56.2;1.465;0.56
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Kyle Lowry;4.4;10.0;44.0;2.3;6.1;37.7;2.3;2.8;85.1;2.1;3.9;53.9;1.346;0.56
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Victor Oladipo;4.4;9.1;47.9;1.9;4.5;41.7;1.8;2.4;73.7;2.5;4.6;54.1;1.356;0.58
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Duncan Robinson;3.7;9.2;39.9;2.9;7.9;37.2;0.6;0.8;83.6;0.7;1.3;56.9;1.189;0.56
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Max Strus;3.7;8.3;44.1;2.7;6.5;41.0;0.6;0.8;79.2;1.0;1.8;55.7;1.278;0.60
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Caleb Martin;3.5;6.8;50.7;1.1;2.6;41.3;1.2;1.6;76.3;2.4;4.3;56.5;1.344;0.59
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Gabe Vincent;3.1;7.5;41.7;1.8;4.8;36.8;0.6;0.8;81.5;1.4;2.8;50.0;1.152;0.53
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;P.J. Tucker;2.9;6.0;48.4;1.1;2.7;41.5;0.6;0.9;73.8;1.8;3.3;54.0;1.259;0.58
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Markieff Morris;3.2;6.7;47.4;0.8;2.3;33.3;0.5;0.5;88.9;2.4;4.4;54.7;1.132;0.53
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Mychal Mulder;2.0;5.0;40.0;2.0;4.0;50.0;1.0;1.0;100.0;0.0;1.0;0.0;1.400;0.60
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Dewayne Dedmon;2.4;4.3;56.6;0.3;0.7;40.4;1.1;1.5;75.0;2.2;3.6;59.7;1.455;0.60
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Nik Stauskas;1.5;4.0;37.5;1.0;2.0;50.0;1.5;2.0;75.0;0.5;2.0;25.0;1.375;0.50
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Omer Yurtseven;2.3;4.4;52.6;0.0;0.2;9.1;0.7;1.1;62.3;2.3;4.2;54.7;1.211;0.53
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Javonte Smart;2.0;4.3;47.1;1.0;2.3;44.4;0.0;0.0;0.0;1.0;2.0;50.0;1.176;0.59
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Kyle Guy;1.4;3.4;40.0;0.7;2.1;35.0;0.4;0.6;66.7;0.6;1.3;48.0;1.138;0.51
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;KZ Okpala;1.4;3.3;43.5;0.4;1.2;34.6;0.4;0.5;72.7;1.0;2.0;48.8;1.116;0.50
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Chris Silva;0.9;1.7;53.3;0.0;0.0;0.0;1.1;1.3;83.3;0.9;1.7;53.3;1.733;0.53
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Udonis Haslem;1.1;2.4;45.2;0.1;0.3;25.0;0.2;0.2;100.0;1.0;2.1;48.1;1.032;0.47
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Haywood Highsmith;0.8;2.4;34.8;0.5;1.5;32.1;0.1;0.3;40.0;0.4;0.9;38.9;0.935;0.45
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Marcus Garrett;0.4;1.8;23.8;0.1;0.3;25.0;0.2;0.4;40.0;0.3;1.4;23.5;0.619;0.26
Miami Heat;mia;2021 - 2022 Regular Season;All Splits;Total;39.6;84.8;46.7;13.6;35.8;37.9;17.3;21.4;80.8;26.0;49.0;53.1;1.297;0.55
