teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Giannis Antetokounmpo;10.3;18.6;55.3;1.1;3.6;29.3;8.3;11.4;72.2;9.2;15.0;61.6;1.608;0.58
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Khris Middleton;6.8;15.5;44.3;2.5;6.6;37.3;3.9;4.4;89.0;4.4;8.9;49.4;1.298;0.52
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Jrue Holiday;7.1;14.2;50.1;2.0;4.8;41.1;2.0;2.7;76.1;5.2;9.4;54.7;1.284;0.57
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Bobby Portis;5.8;12.1;47.9;1.8;4.7;39.3;1.2;1.6;75.2;3.9;7.4;53.3;1.208;0.56
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Brook Lopez;4.7;10.1;46.6;1.5;4.1;35.8;1.5;1.8;87.0;3.2;6.0;53.8;1.229;0.54
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Grayson Allen;3.9;8.6;44.8;2.4;5.9;40.9;1.0;1.1;86.5;1.5;2.7;53.3;1.288;0.59
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Pat Connaughton;3.5;7.6;45.8;2.2;5.7;39.5;0.7;0.8;83.3;1.2;1.9;64.3;1.300;0.60
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;DeMarcus Cousins;3.2;6.9;46.6;0.8;2.8;27.1;1.8;2.2;81.6;2.5;4.1;60.0;1.305;0.52
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Jordan Nwora;3.0;7.5;40.3;1.3;3.7;34.8;0.6;0.7;83.7;1.7;3.8;45.5;1.054;0.49
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Rayjon Tucker;2.5;3.5;71.4;1.5;1.5;100.0;1.0;1.5;66.7;1.0;2.0;50.0;2.143;0.93
Milwaukee Bucks;mil;2021 - 2022 Regular Season;All Splits;Donte DiVincenzo;2.3;6.9;33.1;1.2;4.4;28.4;1.4;1.6;85.2;1.1;2.6;40.9;1.034;0.42
