teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Karl-Anthony Towns;8.7;16.4;52.9;2.0;4.9;41.0;5.2;6.3;82.2;6.6;11.5;58.0;1.498;0.59
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Anthony Edwards;7.6;17.3;44.1;3.0;8.4;35.7;3.1;3.9;78.6;4.6;8.9;51.9;1.231;0.53
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;D'Angelo Russell;6.2;15.0;41.1;2.7;8.0;34.0;3.0;3.7;82.5;3.5;7.0;49.2;1.206;0.50
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Malik Beasley;4.2;10.8;39.1;3.0;8.1;37.7;0.6;0.8;81.7;1.2;2.7;43.2;1.121;0.53
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Jaden McDaniels;3.6;7.9;46.0;1.1;3.6;31.7;0.8;1.0;80.3;2.5;4.3;57.9;1.168;0.53
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Patrick Beverley;3.1;7.5;40.6;1.4;4.2;34.3;1.7;2.3;72.2;1.6;3.3;48.5;1.222;0.50
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Jaylen Nowell;3.2;6.7;47.5;1.0;2.6;39.4;1.2;1.5;78.3;2.1;4.1;52.6;1.276;0.55
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Naz Reid;3.0;6.2;49.0;0.7;2.2;34.3;1.5;1.9;76.5;2.3;4.0;56.8;1.338;0.55
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Taurean Prince;2.6;5.7;45.4;1.2;3.3;37.6;0.9;1.2;75.6;1.3;2.3;56.5;1.287;0.56
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Greg Monroe;3.3;5.5;59.1;0.0;0.0;0.0;0.8;1.8;42.9;3.3;5.5;59.1;1.318;0.59
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Jarred Vanderbilt;2.9;4.9;58.7;0.0;0.2;14.3;1.2;1.8;65.6;2.8;4.7;60.5;1.418;0.59
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Jordan McLaughlin;1.4;3.2;44.0;0.4;1.4;31.8;0.5;0.6;75.0;1.0;1.9;53.0;1.165;0.51
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Nathan Knight;1.2;2.4;51.1;0.1;0.4;30.8;1.2;1.6;73.3;1.1;2.0;54.7;1.568;0.53
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Josh Okogie;0.9;2.1;40.4;0.3;1.0;29.8;0.7;1.0;68.6;0.6;1.2;49.1;1.279;0.47
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Jake Layman;0.9;2.1;41.1;0.2;1.0;22.9;0.4;0.5;72.2;0.6;1.1;57.9;1.110;0.47
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Leandro Bolmaro;0.5;1.5;31.5;0.1;0.5;27.8;0.3;0.4;84.6;0.3;1.0;33.3;0.926;0.36
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;McKinley Wright IV;0.4;0.6;66.7;0.2;0.4;50.0;0.0;0.0;0.0;0.2;0.2;100.0;1.667;0.83
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Chris Silva;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000;0.00
Minnesota Timberwolves;min;2021 - 2022 Regular Season;All Splits;Total;41.6;91.0;45.7;14.8;41.3;35.8;18.0;23.1;77.8;26.8;49.7;54.0;1.275;0.54
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Karl-Anthony Towns;8.6;16.5;52.1;2.1;5.1;41.5;5.5;6.7;82.0;6.5;11.4;56.8;1.503;0.58
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Anthony Edwards;6.8;16.5;41.3;2.6;8.0;32.7;2.5;3.4;74.1;4.2;8.5;49.3;1.138;0.49
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;D'Angelo Russell;5.6;14.2;39.0;2.2;7.5;29.5;3.0;3.7;82.1;3.3;6.8;49.5;1.145;0.47
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Malik Beasley;4.4;11.5;38.3;3.4;8.7;38.5;0.7;1.0;76.3;1.1;2.8;37.8;1.122;0.53
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Patrick Beverley;3.1;7.3;42.7;1.4;4.2;33.1;1.7;2.3;74.6;1.7;3.1;55.8;1.280;0.52
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Jaylen Nowell;3.3;6.6;49.5;1.2;2.7;45.8;1.4;1.6;82.4;2.1;4.0;52.0;1.379;0.59
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Greg Monroe;4.0;6.7;60.0;0.0;0.0;0.0;1.0;1.7;60.0;4.0;6.7;60.0;1.350;0.60
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Jaden McDaniels;3.5;7.6;46.2;1.1;3.4;30.9;0.8;1.0;80.6;2.4;4.2;58.7;1.168;0.53
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Naz Reid;2.8;5.7;48.6;0.7;2.2;32.1;1.3;1.9;68.1;2.1;3.5;58.8;1.325;0.55
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Taurean Prince;2.5;5.8;42.9;1.4;3.7;36.6;0.9;1.2;76.7;1.1;2.1;54.2;1.256;0.55
Minnesota Timberwolves;min;2021 - 2022 Regular Season;Home;Jarred Vanderbilt;2.6;4.6;55.6;0.0;0.3;10.0;1.2;1.8;67.2;2.5;4.4;58.4;1.380;0.56
