teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;CJ McCollum;9.5;19.2;49.3;2.7;6.9;39.4;2.6;3.9;66.7;6.7;12.3;54.9;1.265;0.56
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Brandon Ingram;8.2;17.9;46.1;1.3;4.1;32.7;4.8;5.9;82.6;6.9;13.8;50.1;1.268;0.50
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Jonas Valanciunas;6.9;12.7;54.4;0.8;2.1;36.1;3.2;3.9;82.0;6.1;10.5;58.1;1.401;0.57
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Josh Hart;4.8;9.4;50.5;1.0;3.2;32.3;2.8;3.8;75.3;3.7;6.2;59.8;1.420;0.56
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Nickeil Alexander-Walker;4.7;12.6;37.5;1.9;6.1;31.1;1.4;1.9;72.2;2.8;6.5;43.4;1.011;0.45
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Devonte' Graham;3.9;10.7;36.3;2.5;7.4;34.1;1.6;1.8;84.3;1.4;3.3;41.3;1.107;0.48
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Herbert Jones;3.5;7.4;47.6;0.7;2.2;33.7;1.8;2.1;84.0;2.8;5.2;53.3;1.288;0.53
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Jaxson Hayes;3.5;5.7;61.6;0.3;0.8;35.1;2.1;2.7;76.6;3.2;4.9;66.0;1.643;0.64
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Willy Hernangomez;3.4;6.5;52.0;0.1;0.2;33.3;2.2;2.8;77.3;3.3;6.3;52.7;1.385;0.53
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Jared Harper;2.8;5.2;53.8;1.0;2.4;41.7;0.8;0.8;100.0;1.8;2.8;64.3;1.423;0.63
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Larry Nance Jr.;3.0;5.4;55.1;0.4;0.9;50.0;0.9;0.9;100.0;2.6;4.6;56.1;1.347;0.59
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Jose Alvarado;2.4;5.4;44.6;0.6;2.0;29.1;0.7;1.0;67.9;1.8;3.4;53.8;1.122;0.50
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Kira Lewis Jr.;2.5;6.1;40.4;0.5;2.4;22.4;0.4;0.5;83.3;1.9;3.7;52.3;0.966;0.45
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Tony Snell;2.2;4.9;44.6;1.4;3.5;39.6;0.1;0.1;100.0;0.8;1.4;57.1;1.189;0.59
New Orleans Pelicans;no;2021 - 2022 Regular Season;All Splits;Naji Marshall;2.0;4.9;40.5;0.4;1.9;20.0;1.3;1.7;79.6;1.6;3.0;53.7;1.164;0.44
