teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Julius Randle;7.1;17.3;41.1;1.7;5.4;30.8;4.2;5.6;75.6;5.4;11.9;45.8;1.161;0.46
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;RJ Barrett;7.0;17.1;40.8;2.0;5.8;34.2;4.1;5.8;71.4;5.0;11.3;44.2;1.174;0.47
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Evan Fournier;5.0;12.1;41.7;3.0;7.7;38.9;1.0;1.4;70.8;2.0;4.3;46.5;1.166;0.54
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Derrick Rose;4.7;10.5;44.5;1.4;3.5;40.2;1.2;1.2;96.8;3.3;7.0;46.7;1.135;0.51
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Alec Burks;3.5;9.0;39.1;1.9;4.8;40.4;2.7;3.3;82.2;1.6;4.2;37.8;1.297;0.50
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Kemba Walker;4.0;10.0;40.3;2.0;5.4;36.7;1.6;1.9;84.5;2.1;4.6;44.4;1.165;0.50
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Immanuel Quickley;3.6;9.3;39.2;1.8;5.1;34.6;2.3;2.6;88.1;1.9;4.2;44.8;1.218;0.49
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Obi Toppin;3.5;6.6;53.1;0.7;2.3;30.8;1.3;1.7;75.8;2.8;4.2;65.5;1.370;0.59
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Mitchell Robinson;3.6;4.8;76.1;0.0;0.0;0.0;1.2;2.5;48.6;3.6;4.8;76.1;1.778;0.76
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Cam Reddish;1.8;4.3;41.5;0.5;2.1;25.8;1.9;2.1;90.6;1.3;2.3;55.9;1.400;0.48
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Quentin Grimes;2.1;5.1;40.4;1.6;4.1;38.1;0.3;0.4;68.4;0.5;1.0;50.0;1.170;0.56
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Taj Gibson;1.7;3.2;51.8;0.3;0.7;39.5;0.8;1.0;80.8;1.4;2.5;55.5;1.380;0.56
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Kevin Knox II;1.2;3.1;37.5;0.8;2.2;35.7;0.5;0.8;70.0;0.4;0.9;41.7;1.175;0.50
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Nerlens Noel;1.3;2.4;53.3;0.0;0.1;0.0;0.8;1.2;70.0;1.3;2.3;56.1;1.417;0.53
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Miles McBride;0.8;2.7;29.6;0.4;1.7;25.0;0.2;0.3;66.7;0.4;1.0;37.5;0.824;0.38
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Jericho Sims;1.0;1.3;72.2;0.0;0.0;0.0;0.3;0.7;41.4;1.0;1.3;72.2;1.667;0.72
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Damyean Dotson;1.0;2.0;50.0;0.0;0.5;0.0;0.0;0.0;0.0;1.0;1.5;66.7;1.000;0.50
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Wayne Selden;0.3;1.3;25.0;0.3;0.7;50.0;0.7;1.3;50.0;0.0;0.7;0.0;1.250;0.38
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Ryan Arcidiacono;0.6;1.2;50.0;0.4;0.9;44.4;0.0;0.0;0.0;0.2;0.3;66.7;1.333;0.67
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Danuel House Jr.;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000;0.00
New York Knicks;ny;2021 - 2022 Regular Season;All Splits;Matt Mooney;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000;0.00
