teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Shai Gilgeous-Alexander;8.5;18.8;45.3;1.6;5.3;30.0;5.9;7.2;81.0;6.9;13.5;51.4;1.303;0.50
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Georgios Kalaitzakis;6.5;14.0;46.4;2.0;5.5;36.4;2.5;5.3;47.6;4.5;8.5;52.9;1.250;0.54
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Luguentz Dort;5.7;14.2;40.4;2.5;7.7;33.2;3.2;3.7;84.3;3.2;6.6;48.7;1.208;0.49
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Jaylen Hoard;6.3;12.9;48.9;1.3;3.6;36.0;0.9;2.0;42.9;5.0;9.3;53.8;1.144;0.54
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Josh Giddey;5.2;12.4;41.9;1.0;3.9;26.3;1.0;1.5;70.9;4.2;8.5;49.2;1.006;0.46
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Zavier Simpson;4.8;13.0;36.5;0.3;2.0;12.5;1.3;1.3;100.0;4.5;11.0;40.9;0.846;0.38
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Darius Bazley;4.0;9.4;42.2;1.2;3.9;29.7;1.7;2.5;68.8;2.8;5.5;51.1;1.148;0.48
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Melvin Frazier Jr.;4.3;16.0;27.1;0.3;7.0;4.8;1.7;2.3;71.4;4.0;9.0;44.4;0.667;0.28
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Tre Mann;3.9;9.8;39.3;1.6;4.5;36.0;1.1;1.4;79.3;2.2;5.3;42.1;1.063;0.48
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Isaiah Roby;3.7;7.2;51.4;1.0;2.2;44.4;1.7;2.6;67.2;2.7;5.0;54.5;1.406;0.58
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Aaron Wiggins;3.1;6.7;46.3;0.8;2.8;30.4;1.2;1.7;72.9;2.3;4.0;57.3;1.234;0.53
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Mike Muscala;2.6;5.8;45.6;1.6;3.8;42.9;1.1;1.3;84.2;1.0;2.0;50.6;1.387;0.60
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Lindy Waters III;2.8;7.0;40.6;2.1;5.8;36.3;0.2;0.2;80.0;0.7;1.2;62.1;1.137;0.56
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Aleksej Pokusevski;3.0;7.5;40.8;0.9;3.2;28.9;0.6;0.8;70.0;2.1;4.2;49.8;1.018;0.47
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Jeremiah Robinson-Earl;2.7;6.6;41.4;1.2;3.4;35.2;0.8;1.1;74.1;1.6;3.2;47.8;1.130;0.50
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Kenrich Williams;3.0;6.5;46.1;0.8;2.5;33.9;0.6;1.1;54.5;2.1;4.0;53.6;1.145;0.53
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Ty Jerome;2.6;6.8;37.8;1.1;3.9;29.0;0.8;1.0;80.9;1.5;3.0;49.3;1.037;0.46
Oklahoma City Thunder;okc;2021 - 2022 Regular Season;All Splits;Theo Maledon;2.3;6.2;37.5;0.9;2.9;29.3;1.5;2.0;79.0;1.5;3.3;44.9;1.139;0.44
