teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Cole Anthony;5.5;14.0;39.1;2.0;6.0;33.8;3.3;3.9;85.4;3.5;8.0;43.2;1.164;0.46
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Franz Wagner;5.8;12.3;46.8;1.2;3.4;35.4;2.4;2.8;86.3;4.6;8.9;51.1;1.228;0.52
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Wendell Carter Jr.;5.8;11.0;52.5;1.1;3.5;32.7;2.3;3.3;69.1;4.7;7.6;61.5;1.361;0.58
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Jalen Suggs;4.1;11.4;36.1;0.9;4.1;21.4;2.6;3.4;77.3;3.3;7.3;44.3;1.029;0.40
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Gary Harris;3.9;9.1;43.4;1.9;5.0;38.4;1.4;1.6;87.4;2.0;4.1;49.4;1.228;0.54
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Markelle Fultz;4.6;9.7;47.4;0.2;0.9;23.5;1.4;1.7;80.6;4.4;8.8;50.0;1.114;0.49
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Mo Bamba;4.2;8.7;48.0;1.5;4.0;38.1;0.8;1.0;78.1;2.7;4.7;56.3;1.225;0.57
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Devin Cannady;3.0;8.8;34.1;3.0;7.4;40.5;1.0;1.4;71.4;0.0;1.4;0.0;1.136;0.51
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Terrence Ross;3.5;8.8;39.7;1.2;4.2;29.2;1.8;2.1;86.2;2.3;4.6;49.3;1.135;0.47
Orlando Magic;orl;2021 - 2022 Regular Season;All Splits;Moritz Wagner;3.1;6.3;49.7;1.0;3.2;32.8;1.7;2.0;80.6;2.1;3.1;67.2;1.424;0.58
