teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Joel Embiid;9.8;19.6;49.9;1.4;3.7;37.1;9.6;11.8;81.4;8.4;15.9;52.9;1.558;0.53
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;James Harden;5.5;13.6;40.2;2.2;6.7;32.6;7.9;8.9;89.2;3.3;6.9;47.6;1.545;0.48
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Tyrese Maxey;6.4;13.3;48.5;1.8;4.1;42.7;2.8;3.3;86.6;4.7;9.1;51.2;1.318;0.55
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Tobias Harris;6.8;14.0;48.2;1.4;3.8;36.7;2.3;2.8;84.2;5.4;10.2;52.5;1.230;0.53
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Seth Curry;5.7;11.7;48.5;2.2;5.6;40.0;1.4;1.6;87.7;3.5;6.2;56.1;1.280;0.58
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Georges Niang;3.2;7.4;43.7;2.1;5.1;40.3;0.7;0.8;88.1;1.2;2.3;51.1;1.243;0.58
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Shake Milton;3.1;7.3;42.9;0.8;2.4;32.3;1.1;1.3;83.6;2.4;4.9;48.1;1.117;0.48
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Furkan Korkmaz;2.7;7.0;38.7;1.1;4.0;28.9;1.0;1.3;81.0;1.6;3.0;51.5;1.083;0.47
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Andre Drummond;2.6;4.9;53.8;0.0;0.0;0.0;0.9;1.7;51.2;2.6;4.8;54.2;1.252;0.54
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Danny Green;2.0;5.2;39.4;1.7;4.4;38.0;0.2;0.2;78.6;0.4;0.8;46.9;1.144;0.55
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Matisse Thybulle;2.3;4.5;50.0;0.7;2.2;31.3;0.5;0.7;79.1;1.6;2.4;67.3;1.263;0.58
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;DeAndre Jordan;2.0;3.4;59.3;0.0;0.0;0.0;0.6;0.9;71.4;2.0;3.4;59.3;1.370;0.59
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Paul Millsap;1.4;3.3;43.3;0.2;0.9;25.0;0.6;0.8;71.4;1.2;2.4;50.0;1.100;0.47
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Tyler Johnson;1.3;3.3;40.0;1.0;2.3;42.9;0.0;0.0;0.0;0.3;1.0;33.3;1.100;0.55
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Isaiah Joe;1.1;3.2;35.0;0.8;2.5;33.3;0.5;0.6;93.5;0.3;0.8;40.5;1.119;0.48
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Paul Reed;1.4;2.5;56.3;0.1;0.2;25.0;0.2;0.4;42.9;1.4;2.3;59.1;1.208;0.57
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Charles Bassey;1.3;2.0;63.8;0.0;0.2;0.0;0.4;0.5;75.0;1.3;1.9;69.8;1.468;0.64
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Charlie Brown Jr.;0.5;1.8;26.5;0.1;0.5;11.1;0.5;0.5;90.0;0.4;1.3;32.0;0.824;0.28
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Myles Powell;0.5;1.5;29.4;0.1;0.5;16.7;0.2;0.2;100.0;0.4;1.0;36.4;0.765;0.32
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Braxton Key;0.5;1.0;50.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.5;100.0;1.000;0.50
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Jaden Springer;0.5;0.5;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;100.0;2.000;1.00
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Aaron Henry;0.2;0.8;20.0;0.0;0.2;0.0;0.0;0.0;0.0;0.2;0.7;25.0;0.400;0.20
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Willie Cauley-Stein;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000;0.00
Philadelphia 76ers;phi;2021 - 2022 Regular Season;All Splits;Total;39.4;84.5;46.6;11.6;31.8;36.4;19.6;23.8;82.1;27.8;52.7;52.7;1.300;0.53
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Joel Embiid;9.2;19.1;48.5;1.4;3.9;34.8;9.3;11.5;80.9;7.9;15.2;51.9;1.529;0.52
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;James Harden;5.9;13.5;43.7;2.0;6.3;31.7;7.1;8.2;86.6;3.9;7.2;54.2;1.548;0.51
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Tyrese Maxey;6.6;13.5;48.6;1.8;4.2;42.1;2.8;3.3;85.0;4.8;9.3;51.5;1.307;0.55
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Tobias Harris;7.0;14.0;50.1;1.4;3.8;36.9;2.2;2.5;85.1;5.6;10.2;55.1;1.257;0.55
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Seth Curry;5.4;11.1;48.9;2.2;5.6;39.3;1.2;1.3;89.3;3.2;5.5;58.6;1.283;0.59
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Georges Niang;3.3;7.9;41.8;2.1;5.4;38.0;0.7;0.7;96.3;1.2;2.5;50.0;1.185;0.55
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Shake Milton;3.3;7.7;42.6;0.6;2.2;25.4;1.3;1.5;87.5;2.7;5.6;49.3;1.091;0.46
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Furkan Korkmaz;2.6;7.0;36.4;1.1;4.3;25.3;1.3;1.5;88.0;1.5;2.7;53.8;1.067;0.44
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Matisse Thybulle;2.5;4.5;54.1;0.8;2.3;35.0;0.6;0.7;80.8;1.7;2.3;73.4;1.390;0.63
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Andre Drummond;2.7;4.9;54.9;0.0;0.1;0.0;0.8;1.4;57.1;2.7;4.8;55.8;1.262;0.55
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Danny Green;2.0;5.1;38.5;1.7;4.4;38.7;0.1;0.1;60.0;0.3;0.7;37.5;1.121;0.55
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;DeAndre Jordan;2.1;4.0;53.1;0.0;0.0;0.0;0.9;1.3;70.0;2.1;4.0;53.1;1.281;0.53
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Paul Reed;1.7;3.0;57.1;0.1;0.2;40.0;0.1;0.2;40.0;1.6;2.8;58.6;1.206;0.59
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Isaiah Joe;1.1;2.9;37.6;0.9;2.4;38.6;0.4;0.4;100.0;0.2;0.5;33.3;1.224;0.54
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Paul Millsap;1.2;2.8;42.9;0.4;0.6;66.7;0.4;0.6;66.7;0.8;2.2;36.4;1.143;0.50
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Tyler Johnson;1.0;3.0;33.3;1.0;3.0;33.3;0.0;0.0;0.0;0.0;0.0;0.0;1.000;0.50
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Charles Bassey;1.0;1.8;55.6;0.0;0.2;0.0;0.3;0.3;100.0;1.0;1.6;62.5;1.278;0.56
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Charlie Brown Jr.;0.3;1.2;21.4;0.1;0.3;33.3;0.4;0.4;100.0;0.2;0.9;18.2;0.857;0.25
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Aaron Henry;0.5;1.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;50.0;1.000;0.50
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Myles Powell;0.2;0.5;33.3;0.0;0.2;0.0;0.3;0.3;100.0;0.2;0.3;50.0;1.333;0.33
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Willie Cauley-Stein;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000;0.00
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Braxton Key;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000;0.00
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Home;Total;39.7;85.1;46.6;11.7;32.7;35.8;19.1;23.1;82.8;28.0;52.4;53.4;1.295;0.53
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;Joel Embiid;10.4;20.2;51.3;1.4;3.5;39.5;9.9;12.1;82.0;9.0;16.7;53.8;1.586;0.55
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;James Harden;5.1;13.7;37.1;2.4;7.1;33.3;8.6;9.5;91.3;2.7;6.6;41.1;1.543;0.46
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;Tyrese Maxey;6.3;13.0;48.5;1.8;4.0;43.4;2.9;3.3;88.2;4.6;9.0;50.8;1.329;0.55
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;Tobias Harris;6.5;14.0;46.3;1.4;3.7;36.6;2.5;3.0;83.3;5.1;10.3;49.9;1.202;0.51
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;Seth Curry;5.9;12.3;48.1;2.3;5.5;40.6;1.6;1.9;86.7;3.7;6.8;54.3;1.278;0.57
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;Georges Niang;3.2;6.9;45.8;2.1;4.8;42.8;0.7;0.8;81.3;1.1;2.2;52.4;1.306;0.61
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;Shake Milton;3.0;6.9;43.3;1.0;2.6;37.8;0.9;1.2;78.8;2.0;4.3;46.7;1.144;0.51
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;Furkan Korkmaz;2.9;7.0;41.1;1.2;3.6;33.3;0.7;1.0;70.6;1.7;3.4;49.5;1.100;0.50
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;Danny Green;2.1;5.2;40.4;1.6;4.3;37.2;0.3;0.3;88.9;0.5;0.9;56.0;1.171;0.56
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;Andre Drummond;2.5;4.8;52.6;0.0;0.0;0.0;0.9;2.0;46.8;2.5;4.8;52.6;1.241;0.53
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;Matisse Thybulle;2.1;4.5;45.4;0.5;2.1;26.6;0.4;0.5;76.5;1.5;2.5;61.0;1.121;0.51
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;Paul Millsap;1.8;4.0;43.8;0.0;1.3;0.0;0.8;1.0;75.0;1.8;2.8;63.6;1.063;0.44
Philadelphia 76ers;phi;2021 - 2022 Regular Season;Away;DeAndre Jordan;1.9;2.8;68.2;0.0;0.0;0.0;0.4;0.5;75.0;1.9;2.8;68.2;1.500;0.68
