teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Damian Lillard;7.7;19.0;40.2;3.2;9.8;32.4;5.5;6.2;87.8;4.5;9.2;48.5;1.259;0.49
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;CJ McCollum;8.1;18.5;43.6;3.1;8.0;38.4;1.3;1.9;70.6;5.0;10.4;47.6;1.111;0.52
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Josh Hart;7.1;14.1;50.3;2.4;6.4;37.3;3.4;4.4;77.2;4.7;7.7;61.0;1.415;0.59
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Norman Powell;6.2;13.6;45.6;2.3;5.7;40.6;4.0;5.0;80.3;3.9;7.8;49.2;1.376;0.54
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Anfernee Simons;6.2;14.0;44.3;3.1;7.8;40.5;1.8;2.0;88.8;3.1;6.2;49.0;1.240;0.56
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Jusuf Nurkic;5.7;10.7;53.5;0.3;1.0;26.8;3.3;4.8;69.0;5.5;9.7;56.3;1.403;0.55
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Drew Eubanks;6.2;9.6;64.6;0.2;0.7;26.7;1.8;2.3;78.4;6.0;9.0;67.5;1.500;0.66
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Brandon Williams;4.4;11.8;37.2;1.3;4.4;29.2;2.8;4.0;70.1;3.1;7.3;42.0;1.096;0.43
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Justise Winslow;4.3;10.5;40.5;0.9;3.4;27.0;1.3;2.3;56.0;3.4;7.2;46.8;1.017;0.45
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Ben McLemore;3.4;8.4;40.1;2.4;6.5;36.2;1.1;1.4;81.8;1.0;1.9;53.3;1.215;0.54
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Reggie Perry;4.3;8.7;50.0;0.3;1.8;18.8;1.0;1.7;60.0;4.0;6.9;58.1;1.154;0.52
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Nassir Little;3.5;7.5;46.0;1.2;3.7;33.1;1.6;2.2;73.4;2.2;3.8;58.4;1.302;0.54
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Keon Johnson;3.6;10.0;35.7;1.4;4.0;34.8;1.1;1.4;83.3;2.2;6.0;36.4;0.968;0.43
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Robert Covington;2.7;7.0;38.1;1.6;4.8;34.3;0.6;0.8;83.3;1.0;2.2;46.2;1.086;0.50
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Trendon Watford;3.0;5.6;53.2;0.2;0.8;23.7;1.5;2.0;75.5;2.8;4.8;58.1;1.363;0.55
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Kris Dunn;3.1;7.3;43.1;0.1;0.8;9.1;1.2;1.3;94.4;3.1;6.5;47.3;1.039;0.44
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Larry Nance Jr.;2.8;5.4;51.5;0.5;1.7;30.6;0.9;1.3;65.3;2.2;3.7;61.0;1.288;0.56
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;CJ Elleby;2.1;5.3;39.3;0.6;2.2;29.4;1.0;1.4;71.4;1.4;3.1;46.2;1.101;0.45
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Dennis Smith Jr.;2.1;5.1;41.8;0.2;0.7;22.2;1.1;1.7;65.6;2.0;4.4;45.1;1.090;0.43
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Cody Zeller;1.9;3.3;56.7;0.0;0.1;0.0;1.4;1.8;77.6;1.9;3.2;59.3;1.556;0.57
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Didi Louzada;1.7;4.3;40.0;1.3;2.9;45.0;0.3;0.3;100.0;0.4;1.4;30.0;1.167;0.55
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Greg Brown III;1.7;4.0;42.6;0.4;1.3;31.1;0.9;1.4;67.7;1.3;2.7;48.1;1.184;0.48
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Cameron McGriff;1.7;4.7;35.7;0.7;2.0;33.3;0.7;0.7;100.0;1.0;2.7;37.5;1.000;0.43
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Elijah Hughes;1.5;4.9;29.6;0.7;3.0;22.4;0.2;0.3;66.7;0.8;1.9;41.5;0.769;0.37
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Keljin Blevins;1.1;3.6;30.6;0.7;2.3;29.2;0.2;0.4;54.5;0.4;1.3;33.3;0.856;0.40
Portland Trail Blazers;por;2021 - 2022 Regular Season;All Splits;Tony Snell;0.9;2.6;37.1;0.6;2.0;32.0;0.1;0.1;100.0;0.3;0.6;54.5;1.021;0.49
