teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Dejounte Murray;8.4;18.3;46.2;1.4;4.3;32.7;2.9;3.6;79.4;7.0;13.9;50.4;1.159;0.50
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Keldon Johnson;6.3;13.5;46.6;2.1;5.3;39.8;2.4;3.1;75.6;4.2;8.2;51.0;1.264;0.54
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Derrick White;5.0;11.6;42.6;1.7;5.3;31.4;2.8;3.3;86.9;3.3;6.4;51.9;1.239;0.50
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Jakob Poeltl;6.0;9.8;61.8;0.0;0.0;100.0;1.4;2.8;49.5;6.0;9.7;61.8;1.380;0.62
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Devin Vassell;4.6;10.8;42.7;1.9;5.4;36.1;1.2;1.4;83.8;2.7;5.4;49.2;1.141;0.52
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Lonnie Walker IV;4.4;10.9;40.7;1.6;5.0;31.4;1.7;2.1;78.4;2.9;5.9;48.7;1.111;0.48
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Josh Richardson;3.9;9.1;42.9;1.9;4.3;44.4;1.7;1.8;94.6;2.0;4.8;41.6;1.251;0.53
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Doug McDermott;4.2;9.1;46.2;2.1;5.0;42.2;0.8;1.0;78.4;2.1;4.1;51.2;1.243;0.58
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Bryn Forbes;3.2;7.4;43.2;1.6;3.8;41.7;1.1;1.2;89.8;1.6;3.6;44.8;1.226;0.54
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Zach Collins;2.7;5.5;49.0;0.5;1.5;34.1;1.9;2.3;80.0;2.2;4.1;54.4;1.406;0.54
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Thaddeus Young;2.8;4.9;57.8;0.0;0.2;0.0;0.4;0.8;45.5;2.8;4.7;60.2;1.234;0.58
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Tre Jones;2.4;4.9;49.0;0.1;0.7;19.6;1.0;1.3;78.0;2.3;4.2;54.2;1.218;0.50
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Joshua Primo;2.0;5.4;37.4;0.8;2.7;30.7;0.9;1.2;74.6;1.2;2.7;44.4;1.067;0.45
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Keita Bates-Diop;2.3;4.5;51.7;0.3;0.9;30.9;0.8;1.0;75.4;2.0;3.5;57.2;1.274;0.55
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Jock Landale;1.9;3.8;49.5;0.5;1.6;32.6;0.6;0.8;82.9;1.3;2.1;62.6;1.299;0.57
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Drew Eubanks;1.7;3.2;52.8;0.0;0.2;12.5;1.2;1.6;74.7;1.7;3.1;55.0;1.434;0.53
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Devontae Cacok;1.4;2.1;67.7;0.0;0.0;0.0;0.3;0.5;57.1;1.4;2.1;67.7;1.484;0.68
San Antonio Spurs;sa;2021 - 2022 Regular Season;All Splits;Tomas Satoransky;0.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0;75.0;0.0;0.0;0.0;0.000;0.00
