teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;De'Aaron Fox;8.7;18.5;47.3;1.3;4.2;29.7;4.4;5.9;75.0;7.5;14.3;52.4;1.252;0.51
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Domantas Sabonis;7.5;13.5;55.4;0.3;1.1;23.5;3.7;4.9;74.3;7.2;12.3;58.4;1.401;0.56
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Harrison Barnes;5.1;10.8;46.9;1.8;4.7;39.4;4.4;5.4;82.6;3.2;6.2;52.5;1.517;0.55
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Buddy Hield;4.8;12.6;38.2;3.3;9.0;36.8;1.5;1.7;87.0;1.5;3.6;41.9;1.143;0.51
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Tyrese Haliburton;5.3;11.5;45.7;2.0;4.9;41.3;1.7;2.0;83.7;3.2;6.5;49.1;1.241;0.55
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Davion Mitchell;4.7;11.2;41.8;1.3;4.3;31.6;0.7;1.1;65.9;3.3;7.0;48.0;1.021;0.48
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Trey Lyles;3.6;7.4;48.9;1.0;2.6;36.5;2.4;2.8;85.1;2.7;4.8;55.7;1.427;0.55
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Richaun Holmes;4.4;6.7;66.0;0.0;0.1;40.0;1.6;2.0;77.8;4.4;6.6;66.4;1.560;0.66
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Terence Davis;3.8;8.9;42.3;1.6;5.0;32.9;1.2;1.5;81.8;2.1;3.9;54.2;1.165;0.51
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Donte DiVincenzo;3.2;8.7;36.2;2.1;5.8;36.8;1.9;2.2;83.9;1.0;3.0;35.1;1.183;0.48
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Marvin Bagley III;3.8;8.2;46.3;0.5;2.1;24.2;1.2;1.6;74.5;3.3;6.1;53.8;1.130;0.49
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Chimezie Metu;3.4;7.5;45.2;1.0;3.1;30.6;1.2;1.5;78.0;2.4;4.4;55.5;1.189;0.52
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Justin Holiday;2.8;8.2;34.8;2.0;5.8;34.2;0.6;0.8;76.2;0.8;2.3;36.2;1.020;0.47
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Damian Jones;3.1;4.8;65.8;0.2;0.5;34.5;1.7;2.3;71.8;2.9;4.2;69.6;1.707;0.68
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Jeremy Lamb;2.8;7.0;40.3;0.9;3.1;30.2;1.3;1.5;84.6;1.9;3.9;48.5;1.126;0.47
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Tristan Thompson;2.5;5.0;50.3;0.0;0.0;100.0;1.1;2.0;53.3;2.5;5.0;50.0;1.225;0.51
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Alex Len;2.4;4.5;53.4;0.2;0.5;28.6;1.1;1.6;65.1;2.3;4.0;56.8;1.335;0.55
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Maurice Harkless;1.8;3.9;45.9;0.7;2.1;30.7;0.4;0.6;71.4;1.1;1.7;65.0;1.199;0.54
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Louis King;1.5;4.7;31.9;0.8;2.7;29.6;0.7;1.0;70.0;0.7;2.0;35.0;0.957;0.40
