teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Donovan Mitchell;9.2;20.5;44.8;3.5;9.8;35.5;4.0;4.7;85.3;5.7;10.8;53.3;1.259;0.53
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Bojan Bogdanovic;6.1;13.4;45.5;2.6;6.8;38.7;3.2;3.8;85.8;3.5;6.7;52.4;1.345;0.55
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Jordan Clarkson;5.9;14.1;41.9;2.4;7.6;31.8;1.8;2.2;82.8;3.5;6.5;53.5;1.137;0.50
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Rudy Gobert;5.5;7.7;71.3;0.0;0.1;0.0;4.6;6.7;69.0;5.5;7.6;71.8;2.022;0.71
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Mike Conley;4.8;11.0;43.5;2.3;5.8;40.8;1.8;2.3;79.6;2.4;5.2;46.4;1.247;0.54
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Hassan Whiteside;3.3;5.1;65.2;0.0;0.0;0.0;1.6;2.6;62.3;3.3;5.1;65.2;1.618;0.65
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Rudy Gay;2.9;6.9;41.4;1.3;3.7;34.5;1.1;1.4;78.5;1.6;3.2;49.4;1.177;0.51
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Royce O'Neale;2.6;5.8;45.7;1.5;4.0;38.9;0.6;0.7;80.4;1.1;1.8;60.9;1.284;0.59
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Joe Ingles;2.6;6.3;40.4;1.7;5.0;34.7;0.4;0.5;77.3;0.8;1.3;61.7;1.140;0.54
Utah Jazz;utah;2021 - 2022 Regular Season;All Splits;Danuel House Jr.;2.2;4.9;44.7;1.4;3.3;41.5;1.1;1.6;69.2;0.8;1.6;51.2;1.390;0.59
