teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Bradley Beal;8.7;19.3;45.1;1.6;5.3;30.0;4.2;5.1;83.3;7.1;14.0;50.8;1.204;0.49
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Kristaps Porzingis;7.2;15.2;47.5;1.7;4.6;36.7;5.9;6.8;87.1;5.5;10.6;52.2;1.452;0.53
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Kyle Kuzma;6.4;14.2;45.2;1.9;5.7;34.1;2.4;3.3;71.2;4.5;8.5;52.6;1.207;0.52
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Montrezl Harrell;5.4;8.3;64.5;0.1;0.3;26.7;3.2;4.5;72.7;5.3;8.0;66.0;1.689;0.65
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Kentavious Caldwell-Pope;4.7;10.8;43.5;2.1;5.3;39.0;1.8;2.0;89.0;2.6;5.5;48.0;1.228;0.53
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Spencer Dinwiddie;4.2;11.2;37.6;1.6;5.1;31.0;2.6;3.3;81.1;2.6;6.0;43.2;1.130;0.45
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Rui Hachimura;4.5;9.1;49.1;1.3;2.9;44.7;1.1;1.6;69.7;3.1;6.1;51.2;1.247;0.56
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Daniel Gafford;4.0;5.7;69.3;0.0;0.0;0.0;1.5;2.1;69.9;4.0;5.7;69.5;1.647;0.69
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Ish Smith;4.0;8.8;45.7;0.5;1.5;35.7;0.1;0.2;60.0;3.5;7.3;47.8;0.988;0.49
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Deni Avdija;3.0;7.1;43.2;1.0;3.2;31.7;1.3;1.7;75.7;2.0;3.9;52.5;1.183;0.50
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Corey Kispert;3.0;6.7;45.5;1.5;4.2;35.0;0.7;0.8;87.1;1.6;2.5;62.9;1.233;0.56
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Raul Neto;2.9;6.3;46.3;0.5;1.7;29.2;1.2;1.5;76.9;2.4;4.6;52.6;1.193;0.50
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Thomas Bryant;2.9;5.5;52.0;0.4;1.6;28.6;1.3;1.5;87.5;2.4;3.9;61.3;1.358;0.56
Washington Wizards;wsh;2021 - 2022 Regular Season;All Splits;Brad Wanamaker;2.0;5.0;40.0;0.0;0.0;0.0;3.0;3.0;100.0;2.0;5.0;40.0;1.400;0.40
